Start_Time,End_Time,F0_Hz
0.0,0.02,67.51172349484682
0.01,0.03,72.1250252211236
0.02,0.04,76.8953403577187
0.03,0.05,76.66800663359146
0.04,0.06,76.84404394478555
0.05,0.07,77.29222160873435
0.06,0.08,77.85222713618907
0.07,0.09,77.98793359146266
0.08,0.1,77.90429096313632
0.09,0.11,77.57372742987823
0.1,0.12,77.05419747823476
0.11,0.13,76.61589959510303
0.12,0.14,76.45886425814071
0.13,0.15,76.51744815165085
0.14,0.16,76.63165209496492
0.15,0.17,76.67072652800043
0.16,0.18,76.53021244778861
0.17,0.19,76.29138292376568
0.18,0.2,76.02839202321486
0.19,0.21,75.78766332105498
0.2,0.22,75.59019090578984
0.21,0.23,75.43952983638576
0.22,0.24,0.0
0.23,0.25,0.0
0.24,0.26,0.0
0.25,0.27,0.0
0.26,0.28,0.0
0.27,0.29,0.0
0.28,0.3,0.0
0.29,0.31,0.0
0.3,0.32,0.0
0.31,0.33,0.0
0.32,0.34,0.0
0.33,0.35,0.0
0.34,0.36,87.1357411055036
0.35,0.37,86.28773249193993
0.36,0.38,85.00118179698381
0.37,0.39,84.09672324036845
0.38,0.4,83.7583377190239
0.39,0.41,83.53133530569596
0.4,0.42,83.19042200677836
0.41,0.43,82.65427204451748
0.42,0.44,82.0142711888967
0.43,0.45,81.32896138973264
0.44,0.46,80.77897736892591
0.45,0.47,80.30155731602198
0.46,0.48,79.8819010729155
0.47,0.49,79.63233988692204
0.48,0.5,79.62830426380363
0.49,0.51,79.70372524343951
0.5,0.52,79.51932334393044
0.51,0.53,78.98070677468775
0.52,0.54,78.28007109326333
0.53,0.55,77.82137250051207
0.54,0.56,77.79892953744319
0.55,0.57,78.02063356525606
0.56,0.58,78.25122801499066
0.57,0.59,78.34601462913373
0.58,0.6,78.41505465714515
0.59,0.61,78.48412958412077
0.6,0.62,78.68214891287
0.61,0.63,79.07920848637292
0.62,0.64,79.44795434283174
0.63,0.65,79.45391536066033
0.64,0.66,79.07391153916114
0.65,0.67,78.62762478789453
0.66,0.68,78.4494894450297
0.67,0.69,78.25536627886656
0.68,0.7,77.7261330753516
0.69,0.71,76.94048273910579
0.7,0.72,76.20318739474287
0.71,0.73,75.67909437773493
0.72,0.74,75.2691480286659
0.73,0.75,75.05454323953576
0.74,0.76,74.99890545175055
0.75,0.77,74.9204082873447
0.76,0.78,74.81391420600866
0.77,0.79,74.82981559464264
0.78,0.8,75.0053342150003
0.79,0.81,75.13642584409982
0.8,0.82,75.0786346074449
0.81,0.83,74.82290726674044
0.82,0.84,74.60209500968065
0.83,0.85,74.63057147486236
0.84,0.86,74.89982516679517
0.85,0.87,75.06257283644054
0.86,0.88,75.02697129864356
0.87,0.89,74.8882403646574
0.88,0.9,74.93373173366973
0.89,0.91,74.95337451655632
0.9,0.92,74.97541788274832
0.91,0.93,74.94385385315476
0.92,0.94,74.96458121794984
0.93,0.95,74.86123262275014
0.94,0.96,74.68549991317718
0.95,0.97,74.50085489367103
