Start_Time,End_Time,F0_Hz
0.0,0.02,158.72063028817087
0.01,0.03,163.90989183055325
0.02,0.04,169.31562769899892
0.03,0.05,173.85378895898722
0.04,0.06,173.5706561533579
0.05,0.07,173.10138804708362
0.06,0.08,172.76788987413883
0.07,0.09,172.5084567544636
0.08,0.1,171.8401635053192
0.09,0.11,170.8006534697397
0.1,0.12,169.7720703193252
0.11,0.13,169.11216058990863
0.12,0.14,168.60705104605188
0.13,0.15,168.41198691383548
0.14,0.16,168.89531662703232
0.15,0.17,170.01118547978132
0.16,0.18,171.41235796867113
0.17,0.19,172.83520833527623
0.18,0.2,174.38218600321338
0.19,0.21,175.95196573519752
0.2,0.22,177.2097264300671
0.21,0.23,177.89602100333386
0.22,0.24,177.9606712350547
0.23,0.25,177.48717977050586
0.24,0.26,176.32983790486767
0.25,0.27,174.65867596559312
0.26,0.28,172.62144482803697
0.27,0.29,171.07549816346756
0.28,0.3,170.1656144862752
0.29,0.31,169.80349638518658
0.3,0.32,168.92886958140488
0.31,0.33,165.8621821168583
0.32,0.34,164.61755299686803
0.33,0.35,165.24248233747343
0.34,0.36,168.0704870569284
0.35,0.37,169.43703395277072
0.36,0.38,169.84366661677333
0.37,0.39,170.16702056346006
0.38,0.4,0.0
0.39,0.41,0.0
0.4,0.42,0.0
0.41,0.43,0.0
0.42,0.44,0.0
0.43,0.45,0.0
0.44,0.46,182.48216544785222
0.45,0.47,181.1686191882395
0.46,0.48,178.4288206467432
0.47,0.49,175.55308514333095
0.48,0.5,172.0736981471461
0.49,0.51,174.55550821504542
0.5,0.52,176.97154146440886
0.51,0.53,180.84009884065966
0.52,0.54,180.66800054763544
0.53,0.55,180.87265702496146
0.54,0.56,0.0
0.55,0.57,0.0
0.56,0.58,0.0
0.57,0.59,0.0
0.58,0.6,0.0
0.59,0.61,0.0
0.6,0.62,0.0
0.61,0.63,0.0
0.62,0.64,0.0
0.63,0.65,0.0
0.64,0.66,0.0
0.65,0.67,0.0
0.66,0.68,193.01583920498558
0.67,0.69,192.09835407723267
0.68,0.7,190.25925754755713
0.69,0.71,188.17723526678085
0.7,0.72,186.1362471887572
0.71,0.73,184.08023799443626
0.72,0.74,182.09463978879288
0.73,0.75,180.41045828970724
0.74,0.76,179.5485003022212
0.75,0.77,179.37933075768163
0.76,0.78,179.3262559477484
0.77,0.79,178.99721114834253
0.78,0.8,178.4201713369525
0.79,0.81,177.56349687852625
0.8,0.82,176.30365259309855
0.81,0.83,174.62231117842697
0.82,0.84,172.7676424281788
0.83,0.85,170.42959802803236
0.84,0.86,166.04622517308317
0.85,0.87,163.71649211780542
0.86,0.88,0.0
0.87,0.89,0.0
0.88,0.9,0.0
0.89,0.91,0.0
0.9,0.92,0.0
0.91,0.93,0.0
0.92,0.94,0.0
0.93,0.95,0.0
0.94,0.96,182.05038867637884
0.95,0.97,181.35466060747603
0.96,0.98,179.11142996365786
0.97,0.99,176.65359010931897
0.98,1.0,174.16269073440782
0.99,1.01,172.40929433093413
1.0,1.02,170.08087760884197
1.01,1.03,168.9011409269438
1.02,1.04,0.0
1.03,1.05,0.0
1.04,1.06,0.0
1.05,1.07,0.0
1.06,1.08,0.0
1.07,1.09,0.0
1.08,1.1,0.0
1.09,1.11,0.0
1.1,1.12,0.0
1.11,1.13,0.0
1.12,1.14,0.0
1.13,1.15,180.40624455881436
1.14,1.16,179.51625958542883
1.15,1.17,177.79409466224567
1.16,1.18,176.06497847362084
1.17,1.19,174.12921091488562
1.18,1.2,172.18057769684006
1.19,1.21,171.08905031354254
1.2,1.22,170.9303934975731
1.21,1.23,171.24459045980683
1.22,1.24,171.27910075079765
1.23,1.25,171.01184192908508
1.24,1.26,170.61671662717077
1.25,1.27,170.06596258987065
1.26,1.28,169.19617250707182
1.27,1.29,168.0029143523425
1.28,1.3,166.92324998274213
1.29,1.31,165.88173591143823
1.3,1.32,164.483362287545
1.31,1.33,162.8466810595225
1.32,1.34,161.30390964884006
1.33,1.35,160.31695561724857
1.34,1.36,159.59220814304206
1.35,1.37,159.1054360189823
1.36,1.38,158.90721796640568
1.37,1.39,158.97768275712647
1.38,1.4,159.1821091883045
1.39,1.41,159.123018665462
1.4,1.42,158.09193809442095
1.41,1.43,155.66685638486783
1.42,1.44,152.23996581570015
1.43,1.45,149.24009545507027
1.44,1.46,147.77120806531883
1.45,1.47,0.0
1.46,1.48,0.0
1.47,1.49,0.0
1.48,1.5,0.0
1.49,1.51,0.0
1.5,1.52,166.1843456976651
1.51,1.53,163.8899746167248
1.52,1.54,159.9694156758904
1.53,1.55,157.52742192406075
1.54,1.56,155.32487928409736
1.55,1.57,153.14277265515167
1.56,1.58,151.31972314554878
1.57,1.59,150.21768074563224
1.58,1.6,150.02908074031544
1.59,1.61,150.70631512687598
1.6,1.62,151.53937693691807
1.61,1.63,151.887677716171
1.62,1.64,151.55310127088663
1.63,1.65,150.9991071463485
1.64,1.66,150.47147244783667
1.65,1.67,150.03944485683004
1.66,1.68,149.53152158492432
1.67,1.69,148.76560611873992
1.68,1.7,147.90128026831567
1.69,1.71,147.4063441567922
1.7,1.72,147.4235272541966
1.71,1.73,147.79848019198954
1.72,1.74,148.31456866179997
1.73,1.75,148.76160703201523
1.74,1.76,148.94987729095334
1.75,1.77,148.70864566436333
1.76,1.78,148.10564273725734
1.77,1.79,147.66623701637567
1.78,1.8,147.4104042542865
1.79,1.81,147.4607425088309
1.8,1.82,147.38075187655588
1.81,1.83,147.3870033876372
1.82,1.84,0.0
1.83,1.85,182.21067448802893
1.84,1.86,182.52957817511256
1.85,1.87,183.20183660283803
1.86,1.88,184.30679025713962
1.87,1.89,185.83683781831857
1.88,1.9,187.42922233488693
1.89,1.91,188.50288486151908
1.9,1.92,186.62092783096273
1.91,1.93,184.1659233161659
1.92,1.94,183.74647837902387
1.93,1.95,186.12025230112963
1.94,1.96,188.39716444157585
1.95,1.97,0.0
1.96,1.98,0.0
1.97,1.99,0.0
1.98,2.0,0.0
1.99,2.01,0.0
2.0,2.02,0.0
2.01,2.03,0.0
2.02,2.04,0.0
2.03,2.05,0.0
2.04,2.06,0.0
2.05,2.07,0.0
2.06,2.08,0.0
2.07,2.09,0.0
2.08,2.1,0.0
2.09,2.11,0.0
2.1,2.12,0.0
2.11,2.13,0.0
2.12,2.14,0.0
2.13,2.15,298.06754710462735
2.14,2.16,299.0358288595637
2.15,2.17,300.6383649073774
2.16,2.18,301.19141691287933
2.17,2.19,301.10004453216754
2.18,2.2,300.4265239751381
2.19,2.21,299.04334055247887
2.2,2.22,297.22602465571174
2.21,2.23,295.23975643301463
2.22,2.24,293.29164158314705
2.23,2.25,291.4094144751469
2.24,2.26,289.64889363773045
2.25,2.27,287.8938704381546
2.26,2.28,286.05548642773346
2.27,2.29,284.271119082272
2.28,2.3,282.6483737666374
2.29,2.31,281.0428802105271
2.3,2.32,279.5576707568873
2.31,2.33,278.3233053870933
2.32,2.34,277.30004383366963
2.33,2.35,275.63265871103806
2.34,2.36,270.8700697435804
2.35,2.37,265.99874709363155
2.36,2.38,261.98998146854706
2.37,2.39,260.8912969912064
2.38,2.4,260.41895827085494
2.39,2.41,260.17129994116937
2.4,2.42,259.8764020949128
2.41,2.43,259.15024064616756
2.42,2.44,258.2703021542718
2.43,2.45,257.81338838430696
2.44,2.46,257.61662367062405
2.45,2.47,257.11661536849533
2.46,2.48,255.61998375568908
2.47,2.49,253.99188628910449
2.48,2.5,252.7297536573247
2.49,2.51,252.35147085196752
2.5,2.52,252.27185773349734
2.51,2.53,252.5688669223909
2.52,2.54,253.47126535784173
2.53,2.55,254.83298950320685
2.54,2.56,256.19751304325285
2.55,2.57,256.88545566041273
2.56,2.58,256.1926017677997
2.57,2.59,255.61587208368172
2.58,2.6,0.0
2.59,2.61,0.0
2.6,2.62,0.0
2.61,2.63,256.449808196295
2.62,2.64,256.1559677525863
2.63,2.65,255.96447240586477
2.64,2.66,255.56929652741005
2.65,2.67,255.38859391890622
2.66,2.71,255.0962504620345
