Start_Time,End_Time,F0_Hz
0.0,0.02,75.39780161830137
0.01,0.03,84.75563579470561
0.02,0.04,95.1872900666644
0.03,0.05,94.94321336102735
0.04,0.06,119.5850984482446
0.05,0.07,149.0498162327552
0.06,0.08,183.69433759534672
0.07,0.09,179.8457037391596
0.08,0.1,177.9393015188877
0.09,0.11,177.20547031725545
0.1,0.12,177.1181839871637
0.11,0.13,177.08528710921075
0.12,0.14,176.88144720876124
0.13,0.15,176.6019444064989
0.14,0.16,176.28741499137942
0.15,0.17,175.82523273472657
0.16,0.18,175.2961131939729
0.17,0.19,174.83845612010956
0.18,0.2,174.48980734976894
0.19,0.21,174.2116077824984
0.2,0.22,174.0011261143986
0.21,0.23,173.93356432409163
0.22,0.24,173.83770038145366
0.23,0.25,173.30952113278923
0.24,0.26,171.88700792449922
0.25,0.27,170.18173820188773
0.26,0.28,169.13379321038192
0.27,0.29,169.95387949039144
0.28,0.3,172.11641545581097
0.29,0.31,174.19863354302134
0.3,0.32,175.05814730132025
0.31,0.33,174.50912856622045
0.32,0.34,173.13497544303425
0.33,0.35,171.0503946522953
0.34,0.36,168.89732626692708
0.35,0.37,167.59526010919845
0.36,0.38,167.1469534264565
0.37,0.39,0.0
0.38,0.4,0.0
0.39,0.41,0.0
0.4,0.42,173.91058971170003
0.41,0.43,173.5388961530188
0.42,0.44,173.22153926691226
0.43,0.45,0.0
0.44,0.46,0.0
0.45,0.47,0.0
0.46,0.48,172.02130666254078
0.47,0.49,171.55569817737728
0.48,0.5,169.78978417806778
0.49,0.51,167.8501891478884
0.5,0.52,166.25508838241004
0.51,0.53,167.08293658049718
0.52,0.54,168.56253047562782
0.53,0.55,170.05897396696597
0.54,0.56,170.19640086019479
0.55,0.57,169.88992934722114
0.56,0.58,169.49248504978826
0.57,0.59,169.35715653491206
0.58,0.6,169.671807692393
0.59,0.61,170.223066885418
0.6,0.62,170.56728684369128
0.61,0.63,170.43970019317484
0.62,0.64,170.06609374639712
0.63,0.65,169.562599708695
0.64,0.66,168.97415709630386
0.65,0.67,168.48555268297173
0.66,0.68,168.3244884698231
0.67,0.69,168.4845131849874
0.68,0.7,168.7154391354626
0.69,0.71,168.75079692776288
0.7,0.72,168.49941945696244
0.71,0.73,167.9925494373954
0.72,0.74,167.44818159906697
0.73,0.75,167.21405289660657
0.74,0.76,167.37811143351226
0.75,0.77,167.77606899918078
0.76,0.78,168.15787199233236
0.77,0.79,168.52058380189376
0.78,0.8,168.9026482065994
0.79,0.81,169.35976875181763
0.8,0.82,169.95768056395175
0.81,0.83,170.7090740390377
0.82,0.84,171.52889898215156
0.83,0.85,172.285473653804
0.84,0.86,172.904153163218
0.85,0.87,173.27255910772956
0.86,0.88,173.25577988135416
0.87,0.89,172.81443505097164
0.88,0.9,171.94930388841485
0.89,0.91,170.72344356827773
0.9,0.92,169.19223934140808
0.91,0.93,167.47085601027945
0.92,0.94,165.00736546082666
0.93,0.95,162.94775765389505
0.94,0.96,164.02556061068483
0.95,0.97,166.82678344943002
0.96,0.98,170.00661527371935
0.97,0.99,170.4188768683392
0.98,1.0,170.2708398935388
0.99,1.01,182.42865493774454
1.0,1.02,195.91917616820928
1.01,1.03,207.46689402660857
1.02,1.04,192.93764204448175
1.03,1.05,178.4956703621237
1.04,1.06,167.35111670192572
1.05,1.07,166.45049668907873
1.06,1.08,166.22549109295565
1.07,1.09,166.2489706888389
1.08,1.1,166.34979480744647
1.09,1.11,166.56994028367086
1.1,1.12,166.9455958119337
1.11,1.13,167.36359938019828
1.12,1.14,167.69623558322658
1.13,1.15,167.97637404437117
1.14,1.16,168.29391091125012
1.15,1.17,168.68469763508045
1.16,1.18,169.0291215054734
1.17,1.19,169.0317845307599
1.18,1.2,168.81234682235728
1.19,1.21,168.87257958964923
1.2,1.22,169.58533623205977
1.21,1.23,170.51804045856554
1.22,1.24,171.21159614406002
1.23,1.25,171.5453030700783
1.24,1.26,171.76483023280622
1.25,1.27,171.8368693500916
1.26,1.28,171.66244510869444
1.27,1.29,171.07519659792925
1.28,1.3,169.97659357298215
1.29,1.31,167.7114231812551
1.3,1.32,164.33235196430653
1.31,1.33,160.90410741103653
1.32,1.34,158.4062340727662
1.33,1.35,159.89752479355994
1.34,1.36,165.62187714112144
1.35,1.37,172.7319568185623
1.36,1.38,177.03921053689558
1.37,1.39,176.65619809239917
1.38,1.4,172.55132001289786
1.39,1.41,168.37241499367227
1.4,1.42,165.15302788738168
1.41,1.43,164.821713689831
1.42,1.44,164.86099599725657
1.43,1.45,164.8582897035946
1.44,1.46,164.96317745228433
1.45,1.47,165.32402544011035
1.46,1.48,165.80948972243678
1.47,1.49,166.31972255976152
1.48,1.5,166.92641316117573
1.49,1.51,167.28416496261218
1.5,1.52,166.50064118987345
1.51,1.53,164.60632696477583
1.52,1.54,162.65752852949095
1.53,1.55,161.89804721808545
1.54,1.56,162.2311519776426
1.55,1.57,162.85868421224652
1.56,1.58,163.2803777774503
1.57,1.59,163.5180420506605
1.58,1.6,163.89046213521897
1.59,1.61,164.4342963446981
1.6,1.62,165.13992774218474
1.61,1.63,166.1801896087005
1.62,1.64,167.58913002880308
1.63,1.65,169.11104270021937
1.64,1.66,170.21796588798415
1.65,1.67,170.7470317788808
1.66,1.68,170.89186782119498
1.67,1.69,169.24982927088323
1.68,1.73,168.78420959908397
