Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,84.87445801196394
0.02,0.04,85.84139809771122
0.03,0.05,110.56210498740553
0.04,0.06,139.0908223583712
0.05,0.07,175.19224079630072
0.06,0.08,175.75299317378733
0.07,0.09,176.86426005094145
0.08,0.1,177.17911593179537
0.09,0.11,160.73019076015913
0.1,0.12,145.70157699620805
0.11,0.13,132.75648916002675
0.12,0.14,133.07415371051556
0.13,0.15,0.0
0.14,0.16,0.0
0.15,0.17,0.0
0.16,0.18,0.0
0.17,0.19,113.27255448465526
0.18,0.2,110.1701489865934
0.19,0.21,106.83765832557197
0.2,0.22,122.89424704697818
0.21,0.23,146.55190154539355
0.22,0.24,170.50336887538515
0.23,0.25,166.29848650884637
0.24,0.26,160.79568862417858
0.25,0.27,160.66533910771145
0.26,0.28,163.00464080561278
0.27,0.29,164.67612576323728
0.28,0.3,164.73499160989994
0.29,0.31,163.15087200585864
0.3,0.32,164.23171925831699
0.31,0.33,165.95459865610664
0.32,0.34,167.35810467445654
0.33,0.35,167.07021714277562
0.34,0.36,167.41374229346525
0.35,0.37,168.3227081807057
0.36,0.38,169.26478460403084
0.37,0.39,170.06320832617962
0.38,0.4,170.81000606422074
0.39,0.41,169.82413225723565
0.4,0.42,168.93765437301911
0.41,0.43,167.6446597525068
0.42,0.44,0.0
0.43,0.45,0.0
0.44,0.46,0.0
0.45,0.47,0.0
0.46,0.48,168.81920981761633
0.47,0.49,169.29859747823673
0.48,0.5,169.8731595231202
0.49,0.51,169.79794028242114
0.5,0.52,169.32336927474586
0.51,0.53,168.9059419385839
0.52,0.54,0.0
0.53,0.55,202.044151323726
0.54,0.56,201.9613174620632
0.55,0.57,201.46866713860297
0.56,0.58,200.87561146291978
0.57,0.59,199.84950267677988
0.58,0.6,198.14072490073804
0.59,0.61,195.57442268434858
0.6,0.62,194.0208404573938
0.61,0.63,0.0
0.62,0.64,0.0
0.63,0.65,0.0
0.64,0.66,675.9367664322507
0.65,0.67,676.5842191486422
0.66,0.68,749.8079182931974
0.67,0.69,830.1634925005759
0.68,0.7,892.3308301045918
0.69,0.71,879.2272438908694
0.7,0.72,0.0
0.71,0.73,183.55818556117495
0.72,0.74,180.6135097107533
0.73,0.75,176.06265078088887
0.74,0.76,173.77874081307942
0.75,0.77,172.88093358826458
0.76,0.78,172.24172761384457
0.77,0.79,171.8038555583384
0.78,0.8,171.44410655238045
0.79,0.81,171.03396251701983
0.8,0.82,170.51024426166674
0.81,0.83,169.76096035213135
0.82,0.84,168.6394505405409
0.83,0.85,167.43113630104193
0.84,0.86,166.4075172320945
0.85,0.87,165.61423181529244
0.86,0.88,164.6799176575534
0.87,0.89,163.65467261136948
0.88,0.9,162.3547045865128
0.89,0.91,160.88971352594868
0.9,0.92,160.18457639569718
0.91,0.93,160.6481878059676
0.92,0.94,161.68176060476006
0.93,0.95,162.28324359148306
0.94,0.96,162.4459184760137
0.95,0.97,162.70197727206542
0.96,0.98,162.96355653791835
0.97,0.99,163.2636847899144
0.98,1.0,163.87477198996555
0.99,1.01,165.10610869995998
1.0,1.02,166.9234890580879
1.01,1.03,168.63484289328588
1.02,1.04,169.53715784698002
1.03,1.05,169.27112516906527
1.04,1.06,168.35023058762337
1.05,1.07,167.10108784564903
1.06,1.08,165.86452114099842
1.07,1.09,164.72695166109105
1.08,1.1,163.7387874921583
1.09,1.11,162.67562917252008
1.1,1.12,161.52810808824682
1.11,1.13,160.70860604606557
1.12,1.14,160.339847934796
1.13,1.15,160.3357143578723
1.14,1.16,160.2770785075104
1.15,1.17,160.16821755393542
1.16,1.18,160.1082141470114
1.17,1.19,160.04297868367848
1.18,1.2,159.8157529763957
1.19,1.21,159.66811319396723
1.2,1.22,160.67888090253345
1.21,1.23,165.05007420903874
1.22,1.24,172.0109780971474
1.23,1.25,178.48422548736053
1.24,1.26,181.99347581705763
1.25,1.27,183.3417237307603
1.26,1.28,184.41557909647133
1.27,1.29,185.14813790953892
1.28,1.3,185.1862050213559
1.29,1.31,184.78662573799866
1.3,1.32,184.04483141814973
1.31,1.33,182.9530580008586
1.32,1.34,181.41856901384028
1.33,1.35,179.62226034734155
1.34,1.36,177.9926717915649
1.35,1.37,176.6400837085291
1.36,1.38,175.3605527349256
1.37,1.39,171.1198340807211
1.38,1.4,166.59776344010655
1.39,1.41,162.3832548581738
1.4,1.42,160.71540518385592
1.41,1.43,159.33895443483183
1.42,1.44,157.86377783275364
1.43,1.45,156.62131790406784
1.44,1.46,155.71183083573519
1.45,1.47,155.29539711860565
1.46,1.48,155.32970510474183
1.47,1.49,155.5968990895446
1.48,1.5,156.13363000037867
1.49,1.51,157.25367298616206
1.5,1.52,158.48092902032582
1.51,1.53,159.2945293919106
1.52,1.54,159.2907913026609
1.53,1.55,158.8482469876041
1.54,1.56,158.20796330188722
1.55,1.57,157.45463354101375
1.56,1.58,156.73600478827754
1.57,1.59,156.16982652100705
