Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,0.0
0.02,0.04,0.0
0.03,0.05,0.0
0.04,0.06,102.59480217081486
0.05,0.07,103.23425068517628
0.06,0.08,104.23998393448413
0.07,0.09,104.5190950196626
0.08,0.1,104.0108121922637
0.09,0.11,102.92171178512392
0.1,0.12,101.63358058332432
0.11,0.13,100.14426911803831
0.12,0.14,99.4485947867511
0.13,0.15,0.0
0.14,0.16,0.0
0.15,0.17,0.0
0.16,0.18,0.0
0.17,0.19,108.55923726126062
0.18,0.2,109.19622515418841
0.19,0.21,109.94707691921234
0.2,0.22,109.01486048540009
0.21,0.23,107.8720076867833
0.22,0.24,107.47039354617526
0.23,0.25,109.45849065164734
0.24,0.26,111.62200986320458
0.25,0.27,113.37043643857959
0.26,0.28,113.5493391343262
0.27,0.29,113.08480564012325
0.28,0.3,112.1651269799209
0.29,0.31,111.0698969418349
0.3,0.32,109.71232019577285
0.31,0.33,108.29350675408423
0.32,0.34,106.90500738541301
0.33,0.35,105.93258789632814
0.34,0.36,105.0243654510432
0.35,0.37,103.78605477482901
0.36,0.38,102.68242771229761
0.37,0.39,102.12196517523424
0.38,0.4,102.52813523026431
0.39,0.41,103.72117342096125
0.4,0.42,105.19607787942454
0.41,0.43,106.3824259814851
0.42,0.44,106.85165448749277
0.43,0.45,106.75085011346613
0.44,0.46,106.30121085730622
0.45,0.47,105.65407880101267
0.46,0.48,105.46813903996018
0.47,0.49,105.58700596832605
0.48,0.5,105.93988245210161
0.49,0.51,0.0
0.5,0.52,0.0
0.51,0.53,0.0
0.52,0.54,0.0
0.53,0.55,0.0
0.54,0.56,0.0
0.55,0.57,0.0
0.56,0.58,0.0
0.57,0.59,0.0
0.58,0.6,0.0
0.59,0.61,0.0
0.6,0.62,0.0
0.61,0.63,0.0
0.62,0.64,0.0
0.63,0.65,0.0
0.64,0.66,0.0
0.65,0.67,0.0
0.66,0.68,0.0
0.67,0.69,120.27008548900673
0.68,0.7,115.1382835241615
0.69,0.71,109.79199240271952
0.7,0.72,105.0826870307936
0.71,0.73,104.3741736711168
0.72,0.74,103.53903461513107
0.73,0.75,102.88601092946558
0.74,0.76,102.50193230133016
0.75,0.77,102.18992167928927
0.76,0.78,101.67737127712715
0.77,0.79,100.88452613060572
0.78,0.8,100.07346119665564
0.79,0.81,99.39252413321339
0.8,0.82,98.76333492229841
0.81,0.83,97.91847736465193
0.82,0.84,97.09423892452789
0.83,0.85,96.45188109847743
0.84,0.86,95.74189202633855
