Start_Time,End_Time,F0_Hz
0.0,0.02,183.93196520627075
0.01,0.03,171.67072899597355
0.02,0.04,159.44909628519665
0.03,0.05,147.6604617055151
0.04,0.06,145.9238466400767
0.05,0.07,144.55060287885783
0.06,0.08,143.51287899126376
0.07,0.09,142.7181707821995
0.08,0.1,142.2635393285533
0.09,0.11,142.1641409459549
0.1,0.12,142.30036130715993
0.11,0.13,142.4377636047593
0.12,0.14,142.3394823606298
0.13,0.15,141.8795075773138
0.14,0.16,140.82885415163057
0.15,0.17,137.85081564283206
0.16,0.18,135.84572219158926
0.17,0.19,135.01890991393708
0.18,0.2,136.343144326153
0.19,0.21,136.86703983658424
0.2,0.22,136.57593268196734
0.21,0.23,136.02980005403515
0.22,0.24,135.58083425984486
0.23,0.25,135.42681351041654
0.24,0.26,135.56984084021153
0.25,0.27,171.19041446596432
0.26,0.28,216.05466348160903
0.27,0.29,272.18140995031825
0.28,0.3,271.4718847851371
0.29,0.31,213.98909209417457
0.3,0.32,168.2942446569172
0.31,0.33,131.95932435513106
0.32,0.34,129.30573369421796
0.33,0.35,127.8848130073337
0.34,0.36,0.0
0.35,0.37,0.0
0.36,0.38,135.81968297667746
0.37,0.39,136.77430512443973
0.38,0.4,138.12814291403006
0.39,0.41,138.92751825109954
0.4,0.42,138.5390443260102
0.41,0.43,137.07093931071373
0.42,0.44,135.303955443899
0.43,0.45,134.7634436317846
0.44,0.46,135.27661911152927
0.45,0.47,136.0683665072408
0.46,0.48,136.15181716794413
0.47,0.49,0.0
0.48,0.5,0.0
0.49,0.51,0.0
0.5,0.52,0.0
0.51,0.53,0.0
0.52,0.54,0.0
0.53,0.55,158.2261614884216
0.54,0.56,158.61483609815
0.55,0.57,159.44918411996963
0.56,0.58,160.1589712239005
0.57,0.59,160.7327407455636
0.58,0.6,161.13566769825232
0.59,0.61,161.53595631502404
0.6,0.62,161.96621581594363
0.61,0.63,162.27691447964511
0.62,0.64,162.31228200292614
0.63,0.65,162.06960279833424
0.64,0.66,161.57696549646082
0.65,0.67,160.60247764602482
0.66,0.68,159.3602147341971
0.67,0.69,158.12287447285445
0.68,0.7,156.74292942565808
0.69,0.71,156.14037320284095
0.7,0.72,0.0
0.71,0.73,0.0
0.72,0.74,0.0
0.73,0.75,0.0
0.74,0.76,0.0
0.75,0.77,0.0
0.76,0.78,0.0
0.77,0.79,0.0
0.78,0.8,148.09516745891182
0.79,0.81,147.13243247711387
0.8,0.82,144.6392397555516
0.81,0.83,141.1497695956279
0.82,0.84,139.47113190988867
0.83,0.85,138.56636820416145
0.84,0.86,0.0
0.85,0.87,0.0
0.86,0.88,0.0
0.87,0.89,0.0
0.88,0.9,0.0
0.89,0.91,0.0
0.9,0.92,168.62068631316166
0.91,0.93,169.48822755488214
0.92,0.94,171.37310060064007
0.93,0.95,173.8345594519414
0.94,0.96,176.1975913682283
0.95,0.97,178.14612690899793
0.96,0.98,179.63278866098636
0.97,0.99,180.46643869372613
0.98,1.0,180.56285474566965
0.99,1.01,179.66354595342165
1.0,1.02,177.78104948676616
1.01,1.03,175.13091163431878
1.02,1.04,171.5890045627937
1.03,1.05,169.81859418863354
1.04,1.06,0.0
1.05,1.07,0.0
1.06,1.08,0.0
1.07,1.09,172.59324316512095
1.08,1.1,174.85652522085246
1.09,1.11,178.86355527036656
1.1,1.12,182.49869215023503
1.11,1.13,184.93856224687426
1.12,1.14,186.3829474544587
1.13,1.15,186.86353534694175
1.14,1.16,187.13466038249118
1.15,1.17,187.26389201659086
1.16,1.18,186.93082667374009
1.17,1.19,185.71918959919074
1.18,1.2,183.91992860864022
1.19,1.21,178.88302575393524
1.2,1.22,173.25595167407334
1.21,1.23,166.55599374813312
1.22,1.24,161.4387435082327
1.23,1.25,156.47754287483508
1.24,1.26,154.25204946603884
1.25,1.27,154.27434769978314
1.26,1.28,154.07775172093665
1.27,1.29,151.05824303505122
1.28,1.3,147.16456418279174
1.29,1.31,148.2719431335599
1.3,1.32,151.08761991457783
1.31,1.33,152.8595656088182
1.32,1.34,150.84364071844303
1.33,1.35,149.16037210696462
1.34,1.36,149.31617643886295
1.35,1.37,149.83068077286637
1.36,1.38,150.58407823079432
1.37,1.39,151.2991688113102
1.38,1.4,151.74747901742188
1.39,1.41,151.9373520147632
1.4,1.42,152.0445719510813
1.41,1.43,152.17456633753443
1.42,1.44,152.29705401429823
1.43,1.45,152.34842316223217
1.44,1.46,152.2534348894626
1.45,1.47,151.91515724459435
1.46,1.48,151.3435983507324
1.47,1.49,150.58381278677047
1.48,1.5,149.74259091259773
1.49,1.51,149.03576032078973
1.5,1.52,148.50435100611705
1.51,1.53,147.76394720119004
1.52,1.54,146.81156572378885
1.53,1.55,145.78206963951357
1.54,1.56,145.05100347671623
1.55,1.57,144.243693610847
1.56,1.58,141.79968556689172
1.57,1.59,138.3946226449581
1.58,1.6,135.3811052789365
1.59,1.61,134.51707092544845
1.6,1.62,135.37108256005817
1.61,1.63,136.81938334718913
1.62,1.64,138.2063244796904
1.63,1.65,139.02849820344923
1.64,1.66,139.1358976098409
1.65,1.67,138.5765511614663
1.66,1.68,137.4912830128364
1.67,1.69,136.396059620524
1.68,1.7,135.77596628202906
1.69,1.71,0.0
1.7,1.72,0.0
1.71,1.73,0.0
1.72,1.74,0.0
1.73,1.75,0.0
1.74,1.76,0.0
1.75,1.77,0.0
1.76,1.78,0.0
1.77,1.79,0.0
1.78,1.8,0.0
1.79,1.81,0.0
1.8,1.82,0.0
1.81,1.83,0.0
