Start_Time,End_Time,F0_Hz
0.0,0.02,101.63371495045917
0.01,0.03,98.29565827692767
0.02,0.04,95.02810408734078
0.03,0.05,94.90155969357258
0.04,0.06,119.54839846845385
0.05,0.07,149.21017365869892
0.06,0.08,183.9410438346723
0.07,0.09,180.12323581120896
0.08,0.1,177.953965965263
0.09,0.11,177.12665309300672
0.1,0.12,177.08680889402515
0.11,0.13,177.11065189686
0.12,0.14,176.95602217772927
0.13,0.15,176.68656251986963
0.14,0.16,176.35843639676776
0.15,0.17,175.88490601363233
0.16,0.18,175.3509702970252
0.17,0.19,174.8989506395296
0.18,0.2,174.55650824369656
0.19,0.21,174.26741186422524
0.2,0.22,174.02836908303075
0.21,0.23,173.92616766224788
0.22,0.24,173.83342949727808
0.23,0.25,173.32147438351612
0.24,0.26,171.9159086264302
0.25,0.27,170.21215243758658
0.26,0.28,169.16016229043973
0.27,0.29,169.9992732326879
0.28,0.3,172.19243411281226
0.29,0.31,174.29208500000294
0.3,0.32,175.147544420094
0.31,0.33,174.57424047232422
0.32,0.34,173.1966360482188
0.33,0.35,171.11018174630902
0.34,0.36,168.9097381839354
0.35,0.37,167.63202683212288
0.36,0.38,167.1635646215701
0.37,0.39,0.0
0.38,0.4,0.0
0.39,0.41,752.9877967601526
0.4,0.42,745.9049508279539
0.41,0.43,728.9792183976064
0.42,0.44,719.5935093231402
0.43,0.45,0.0
0.44,0.46,0.0
0.45,0.47,0.0
0.46,0.48,172.01617072956935
0.47,0.49,171.5129121755536
0.48,0.5,169.7345163183945
0.49,0.51,167.81757150959385
0.5,0.52,166.25292701585045
0.51,0.53,167.06176873166478
0.52,0.54,168.53816708170578
0.53,0.55,170.04514745741105
0.54,0.56,170.2022137726107
0.55,0.57,169.89369155519196
0.56,0.58,169.490057517658
0.57,0.59,169.40614230724853
0.58,0.6,169.7382937852862
0.59,0.61,170.24452275406347
0.6,0.62,170.47598279330697
0.61,0.63,170.28006967565534
0.62,0.64,169.90514714920968
0.63,0.65,169.4116669251045
0.64,0.66,168.82146034564244
0.65,0.67,168.33318619465197
0.66,0.68,168.19107461405414
0.67,0.69,168.40560431556955
0.68,0.7,168.71443539462956
0.69,0.71,168.83250882747336
0.7,0.72,168.65162053683613
0.71,0.73,168.17450954029712
0.72,0.74,167.57877217959884
0.73,0.75,167.25303931665312
0.74,0.76,167.35087701411237
0.75,0.77,167.7445376520577
0.76,0.78,168.14427415003104
0.77,0.79,168.51412282525305
0.78,0.8,168.8972890511562
0.79,0.81,169.3559064167909
0.8,0.82,169.95857935239317
0.81,0.83,170.7123089584481
0.82,0.84,171.53334002620971
0.83,0.85,172.28712502343117
0.84,0.86,172.90356263497299
0.85,0.87,173.26847391320902
0.86,0.88,173.2455680646228
0.87,0.89,172.80034643505365
0.88,0.9,171.93356203504771
0.89,0.91,170.7119328018787
0.9,0.92,169.191847893904
0.91,0.93,167.4928507238327
0.92,0.94,165.07129633053984
0.93,0.95,163.00807094843398
0.94,0.96,161.65630793343956
0.95,0.97,0.0
0.96,0.98,0.0
0.97,0.99,0.0
0.98,1.0,0.0
0.99,1.01,0.0
1.0,1.02,0.0
1.01,1.03,206.05371378415146
1.02,1.04,192.85539701748846
1.03,1.05,178.37465142656893
1.04,1.06,167.30392326201004
1.05,1.07,166.38221881721185
1.06,1.08,166.24171766717498
1.07,1.09,166.26250684576732
1.08,1.1,166.35087611687544
1.09,1.11,166.55847100796979
1.1,1.12,166.93003617756037
1.11,1.13,167.35522832325287
1.12,1.14,167.69575521935428
1.13,1.15,167.98044550691458
1.14,1.16,168.3010495045575
1.15,1.17,168.70450983455893
1.16,1.18,169.04392696801474
1.17,1.19,169.04891828413088
1.18,1.2,168.83630342237902
1.19,1.21,169.00387140671492
1.2,1.22,169.7371343558135
1.21,1.23,170.63480060493293
1.22,1.24,171.21657601074133
1.23,1.25,171.530694283989
1.24,1.26,171.7892436804342
1.25,1.27,171.91973464053194
1.26,1.28,171.83938729064187
1.27,1.29,171.41800466936144
1.28,1.3,170.69041802567827
1.29,1.31,168.5727819805224
1.3,1.32,165.00209354232695
1.31,1.33,161.09297795667274
1.32,1.34,158.2677427854947
1.33,1.35,159.8563782847523
1.34,1.36,165.87833667508016
1.35,1.37,173.1554629485148
1.36,1.38,177.3169048265452
1.37,1.39,176.40262552166772
1.38,1.4,172.19550742906625
1.39,1.41,168.063043471247
1.4,1.42,165.1260827460586
1.41,1.43,164.84129010981198
1.42,1.44,164.88649909373157
1.43,1.45,164.8852093125249
1.44,1.46,164.99384060126764
1.45,1.47,165.3574336708735
1.46,1.48,165.8289276859771
1.47,1.49,166.33834068999764
1.48,1.5,166.95802984827287
1.49,1.51,167.31041157075154
1.5,1.52,166.39164111063909
1.51,1.53,164.4194236310106
1.52,1.54,162.44801245231486
1.53,1.55,161.78542944489604
1.54,1.56,162.14438168560736
1.55,1.57,162.78294819796363
1.56,1.58,163.218902770912
1.57,1.59,163.45129121110637
1.58,1.6,163.80740630148557
1.59,1.61,164.36016352312458
1.6,1.62,165.09475840623014
1.61,1.63,166.15300366113283
1.62,1.64,167.56379966470732
1.63,1.65,169.0893943605421
1.64,1.66,170.21106478181932
1.65,1.67,170.53509940486387
1.66,1.68,170.05496453816664
1.67,1.69,168.85989134647045
1.68,1.7,166.79000958320404
1.69,1.71,165.13790822891636
1.7,1.72,164.24682833024278
1.71,1.73,164.6801898064366
1.72,1.74,164.99756709842814
1.73,1.75,0.0
1.74,1.76,0.0
1.75,1.77,0.0
1.76,1.78,0.0
1.77,1.79,0.0
1.78,1.8,0.0
1.79,1.84,0.0
