Start_Time,End_Time,F0_Hz
0.0,0.02,110.30442572745423
0.01,0.03,110.18839353728859
0.02,0.04,110.25317820146189
0.03,0.05,110.74922831804038
0.04,0.06,111.5511975428164
0.05,0.07,112.40344788247778
0.06,0.08,113.105053111573
0.07,0.09,115.32138622444425
0.08,0.1,120.00921492365546
0.09,0.11,126.01351628583903
0.1,0.12,131.9312974407961
0.11,0.13,138.2526362506682
0.12,0.14,143.7747457465155
0.13,0.15,148.0455097119807
0.14,0.16,150.2516780849137
0.15,0.17,153.86272460059527
0.16,0.18,158.56317082995207
0.17,0.19,163.68538107562466
0.18,0.2,168.3203901241378
0.19,0.21,172.06186886334476
0.2,0.22,174.30556549592364
0.21,0.23,175.29367979054902
0.22,0.24,175.4209186749801
0.23,0.25,174.5641624988807
0.24,0.26,172.00629728182372
0.25,0.27,167.7126426830847
0.26,0.28,161.73916404854512
0.27,0.29,156.54079037974117
0.28,0.3,153.09432346393282
0.29,0.31,137.9844992307349
0.3,0.32,124.82721609717272
0.31,0.33,112.92069205368553
0.32,0.34,112.60043602673501
0.33,0.35,0.0
0.34,0.36,0.0
0.35,0.37,0.0
0.36,0.38,127.44960025262209
0.37,0.39,126.92241114747817
0.38,0.4,124.9724863495521
0.39,0.41,122.18219870151073
0.4,0.42,119.19366498988921
0.41,0.43,117.14323241514194
0.42,0.44,115.527408234165
0.43,0.45,114.11585145310505
0.44,0.46,112.62407098964567
0.45,0.47,111.19501602830216
0.46,0.48,109.74902341000474
0.47,0.49,107.41731470032009
0.48,0.5,105.42709456560708
0.49,0.51,104.43684007731085
0.5,0.52,105.61776760789047
0.51,0.53,108.37413063187198
0.52,0.54,111.80039521491068
0.53,0.55,115.18461884657518
0.54,0.56,117.68600865998998
0.55,0.57,119.34618441784308
0.56,0.58,120.36142928079383
0.57,0.59,120.60851448235262
0.58,0.6,120.15977278410475
0.59,0.61,119.15632372492504
0.6,0.62,117.56403785242625
0.61,0.63,115.99525330998186
