Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,193.7635181811011
0.02,0.04,192.75067570537638
0.03,0.05,190.68369536131115
0.04,0.06,190.97214516201066
0.05,0.07,191.15810239615453
0.06,0.08,191.7763387453622
0.07,0.09,193.32609078312052
0.08,0.1,196.16246007968388
0.09,0.11,199.91759385180592
0.1,0.12,203.86990545078035
0.11,0.13,206.39683735723042
0.12,0.14,205.5493596561704
0.13,0.15,203.18841494035138
0.14,0.16,201.00153217822032
0.15,0.17,199.5321676195101
0.16,0.18,197.0197648174897
0.17,0.19,193.51736761391683
0.18,0.2,190.29338575233444
0.19,0.21,188.48739265495612
0.2,0.22,187.7930906013052
0.21,0.23,188.02354948316722
0.22,0.24,188.80979304448107
0.23,0.25,190.05252294283954
0.24,0.26,197.76569650327593
0.25,0.27,205.90529938425016
0.26,0.28,213.5640192977047
0.27,0.29,212.45867653874834
0.28,0.3,209.23705925106583
0.29,0.31,204.89548120680163
0.3,0.32,202.02607720278758
0.31,0.33,200.55196280570027
0.32,0.34,200.55443750204185
0.33,0.35,201.32040562364213
0.34,0.36,202.62726209370106
0.35,0.37,205.06806362465886
0.36,0.38,205.3515746171735
0.37,0.39,203.74703637158208
0.38,0.4,201.05676913983208
0.39,0.41,190.30755872204972
0.4,0.42,177.2527618625377
0.41,0.43,164.54937435685082
0.42,0.44,155.5929734968313
0.43,0.45,149.27653580909865
0.44,0.46,144.09434106396625
0.45,0.47,0.0
0.46,0.48,0.0
0.47,0.49,0.0
0.48,0.5,0.0
0.49,0.51,0.0
0.5,0.52,239.29220236213854
0.51,0.53,236.75273338188515
0.52,0.54,233.03745984129785
0.53,0.55,231.15475268139926
0.54,0.56,231.3057191691951
0.55,0.57,232.57003926231144
0.56,0.58,234.55661388194125
0.57,0.59,236.66020647766172
0.58,0.6,237.932717513667
0.59,0.61,237.27540093063226
0.6,0.62,234.7901845009964
0.61,0.63,221.81536215428534
0.62,0.64,221.02517680139803
0.63,0.65,222.15482127936872
0.64,0.66,234.44805196450199
0.65,0.67,235.66005999390038
0.66,0.68,235.99740901217606
0.67,0.69,235.73988476613386
0.68,0.7,235.56463814144678
0.69,0.71,0.0
0.7,0.72,0.0
0.71,0.73,288.6201136760761
0.72,0.74,287.88143722427037
0.73,0.75,286.6219393490963
0.74,0.76,286.02277518075493
0.75,0.77,285.32865483092513
0.76,0.78,284.3860828275624
0.77,0.79,283.4934705973022
