Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,0.0
0.02,0.04,0.0
0.03,0.05,0.0
0.04,0.06,0.0
0.05,0.07,0.0
0.06,0.08,185.11839959917674
0.07,0.09,184.74257529106413
0.08,0.1,183.80908305630433
0.09,0.11,181.29836473013046
0.1,0.12,178.38443840636208
0.11,0.13,175.6947583321505
0.12,0.14,173.72339944723677
0.13,0.15,172.01016320920903
0.14,0.16,173.27656803710798
0.15,0.17,175.05652723086595
0.16,0.18,177.4383008634105
0.17,0.19,177.35574564568685
0.18,0.2,177.5982044353633
0.19,0.21,177.84655925080344
0.2,0.22,177.5186257987616
0.21,0.23,175.78765671137378
0.22,0.24,173.5335619608604
0.23,0.25,171.05340989439597
0.24,0.26,169.33956243784615
0.25,0.27,167.80494404692132
0.26,0.28,166.66537692131737
0.27,0.29,166.00433771535725
0.28,0.3,166.14031840765693
0.29,0.31,167.91442596375234
0.3,0.32,174.46489478979026
0.31,0.33,181.8970974517848
0.32,0.34,188.19825869782548
0.33,0.35,189.26915321353883
0.34,0.36,188.86579952386168
0.35,0.37,187.36311398351626
0.36,0.38,184.81769535318233
0.37,0.39,180.4242529840098
0.38,0.4,178.16854218584947
0.39,0.41,0.0
0.4,0.42,0.0
0.41,0.43,0.0
0.42,0.44,0.0
0.43,0.45,0.0
0.44,0.46,0.0
0.45,0.47,0.0
0.46,0.48,0.0
0.47,0.49,0.0
0.48,0.5,0.0
0.49,0.51,0.0
0.5,0.52,0.0
0.51,0.53,0.0
0.52,0.54,0.0
0.53,0.55,247.47045251126423
0.54,0.56,244.15616138712102
0.55,0.57,238.47060074763556
0.56,0.58,236.5677678611409
0.57,0.59,236.26989533171994
0.58,0.6,237.07466849829788
0.59,0.61,238.87802175808696
0.6,0.62,241.66590851244797
0.61,0.63,244.86598942157187
0.62,0.64,247.9630118742063
0.63,0.65,250.39155533107555
0.64,0.66,252.25329236455224
0.65,0.67,253.13749473150116
0.66,0.68,252.53915027468395
0.67,0.69,247.99049608358732
0.68,0.7,246.38797218451464
0.69,0.71,245.18653066054694
0.7,0.72,247.99749056345615
0.71,0.73,248.51420615442927
0.72,0.74,243.9227327802519
0.73,0.75,238.43949558186728
0.74,0.76,231.57416609689756
0.75,0.77,228.24110730025387
0.76,0.78,223.95988316277635
0.77,0.79,218.9561776860777
0.78,0.8,211.79761212983863
0.79,0.81,203.31005117316775
0.8,0.82,195.13075728939802
0.81,0.83,190.8218950273371
0.82,0.84,189.73757429330425
0.83,0.85,193.5437640021778
