Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,0.0
0.02,0.04,0.0
0.03,0.05,0.0
0.04,0.06,0.0
0.05,0.07,185.6656299049906
0.06,0.08,184.15663069798438
0.07,0.09,181.62591664951933
0.08,0.1,179.84122580815878
0.09,0.11,179.04454689389914
0.1,0.12,178.77659459776106
0.11,0.13,178.50172739692033
0.12,0.14,177.59022148791604
0.13,0.15,175.99578155364227
0.14,0.16,174.69066014716435
0.15,0.17,174.72484466306219
0.16,0.18,176.58863650688173
0.17,0.19,179.48592299632912
0.18,0.2,182.27661158606142
0.19,0.21,184.12575335663124
0.2,0.22,185.97340967969615
0.21,0.23,195.61411624408663
0.22,0.24,208.0541480229626
0.23,0.25,221.49770014126864
0.24,0.26,227.08596841754093
0.25,0.27,232.27341306133815
0.26,0.28,238.25814712722172
0.27,0.29,244.55217181662715
0.28,0.3,250.01682740247628
0.29,0.31,254.58581905257327
0.3,0.32,258.38852860262193
0.31,0.33,261.109145762041
0.32,0.34,262.5711411599405
0.33,0.35,263.27318167637594
0.34,0.36,263.82492223571705
0.35,0.37,264.62884020287333
0.36,0.38,265.64889003748976
0.37,0.39,266.529770406768
0.38,0.4,266.4403416790945
0.39,0.41,265.074702172961
0.4,0.42,262.74939930362194
0.41,0.43,260.55659705016546
0.42,0.44,259.0061537458154
0.43,0.45,257.826113697971
0.44,0.46,256.18921473613506
0.45,0.47,253.9696128045375
0.46,0.48,250.3437803605622
0.47,0.49,246.70952726519553
0.48,0.5,241.2400710670302
0.49,0.51,235.79406882996315
0.5,0.52,230.8721913205002
0.51,0.53,216.76664945728737
0.52,0.54,200.51047199944944
0.53,0.55,146.51830550837093
0.54,0.56,127.16556329014132
0.55,0.57,0.0
0.56,0.58,0.0
0.57,0.59,0.0
0.58,0.6,0.0
0.59,0.61,0.0
0.6,0.62,0.0
0.61,0.63,0.0
0.62,0.64,0.0
0.63,0.65,198.48164872048275
0.64,0.66,196.94931904187314
0.65,0.67,193.63180641372838
0.66,0.68,189.11574243137653
0.67,0.69,185.18236939511732
0.68,0.7,181.88988315582822
0.69,0.71,179.54501881715495
0.7,0.72,177.86329318537173
0.71,0.73,177.11443741516084
0.72,0.74,176.88285031578684
0.73,0.75,176.88164208407144
0.74,0.76,176.8704955614113
0.75,0.77,176.1625752790059
0.76,0.78,174.68427054049928
0.77,0.79,174.4112180081141
0.78,0.8,175.17741793613476
0.79,0.81,176.85646597199025
0.8,0.82,178.11810196670748
0.81,0.83,183.81641397658566
