Start_Time,End_Time,F0_Hz
0.0,0.02,0.0
0.01,0.03,0.0
0.02,0.04,0.0
0.03,0.05,0.0
0.04,0.06,0.0
0.05,0.07,0.0
0.06,0.08,0.0
0.07,0.09,184.92042921232172
0.08,0.1,184.56208635289312
0.09,0.11,183.55863047024621
0.1,0.12,181.09083239731518
0.11,0.13,178.23097436925292
0.12,0.14,175.65670702479932
0.13,0.15,173.8931931087663
0.14,0.16,172.2361486574478
0.15,0.17,173.56512976333994
0.16,0.18,175.24223859605948
0.17,0.19,177.57914769910744
0.18,0.2,177.39823020432544
0.19,0.21,177.59303895780536
0.2,0.22,177.80639639526152
0.21,0.23,177.4619956762764
0.22,0.24,175.85967802048577
0.23,0.25,173.65319048478082
0.24,0.26,171.26043904653324
0.25,0.27,169.43229251256807
0.26,0.28,167.8442901371903
0.27,0.29,166.59796534015004
0.28,0.3,165.92441504723266
0.29,0.31,166.13177059403665
0.3,0.32,168.20589932959774
0.31,0.33,174.80471158507243
0.32,0.34,182.2183431680131
0.33,0.35,188.2380313349207
0.34,0.36,189.30894359971435
0.35,0.37,188.95966633434867
0.36,0.38,187.55212772234185
0.37,0.39,185.26873102738418
0.38,0.4,180.89665101682277
0.39,0.41,178.7285814328694
0.4,0.42,0.0
0.41,0.43,0.0
0.42,0.44,0.0
0.43,0.45,0.0
0.44,0.46,0.0
0.45,0.47,0.0
0.46,0.48,0.0
0.47,0.49,0.0
0.48,0.5,0.0
0.49,0.51,0.0
0.5,0.52,0.0
0.51,0.53,0.0
0.52,0.54,0.0
0.53,0.55,0.0
0.54,0.56,243.86995865147307
0.55,0.57,241.68124500154914
0.56,0.58,238.07263498455342
0.57,0.59,236.45374222683185
0.58,0.6,236.26458516724105
0.59,0.61,237.08151182082224
0.6,0.62,238.84560036099697
0.61,0.63,241.53649240610062
0.62,0.64,244.57151765000782
0.63,0.65,247.580407423759
0.64,0.66,250.00713173350078
0.65,0.67,251.97464259800012
0.66,0.68,253.38739063583836
0.67,0.69,253.2195012628924
0.68,0.7,248.62506308968753
0.69,0.71,244.97845773788464
0.7,0.72,243.5374006571425
0.71,0.73,246.49690298885398
0.72,0.74,248.64566251170714
0.73,0.75,244.04417813079647
0.74,0.76,238.48079487725013
0.75,0.77,231.6041715274247
0.76,0.78,228.2330607359599
0.77,0.79,224.10540999180512
0.78,0.8,219.6990729507955
0.79,0.81,213.4136282254391
0.8,0.82,205.74561245027988
0.81,0.83,197.01264530771766
0.82,0.84,191.87025693058104
0.83,0.85,189.93547027276045
