Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,144.16159673226204
0.065,0.075,138.91559350122034
0.075,0.085,121.61511187992778
0.085,0.095,109.77655131068462
0.095,0.105,104.16150737798385
0.105,0.115,0.0
0.115,0.125,0.0
0.125,0.135,0.0
0.135,0.145,0.0
0.145,0.155,0.0
0.155,0.165,0.0
0.165,0.175,0.0
0.175,0.185,0.0
0.185,0.195,0.0
0.195,0.205,0.0
0.205,0.215,0.0
0.215,0.225,0.0
0.225,0.235,0.0
0.235,0.245,0.0
0.245,0.255,134.1574983543717
0.255,0.265,127.14306049666064
0.265,0.275,123.0789049418527
0.275,0.285,120.14762993805103
0.285,0.295,118.77563651674203
0.295,0.305,118.67606701875356
0.305,0.315,119.11219496609546
0.315,0.325,120.12773153746427
0.325,0.335,121.28426739302677
0.335,0.345,121.35151454047863
0.345,0.355,121.12116390875102
0.355,0.365,120.50221887349103
0.365,0.375,119.75621940153891
0.375,0.385,119.44476771734892
0.385,0.395,119.5446651577361
0.395,0.405,119.86040633297343
0.405,0.415,120.19311515766442
0.415,0.425,120.14782243573322
0.425,0.435,119.67905026222394
0.435,0.445,118.71540898314653
0.445,0.455,118.60661090113689
0.455,0.465,118.60956435415277
0.465,0.475,118.47521252613332
0.475,0.485,118.18482042610458
0.485,0.495,117.20361609663422
0.495,0.505,115.6612946653319
0.505,0.515,114.34303593627116
0.515,0.525,114.21993034719874
0.525,0.535,114.23145423071466
0.535,0.545,125.24059222043965
0.545,0.555,125.01260164189578
0.555,0.565,125.95245629606896
0.565,0.575,126.42726427947831
0.575,0.585,125.93140369072843
0.585,0.595,124.19802203799745
0.595,0.605,120.66984235897256
0.605,0.615,115.99355172720006
0.615,0.625,116.67104595021625
0.625,0.635,124.21861139230673
0.635,0.645,126.30603957405347
0.645,0.655,127.59415740783383
0.655,0.665,128.54413270803622
0.665,0.675,129.4512358201597
0.675,0.685,129.76859723429138
0.685,0.695,129.7337781955198
0.695,0.705,129.10044004310035
0.705,0.715,127.5361452130628
0.715,0.725,125.55480680042274
0.725,0.735,122.98549327985965
0.735,0.745,120.18347139516379
0.745,0.755,116.58202528325566
0.755,0.765,113.88437556473927
0.765,0.775,111.97752529930091
0.775,0.785,110.33849262264728
0.785,0.795,109.526273615927
0.795,0.805,108.94044779910733
0.805,0.815,106.94218930174326
0.815,0.825,100.8084759112159
0.825,0.835,100.39364758165833
0.835,0.845,106.54054490608095
0.845,0.855,108.13126849945607
0.855,0.865,109.1489589765878
0.865,0.875,109.36911001799048
0.875,0.885,108.97962708840119
0.885,0.895,108.03280997342765
0.895,0.905,106.46652545023447
0.905,0.915,0.0
0.915,0.925,0.0
0.925,0.935,0.0
0.935,0.945,0.0
0.945,0.955,0.0
0.955,0.965,0.0
