Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,166.32241420327202
0.095,0.105,169.49559595793315
0.105,0.115,175.03514920865047
0.115,0.125,181.80740636029026
0.125,0.135,187.69792955482305
0.135,0.145,191.06691221174808
0.145,0.155,192.1285768400203
0.155,0.165,191.9129895120207
0.165,0.175,191.41931230819404
0.175,0.185,190.82473019196007
0.185,0.195,189.4387829298761
0.195,0.205,187.55350839493855
0.205,0.215,187.36847994268547
0.215,0.225,187.52515003867495
0.225,0.235,189.58503013256097
0.235,0.245,217.11928867593437
0.245,0.255,221.03859245496375
0.255,0.265,225.8086859653681
0.265,0.275,232.42895698116476
0.275,0.285,241.12121964320187
0.285,0.295,258.64009894739473
0.295,0.305,269.74455642527926
0.305,0.315,288.2445281834349
0.315,0.325,300.2879754680779
0.325,0.335,310.83241117198105
0.335,0.345,318.7317336576406
0.345,0.355,327.6055485254572
0.355,0.365,336.7246717611732
0.365,0.375,341.45498807364027
0.375,0.385,341.78156915608406
0.385,0.395,335.74680242422113
0.395,0.405,323.79661713439253
0.405,0.415,308.87183018674915
0.415,0.425,0.0
0.425,0.435,0.0
0.435,0.445,0.0
0.445,0.455,0.0
0.455,0.465,0.0
0.465,0.475,0.0
0.475,0.485,0.0
0.485,0.495,0.0
0.495,0.505,0.0
0.505,0.515,0.0
0.515,0.525,0.0
0.525,0.535,0.0
0.535,0.545,0.0
0.545,0.555,0.0
0.555,0.565,0.0
0.565,0.575,0.0
0.575,0.585,0.0
0.585,0.595,251.83381930169352
0.595,0.605,247.41322071093802
0.605,0.615,240.66554753899683
0.615,0.625,234.0383047896479
0.625,0.635,228.01017622092553
0.635,0.645,222.6435965085285
0.645,0.655,218.1636856155594
0.655,0.665,214.48244756902963
0.665,0.675,211.85964002612815
0.675,0.685,210.18938191041693
0.685,0.695,209.29989901607843
0.695,0.705,208.77472012624565
0.705,0.715,208.40019306397923
0.715,0.725,207.8136886551346
0.725,0.735,206.591264461847
0.735,0.745,205.05502143676753
0.745,0.755,203.42602264620027
0.755,0.765,202.05834588003373
0.765,0.775,200.90309462199912
0.775,0.785,199.65607737238471
0.785,0.795,198.10801975159683
0.795,0.805,196.40879347523398
0.805,0.815,197.59793014410715
0.815,0.825,202.45570488952112
0.825,0.835,206.28874199159
0.835,0.845,210.59980241936128
0.845,0.855,205.90727357700257
0.855,0.865,204.7223611844817
0.865,0.875,205.00077116016084
0.875,0.885,204.56318396072555
0.885,0.895,202.5222411037636
0.895,0.905,318.6008157688136
0.905,0.915,329.7221061061631
0.915,0.925,330.641272464125
0.925,0.935,329.05301356002724
0.935,0.945,331.41272166822756
0.945,0.955,227.0832254154242
0.955,0.965,225.67574331567627
