Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,100.69683841466943
0.085,0.095,101.0665202387452
0.095,0.105,101.21348138055
0.105,0.115,100.88370968072755
0.115,0.125,100.64212193467255
0.125,0.135,100.47992913692873
0.135,0.145,100.15304108662991
0.145,0.155,100.16842471833147
0.155,0.165,101.52189432985584
0.165,0.175,101.66590102428714
0.175,0.185,101.70109116537063
0.185,0.195,101.564149204368
0.195,0.205,100.13217131465615
0.205,0.215,100.26460111481926
0.215,0.225,100.1939227596024
0.225,0.235,98.87354640772786
