Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,438.93890081455714
0.065,0.075,431.1884202931902
0.075,0.085,487.20724596810766
0.085,0.095,485.0432429121148
0.095,0.105,485.6438001687438
0.105,0.115,0.0
0.115,0.125,0.0
0.125,0.135,0.0
0.135,0.145,0.0
0.145,0.155,0.0
0.155,0.165,0.0
0.165,0.175,0.0
0.175,0.185,0.0
0.185,0.195,0.0
0.195,0.205,173.06268301303803
0.205,0.215,173.16608349903106
0.215,0.225,172.55069137779094
0.225,0.235,171.55596551138697
0.235,0.245,170.7554300126965
0.245,0.255,170.08207390409467
0.255,0.265,168.91590794973936
0.265,0.275,167.0729542504735
0.275,0.285,166.0682753559459
0.285,0.295,165.81542071577812
0.295,0.305,165.5542002269657
0.305,0.315,165.26054404444287
0.315,0.325,164.85368359136814
0.325,0.335,164.3189563184389
0.335,0.345,163.32431886848585
0.345,0.355,161.2264649196935
0.355,0.365,160.44911323479676
0.365,0.375,163.96898241852665
0.375,0.385,164.6091672317717
0.385,0.395,164.69438032547575
0.395,0.405,164.0854758064488
0.405,0.415,163.6926433886786
0.415,0.425,0.0
0.425,0.435,0.0
0.435,0.445,0.0
0.445,0.455,0.0
0.455,0.465,0.0
0.465,0.475,0.0
0.475,0.485,0.0
0.485,0.495,0.0
0.495,0.505,0.0
0.505,0.515,0.0
0.515,0.525,0.0
0.525,0.535,164.7978927454683
0.535,0.545,161.24959963831589
0.545,0.555,160.00116277010235
0.555,0.565,158.7944297338434
0.565,0.575,157.17835294556647
0.575,0.585,156.11781204423818
0.585,0.595,158.1508025117565
0.595,0.605,162.36228255462925
0.605,0.615,165.1327212812063
0.615,0.625,166.41353360520554
0.625,0.635,167.04667732498186
0.635,0.645,166.6164644086912
0.645,0.655,164.57961652064193
0.655,0.665,160.9826815946432
0.665,0.675,157.93187785536796
0.675,0.685,157.91554642794364
0.685,0.695,158.30558790576413
0.695,0.705,0.0
0.705,0.715,0.0
0.715,0.725,0.0
0.725,0.735,0.0
0.735,0.745,167.21827826057262
0.745,0.755,162.9105579137876
0.755,0.765,155.35209370126714
0.765,0.775,147.90509761917104
0.775,0.785,146.2931503813878
0.785,0.795,148.26927800735888
0.795,0.805,147.95764400707316
0.805,0.815,148.4792828774918
0.815,0.825,159.3598639084985
0.825,0.835,171.11706597389593
0.835,0.845,170.4274445840966
0.845,0.855,169.15768069128038
0.855,0.865,0.0
0.865,0.875,0.0
0.875,0.885,0.0
0.885,0.895,0.0
0.895,0.905,176.32924252666746
0.905,0.915,171.96111686216665
0.915,0.925,172.05080668289693
0.925,0.935,178.48867381295906
0.935,0.945,185.16909744171255
0.945,0.955,193.40270071895495
0.955,0.965,200.80723446023453
0.965,0.975,208.19963490769365
0.975,0.985,217.69886383611873
0.985,0.995,223.7920424720809
0.995,1.005,229.57315310098252
1.005,1.015,236.70822199488654
1.015,1.025,250.77765348975225
1.025,1.035,255.97719101171836
1.035,1.045,255.82627018254865
1.045,1.055,253.9075730736355
1.055,1.065,250.995751497481
1.065,1.075,247.83737126478076
1.075,1.085,245.05919702503004
1.085,1.095,242.50653974906288
1.095,1.105,239.3235895160286
1.105,1.115,235.66161246624407
1.115,1.125,230.99105838081482
1.125,1.135,225.32316142732446
1.135,1.145,218.81782665766778
1.145,1.155,211.66676021164915
1.155,1.165,204.27855053730315
1.165,1.175,197.5323838523148
1.175,1.185,191.52324581046724
1.185,1.195,187.34833242808034
1.195,1.205,184.5935831243045
1.205,1.215,182.23486249650972
1.215,1.225,182.2118211586792
1.225,1.235,180.81745305526405
1.235,1.245,173.21075779713345
1.245,1.255,164.44756429096202
1.255,1.265,174.44658231259203
1.265,1.275,0.0
1.275,1.285,0.0
1.285,1.295,0.0
1.295,1.305,0.0
1.305,1.315,173.01812270259902
1.315,1.325,172.715200391106
1.325,1.335,171.90417504769513
1.335,1.345,170.47426339074792
1.345,1.355,168.80900070994326
1.355,1.365,167.5884831088981
1.365,1.375,166.6042370885297
1.375,1.385,164.80883506804463
1.385,1.395,163.2431148976296
1.395,1.405,162.34691569380516
1.405,1.415,162.35933570424575
1.415,1.425,164.1956526264958
1.425,1.435,165.8144047081267
