Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,0.0
0.095,0.105,0.0
0.105,0.115,0.0
0.115,0.125,164.13507881434538
0.125,0.135,163.213778076437
0.135,0.145,161.35714607731325
0.145,0.155,158.3892945622696
0.155,0.165,155.16248595991365
0.165,0.175,151.30318678441517
0.175,0.185,146.33467228892866
0.185,0.195,141.46204705305172
0.195,0.205,137.61274433763145
0.205,0.215,132.809577743742
0.215,0.225,0.0
0.225,0.235,0.0
0.235,0.245,0.0
0.245,0.255,0.0
0.255,0.265,0.0
0.265,0.275,0.0
0.275,0.285,0.0
0.285,0.295,0.0
0.295,0.305,0.0
0.305,0.315,0.0
0.315,0.325,0.0
0.325,0.335,140.534337259124
0.335,0.345,136.5894006302878
0.345,0.355,132.8128960048537
0.355,0.365,129.78424806535992
0.365,0.375,127.57439099378945
0.375,0.385,127.04381817390215
0.385,0.395,126.6584290981133
0.395,0.405,126.22566618808226
0.405,0.415,63.26495883954964
0.415,0.425,63.94961594705344
0.425,0.435,64.81915078652167
0.435,0.445,65.60951400991746
0.445,0.455,66.16813410950854
0.455,0.465,65.85945234238847
0.465,0.475,65.48280252894388
0.475,0.485,65.47302333410691
0.485,0.495,65.55046383269611
0.495,0.505,65.42895307883508
0.505,0.515,65.30435997303938
0.515,0.525,65.077388348033
0.525,0.535,64.686618288178
0.535,0.545,64.5226969375959
0.545,0.555,64.68474505850224
0.555,0.565,65.0582958056352
0.565,0.575,65.90211369463672
0.575,0.585,67.03376247365992
0.585,0.595,68.35833095764124
0.595,0.605,71.23579871580921
0.605,0.615,72.24830946644846
0.615,0.625,71.24992144199774
0.625,0.635,70.65840264499505
0.635,0.645,70.23942607120821
0.645,0.655,68.43133525120973
0.655,0.665,66.33961083794718
0.665,0.675,0.0
0.675,0.685,0.0
0.685,0.695,0.0
0.695,0.705,0.0
0.705,0.715,0.0
0.715,0.725,0.0
0.725,0.735,0.0
0.735,0.745,0.0
0.745,0.755,0.0
0.755,0.765,0.0
0.765,0.775,0.0
0.775,0.785,0.0
0.785,0.795,0.0
0.795,0.805,0.0
0.805,0.815,0.0
0.815,0.825,189.45835597833218
0.825,0.835,194.98116727393185
0.835,0.845,197.85447546250552
0.845,0.855,200.71828629859598
0.855,0.865,0.0
0.865,0.875,0.0
0.875,0.885,0.0
0.885,0.895,0.0
0.895,0.905,0.0
0.905,0.915,0.0
0.915,0.925,0.0
0.925,0.935,0.0
0.935,0.945,0.0
0.945,0.955,0.0
0.955,0.965,0.0
0.965,0.975,0.0
0.975,0.985,0.0
0.985,0.995,0.0
0.995,1.005,0.0
1.005,1.015,0.0
1.015,1.025,0.0
1.025,1.035,0.0
1.035,1.045,0.0
