Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,0.0
0.095,0.105,0.0
0.105,0.115,0.0
0.115,0.125,0.0
0.125,0.135,0.0
0.135,0.145,0.0
0.145,0.155,0.0
0.155,0.165,0.0
0.165,0.175,0.0
0.175,0.185,0.0
0.185,0.195,0.0
0.195,0.205,0.0
0.205,0.215,0.0
0.215,0.225,0.0
0.225,0.235,0.0
0.235,0.245,0.0
0.245,0.255,0.0
0.255,0.265,0.0
0.265,0.275,0.0
0.275,0.285,0.0
0.285,0.295,63.71028995427669
0.295,0.305,64.52879977158616
0.305,0.315,64.59850779325164
0.315,0.325,63.566798031317965
0.325,0.335,63.324595488614044
0.335,0.345,63.64688616750609
0.345,0.355,62.38828143584244
0.355,0.365,60.58695205639963
0.365,0.375,61.86807907260106
0.375,0.385,62.85973635244651
0.385,0.395,0.0
0.395,0.405,0.0
0.405,0.415,0.0
0.415,0.425,0.0
0.425,0.435,0.0
0.435,0.445,0.0
0.445,0.455,0.0
0.455,0.465,0.0
0.465,0.475,164.6900465368883
0.475,0.485,167.87883809950392
0.485,0.495,174.7689171758506
0.495,0.505,183.32778815982792
0.505,0.515,186.0277936845946
0.515,0.525,186.8232385179397
0.525,0.535,187.99437884607832
0.535,0.545,188.7182895430773
0.545,0.555,187.264157856149
0.555,0.565,183.63526984797343
0.565,0.575,178.38808992579487
0.575,0.585,175.67224427257545
0.585,0.595,175.62543032405569
0.595,0.605,174.12035285505164
0.605,0.615,170.27502416969216
0.615,0.625,167.5264262526449
0.625,0.635,165.53161395431437
0.635,0.645,163.53170476178272
0.645,0.655,161.362548026233
0.655,0.665,158.24296483184523
0.665,0.675,154.88301596453678
0.675,0.685,151.6210024430773
0.685,0.695,148.36420083737357
0.695,0.705,145.86995082358786
0.705,0.715,143.82694754825079
0.715,0.725,142.93746193923806
0.725,0.735,143.28382154610497
0.735,0.745,143.90834383281623
0.745,0.755,144.6776517083167
0.755,0.765,145.0563018224688
0.765,0.775,144.37328307655014
0.775,0.785,143.34102882167102
0.785,0.795,142.19684569796894
0.795,0.805,141.05343954405808
0.805,0.815,140.16910325268006
0.815,0.825,139.85904991537876
0.825,0.835,140.27457989983793
0.835,0.845,140.68354012393132
0.845,0.855,140.79422612461326
0.855,0.865,140.55170099902793
0.865,0.875,140.01747814492697
0.875,0.885,139.58665140490768
0.885,0.895,138.9754101430181
0.895,0.905,137.60273284051155
0.905,0.915,135.6991718865261
0.915,0.925,132.96805937340602
0.925,0.935,129.38918009282398
0.935,0.945,127.03641856341076
0.945,0.955,125.98954478560049
0.955,0.965,124.43328069576532
0.965,0.975,122.31538996413386
0.975,0.985,119.95140213908893
