Start_Time,End_Time,F0_Hz
0.03,0.04,275.50207419703116
0.04,0.05,275.62280152874496
0.05,0.06,276.84438808876956
0.06,0.07,274.90186612679105
0.07,0.08,181.17344555560717
0.08,0.09,180.01786869275966
0.09,0.1,180.84221372691331
0.1,0.11,182.8210922211212
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,0.0
0.15,0.16,0.0
0.16,0.17,0.0
0.17,0.18,0.0
0.18,0.19,0.0
0.19,0.2,0.0
0.2,0.21,198.2530809731302
0.21,0.22,191.72303042178277
0.22,0.23,187.6585346945386
0.23,0.24,185.6026881890357
0.24,0.25,184.5420766430454
0.25,0.26,183.7194167564601
0.26,0.27,182.86445432857863
0.27,0.28,181.70020762038894
0.28,0.29,180.50437330844088
0.29,0.3,179.82069747839105
0.3,0.31,179.21965329908906
0.31,0.32,177.40915408935766
0.32,0.33,173.19002715441374
0.33,0.34,172.18597980152902
0.34,0.35,171.6022921578724
0.35,0.36,170.97380325568577
0.36,0.37,170.58461348402122
0.37,0.38,169.96007655868593
0.38,0.39,169.44600868054232
0.39,0.4,0.0
0.4,0.41,0.0
0.41,0.42,0.0
0.42,0.43,0.0
0.43,0.44,0.0
0.44,0.45,177.74160798380558
0.45,0.46,173.79130688549148
0.46,0.47,170.21036021365327
0.47,0.48,166.34610596268777
0.48,0.49,163.54132575903947
0.49,0.5,162.11108664447596
0.5,0.51,161.97075733363022
0.51,0.52,163.48615359863697
0.52,0.53,166.550427909787
0.53,0.54,168.30899559278345
0.54,0.55,168.50093884213024
0.55,0.56,167.58320491045103
0.56,0.57,166.09173945409728
0.57,0.58,165.09224458106596
0.58,0.59,163.75949339901476
0.59,0.6,163.11302538348207
0.6,0.61,163.03809979672985
0.61,0.62,166.07329211065627
0.62,0.63,166.70369154209126
0.63,0.64,166.72673142472746
0.64,0.65,166.41658044496742
0.65,0.66,166.0405990763755
0.66,0.67,165.9333048629133
0.67,0.68,165.60832858070694
0.68,0.69,165.00820635854893
0.69,0.7,164.05374594802345
0.7,0.71,163.21908823373724
0.71,0.72,162.90673258320666
0.72,0.73,163.2459065300123
0.73,0.74,163.93067862904027
0.74,0.75,164.1643451204426
0.75,0.76,163.88099805943924
0.76,0.77,163.79162275687196
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,166.49307513428562
0.83,0.84,165.73258487530077
0.84,0.85,165.8817454820749
0.85,0.86,166.59741338687536
0.86,0.87,166.71315810316565
0.87,0.88,166.710929905645
0.88,0.89,166.67899635715506
0.89,0.9,166.28589146203342
0.9,0.91,165.13197871255554
0.91,0.92,0.0
0.92,0.93,0.0
0.93,0.94,0.0
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,0.0
0.97,0.98,0.0
0.98,0.99,0.0
0.99,1.0,0.0
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,0.0
1.03,1.04,0.0
1.04,1.05,0.0
1.05,1.06,0.0
1.06,1.07,0.0
1.07,1.08,170.3895919457132
1.08,1.09,171.36581922593
1.09,1.1,171.975103193308
1.1,1.11,171.89465177523977
1.11,1.12,171.63630929693207
1.12,1.13,171.31495434241393
1.13,1.14,170.9523827919695
1.14,1.15,169.98817283692938
1.15,1.16,168.81996357387155
1.16,1.17,167.9755124992419
1.17,1.18,167.21379619108285
1.18,1.19,166.1379467072939
1.19,1.2,165.4088453371852
1.2,1.21,165.03369254517918
1.21,1.22,165.03725682398957
1.22,1.23,165.78213623354958
1.23,1.24,166.55610187605544
1.24,1.25,167.00713256683548
1.25,1.26,167.65570447193667
1.26,1.27,167.83980020638148
1.27,1.28,166.38736734853313
1.28,1.29,165.79720032000367
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
