Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,0.0
0.095,0.105,0.0
0.105,0.115,115.07635096257287
0.115,0.125,114.63328754181694
0.125,0.135,112.5183128040338
0.135,0.145,111.75292237655383
0.145,0.155,112.4907752605306
0.155,0.165,113.27594003505085
0.165,0.175,113.51955501117689
0.175,0.185,113.55121735698259
0.185,0.195,114.24309568495539
0.195,0.205,0.0
0.205,0.215,0.0
0.215,0.225,0.0
0.225,0.235,0.0
0.235,0.245,0.0
0.245,0.255,0.0
0.255,0.265,0.0
0.265,0.275,0.0
0.275,0.285,0.0
0.285,0.295,0.0
0.295,0.305,0.0
0.305,0.315,0.0
0.315,0.325,0.0
0.325,0.335,122.39559419693553
0.335,0.345,118.53272397174567
0.345,0.355,115.57876736846207
0.355,0.365,113.66155559818537
0.365,0.375,112.1656075357767
0.375,0.385,110.8510554402233
0.385,0.395,109.70693211602533
0.395,0.405,108.26153311161116
0.405,0.415,107.60299647414068
0.415,0.425,108.00557337858314
0.425,0.435,108.9034491364051
0.435,0.445,109.11793093872926
0.445,0.455,108.95876861529686
0.455,0.465,109.05160778755418
0.465,0.475,109.08156631149009
0.475,0.485,108.75124441358636
0.485,0.495,108.33061991779789
0.495,0.505,108.0294357164959
0.505,0.515,107.73502056742149
0.515,0.525,107.44724046569823
0.525,0.535,107.58024404830581
0.535,0.545,107.99595961245521
0.545,0.555,108.51670196087845
0.555,0.565,108.77794751227903
0.565,0.575,108.42451948557411
0.575,0.585,107.78895892448067
0.585,0.595,107.38625668047598
0.595,0.605,107.5844804115883
0.605,0.615,107.6144724885499
0.615,0.625,107.08880664180201
0.625,0.635,106.88113475955839
0.635,0.645,106.89600673290502
0.645,0.655,106.82439994400393
0.655,0.665,106.68388178474227
0.665,0.675,106.51047594213622
0.675,0.685,106.1454618041739
0.685,0.695,104.8014830702904
0.695,0.705,101.85125128204164
0.705,0.715,101.51725769760635
0.715,0.725,101.81333011844933
0.725,0.735,105.69364111845957
0.735,0.745,105.87341333579928
0.745,0.755,105.70702032349622
0.755,0.765,105.45779726287348
0.765,0.775,105.33453142424023
0.775,0.785,105.18373636159258
0.785,0.795,104.87632657607318
0.795,0.805,104.73768694142345
0.805,0.815,104.58042749638612
0.815,0.825,104.3066214164055
0.825,0.835,103.94405681315787
0.835,0.845,103.51240004127015
0.845,0.855,103.53174581689288
0.855,0.865,103.68356059363362
0.865,0.875,103.76426018347543
0.875,0.885,103.44948293316752
0.885,0.895,102.74805307358731
0.895,0.905,102.55981056142909
0.905,0.915,102.82123201951147
0.915,0.925,102.93563635891613
0.925,0.935,102.9192939803456
0.935,0.945,103.01580780917652
0.945,0.955,102.81486524804724
