Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,174.46667457881279
0.085,0.095,170.7648490521905
0.095,0.105,168.53178921211878
0.105,0.115,166.5016065297755
0.115,0.125,161.17856565714948
0.125,0.135,0.0
0.135,0.145,0.0
0.145,0.155,0.0
0.155,0.165,0.0
0.165,0.175,0.0
0.175,0.185,0.0
0.185,0.195,0.0
0.195,0.205,169.6070284119142
0.205,0.215,164.4428523302786
0.215,0.225,161.69204124552397
0.225,0.235,160.85830539660208
0.235,0.245,161.67964033689094
0.245,0.255,162.12443131292542
0.255,0.265,163.14786083423647
0.265,0.275,163.89806629298124
0.275,0.285,164.9119373332155
0.285,0.295,166.92912713807937
0.295,0.305,171.57514751652388
0.305,0.315,184.83089162060546
0.315,0.325,198.11562929098923
0.325,0.335,206.2549225884669
0.335,0.345,212.05564286821402
0.345,0.355,216.40143780865165
0.355,0.365,219.97572305486213
0.365,0.375,223.55714481951202
0.375,0.385,226.393902687971
0.385,0.395,223.24104197067896
0.395,0.405,210.66240599074533
0.405,0.415,201.80051170226608
0.415,0.425,197.3876312808208
0.425,0.435,195.02579979492106
0.435,0.445,193.09268143549957
0.445,0.455,190.58839720428102
0.455,0.465,187.24148693515122
0.465,0.475,182.49091039667888
0.475,0.485,183.41412334508826
0.485,0.495,184.0065494846298
0.495,0.505,182.98517570182628
0.505,0.515,180.9266833909751
0.515,0.525,178.149978969148
0.525,0.535,174.15523042786927
0.535,0.545,170.6259551061403
0.545,0.555,167.53975600325754
0.555,0.565,167.1208899531276
0.565,0.575,170.05013454132268
0.575,0.585,169.6815555263599
0.585,0.595,169.64545116072983
0.595,0.605,169.49925348998914
0.605,0.615,169.23745859798356
0.615,0.625,168.3913706379368
0.625,0.635,166.53230769301106
0.635,0.645,163.9579475118014
0.645,0.655,161.41909415077146
0.655,0.665,159.8435638677804
0.665,0.675,159.23609289909277
0.675,0.685,159.11817628063437
0.685,0.695,158.52936197258546
0.695,0.705,157.71468672538995
0.705,0.715,157.18379204645407
0.715,0.725,156.8300117716097
0.725,0.735,156.305719357812
0.735,0.745,154.93803489871792
0.745,0.755,152.31626322373984
0.755,0.765,150.1074378671152
0.765,0.775,149.8784755533246
0.775,0.785,149.6531694967153
0.785,0.795,148.69363786829928
0.795,0.805,147.61437629657166
0.805,0.815,146.9045973444174
0.815,0.825,146.2024375237267
0.825,0.835,145.129114213113
0.835,0.845,144.33931711293573
0.845,0.855,144.00977848276574
0.855,0.865,143.60029385419438
0.865,0.875,143.52504514186842
0.875,0.885,144.34206560443033
0.885,0.895,146.98272109714102
0.895,0.905,150.9942950749984
0.905,0.915,154.2463794655273
0.915,0.925,156.44159457388258
0.925,0.935,158.03263125469007
0.935,0.945,159.9338369601545
0.945,0.955,169.11929187366525
0.955,0.965,169.83401285222735
0.965,0.975,168.35703637924763
0.975,0.985,167.77555372913477
0.985,0.995,168.8880020847687
0.995,1.005,172.22111720509398
1.005,1.015,177.969120971909
1.015,1.025,181.36781672176537
1.025,1.035,184.3819410098042
1.035,1.045,190.51547650483653
1.045,1.055,198.28449521766603
1.055,1.065,205.49422117397978
1.065,1.075,210.20539513735716
1.075,1.085,213.35013295730292
1.085,1.095,214.51746379853975
1.095,1.105,214.33807418166447
1.105,1.115,217.18943850878577
1.115,1.125,223.29586701161807
1.125,1.135,224.64386554867914
1.135,1.145,220.0704161987665
1.145,1.155,211.97518176707354
1.155,1.165,202.78204552985562
1.165,1.175,194.60803232265332
1.175,1.185,188.34294226959497
1.185,1.195,183.7838636091235
1.195,1.205,180.9418441558344
1.205,1.215,0.0
1.215,1.225,0.0
1.225,1.235,0.0
1.235,1.245,0.0
1.245,1.255,0.0
1.255,1.265,0.0
1.265,1.275,0.0
1.275,1.285,0.0
1.285,1.295,0.0
1.295,1.305,0.0
1.305,1.315,0.0
1.315,1.325,0.0
1.325,1.335,0.0
1.335,1.345,0.0
1.345,1.355,0.0
1.355,1.365,0.0
1.365,1.375,0.0
1.375,1.385,0.0
1.385,1.395,0.0
1.395,1.405,165.4707727630543
1.405,1.415,162.41706000679562
1.415,1.425,157.8202015946819
1.425,1.435,153.94378002444049
1.435,1.445,151.40247363142197
1.445,1.455,149.1440704423532
1.455,1.465,147.65486833044412
1.465,1.475,146.11129077386042
1.475,1.485,144.79986409309413
1.485,1.495,144.64940050440018
1.495,1.505,145.5155806199098
1.505,1.515,148.19978355343108
1.515,1.525,152.60280196496555
1.525,1.535,154.35974911967173
1.535,1.545,152.67030653090157
1.545,1.555,0.0
1.555,1.565,0.0
1.565,1.575,0.0
