Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,153.44088108732646
0.095,0.105,154.20028375146921
0.105,0.115,155.83777602066212
0.115,0.125,158.46077748208114
0.125,0.135,161.76391047184708
0.135,0.145,164.72660111719966
0.145,0.155,166.6450569633685
0.155,0.165,167.03321291039413
0.165,0.175,166.48816740338637
0.175,0.185,166.16703658986484
0.185,0.195,165.83155648029097
0.195,0.205,163.7020521890251
0.205,0.215,159.44136710732167
0.215,0.225,156.4083582796983
0.225,0.235,152.42992247896407
0.235,0.245,148.43857873882226
0.245,0.255,145.77280571455913
0.255,0.265,141.90323779960582
0.265,0.275,138.4399824428756
0.275,0.285,133.45527872445084
0.285,0.295,131.01846367625248
0.295,0.305,130.49842813479302
0.305,0.315,129.8884351124589
0.315,0.325,130.90409813650976
0.325,0.335,133.7601343499496
0.335,0.345,136.44227088622984
0.345,0.355,137.7832023249991
0.355,0.365,136.1886474004499
0.365,0.375,130.87366910565734
0.375,0.385,126.47167599647925
0.385,0.395,123.75690736053853
0.395,0.405,122.5501755552067
0.405,0.415,122.20285510212967
0.415,0.425,120.99736253504585
0.425,0.435,118.9513209922735
0.435,0.445,117.30033257259937
0.445,0.455,115.0899660417473
0.455,0.465,111.8806018622871
0.465,0.475,107.7493882647461
0.475,0.485,102.6433227745852
0.485,0.495,98.86074685352177
0.495,0.505,98.94968728545537
0.505,0.515,0.0
0.515,0.525,0.0
0.525,0.535,0.0
0.535,0.545,0.0
0.545,0.555,127.06379785906009
0.555,0.565,125.8377154257919
0.565,0.575,124.9267975706711
0.575,0.585,124.45043330663772
0.585,0.595,124.46588855487451
0.595,0.605,124.67398230167586
0.605,0.615,124.77410991667172
0.615,0.625,124.05059739520696
0.625,0.635,114.32052450836579
0.635,0.645,106.77216728012344
0.645,0.655,99.54927719598996
0.655,0.665,124.21451679954974
0.665,0.675,124.21905601839765
0.675,0.685,123.43035918010999
0.685,0.695,122.84627093804338
0.695,0.705,123.6976624730217
0.705,0.715,0.0
0.715,0.725,0.0
0.725,0.735,148.57353428757344
0.735,0.745,148.19059251771228
0.745,0.755,147.11091191940423
0.755,0.765,145.23733818945254
0.765,0.775,143.30812427516366
0.775,0.785,141.62881575349468
0.785,0.795,139.39596141815534
0.795,0.805,135.95917132661546
0.805,0.815,131.38868744799936
0.815,0.825,125.44604010051015
0.825,0.835,118.71066198224251
0.835,0.845,114.76078089984803
0.845,0.855,111.9035477891483
0.855,0.865,110.20343369196777
0.865,0.875,109.14159763946232
0.875,0.885,107.68191483828751
0.885,0.895,105.34852357310963
0.895,0.905,103.42309108865109
0.905,0.915,102.94378926765658
0.915,0.925,102.14585849258837
0.925,0.935,100.19101009763725
