Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,200.90776809601047
0.065,0.075,201.4284485041931
0.075,0.085,202.50455018449836
0.085,0.095,202.10989341954598
0.095,0.105,201.74739158063932
0.105,0.115,201.3415910569769
0.115,0.125,200.6988452675642
0.125,0.135,199.79695789179794
0.135,0.145,197.30013642979978
0.145,0.155,188.89573704429245
0.155,0.165,186.23027097070255
0.165,0.175,183.56183439344795
0.175,0.185,183.03453557884967
0.185,0.195,184.21691490195096
0.195,0.205,222.08922336663215
0.205,0.215,225.6116610569292
0.215,0.225,234.07226594094323
0.225,0.235,242.6359070202237
0.235,0.245,252.4417289520115
0.245,0.255,258.03490820515185
0.255,0.265,274.36885804082124
0.265,0.275,280.5495342553459
0.275,0.285,285.5910805379483
0.285,0.295,294.8649108740026
0.295,0.305,300.12692813028457
0.305,0.315,299.8728564961766
0.315,0.325,298.46889383193457
0.325,0.335,297.6107212074043
0.335,0.345,0.0
0.345,0.355,0.0
0.355,0.365,491.53274025476964
0.365,0.375,0.0
0.375,0.385,0.0
0.385,0.395,0.0
0.395,0.405,0.0
0.405,0.415,296.1031345939958
0.415,0.425,292.26123988449325
0.425,0.435,288.6133450130214
0.435,0.445,283.05297609273725
0.445,0.455,278.2735322380076
0.455,0.465,250.16364189808255
0.465,0.475,216.49173175729712
0.475,0.485,207.8870988866394
0.485,0.495,198.30333527537962
0.495,0.505,199.57389687012295
0.505,0.515,201.75663614989776
0.515,0.525,202.1929048718026
0.525,0.535,201.91669758556355
0.535,0.545,201.26175376856136
0.545,0.555,194.9902218103536
0.555,0.565,195.12085458351555
0.565,0.575,185.56323338102408
0.575,0.585,185.2743344126073
0.585,0.595,185.10149712994655
0.595,0.605,184.08218846538873
0.605,0.615,182.6507586766924
0.615,0.625,182.54507704883676
0.625,0.635,182.68841458548047
0.635,0.645,182.717506982574
0.645,0.655,182.53535747750536
0.655,0.665,181.83381564463707
0.665,0.675,180.78371861807307
0.675,0.685,179.6587803570285
0.685,0.695,178.0670440795661
0.695,0.705,176.0305196020857
0.705,0.715,173.98266088791067
0.715,0.725,172.7468586735379
0.725,0.735,172.26011369715158
0.735,0.745,171.51170129667204
0.745,0.755,169.44060735752697
0.755,0.765,167.9306638422136
0.765,0.775,167.50164292482827
0.775,0.785,166.92660349189265
0.785,0.795,165.65089959757717
0.795,0.805,164.11536978778017
0.805,0.815,163.25979873497556
0.815,0.825,162.56025784832485
0.825,0.835,162.44964490998578
0.835,0.845,163.31306893304222
0.845,0.855,164.514716471961
0.855,0.865,165.5462724901988
0.865,0.875,168.9078444339068
0.875,0.885,170.91289270383874
0.885,0.895,167.83500652636008
0.895,0.905,167.6371785133592
0.905,0.915,168.47159050632294
0.915,0.925,172.078351497884
