Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,320.03118671075106
0.095,0.105,314.58729026460566
0.105,0.115,320.5769348741736
0.115,0.125,0.0
0.125,0.135,0.0
0.135,0.145,199.51557314008394
0.145,0.155,198.71725022729518
0.155,0.165,197.97630447885035
0.165,0.175,197.47790978597732
0.175,0.185,196.44405508926556
0.185,0.195,185.46499019087517
0.195,0.205,178.17424024965652
0.205,0.215,176.8216430092116
0.215,0.225,179.46367823660816
0.225,0.235,189.00623243418494
0.235,0.245,194.2835803782909
0.245,0.255,193.5438550918287
0.255,0.265,192.04130378626743
0.265,0.275,194.68900982346378
0.275,0.285,196.10347868177635
0.285,0.295,196.0362093628693
0.295,0.305,198.8591808765845
0.305,0.315,212.01323828645013
0.315,0.325,220.8601450656919
0.325,0.335,223.0023049454343
0.335,0.345,225.15449530136797
0.345,0.355,228.90252747515237
0.355,0.365,234.93455776367696
0.365,0.375,241.77638753103057
0.375,0.385,249.2272153856685
0.385,0.395,257.1703024070034
0.395,0.405,264.1810091442533
0.405,0.415,268.0110743418378
0.415,0.425,267.8498998981261
0.425,0.435,263.7551190301168
0.435,0.445,262.90891071916485
0.445,0.455,270.55782477676536
0.455,0.465,273.67686878129473
0.465,0.475,269.0500934736515
0.475,0.485,261.99754362536305
0.485,0.495,255.48924660997835
0.495,0.505,257.68144675887396
0.505,0.515,259.2024366463449
0.515,0.525,260.0038761858032
0.525,0.535,271.7253364020581
0.535,0.545,267.4558687230894
0.545,0.555,264.10782990485166
0.555,0.565,260.8152630448138
0.565,0.575,257.9773732490693
0.575,0.585,256.091397922876
0.585,0.595,254.0933539919784
0.595,0.605,251.18194048969715
0.605,0.615,256.0323414869867
0.615,0.625,259.9095128946838
0.625,0.635,255.44059371320088
0.635,0.645,217.99665483097192
0.645,0.655,225.95055091271902
0.655,0.665,226.64959465317423
0.665,0.675,226.0737455191676
0.675,0.685,222.94122992251096
0.685,0.695,212.66574148486842
0.695,0.705,204.68031224780532
0.705,0.715,201.30712355046037
0.715,0.725,197.72762599582373
0.725,0.735,190.75775153774524
0.735,0.745,186.3367135326293
0.745,0.755,185.24575949451082
0.755,0.765,199.83076945900288
0.765,0.775,200.80889479511936
0.775,0.785,184.20648312534493
0.785,0.795,181.50980874877536
0.795,0.805,180.59715421918048
0.805,0.815,180.1283782682994
0.815,0.825,180.07219955241086
0.825,0.835,178.91662700811295
0.835,0.845,177.0760407733358
0.845,0.855,174.8607469741027
0.855,0.865,173.12096790831245
0.865,0.875,172.13779461777918
0.875,0.885,168.67857946070333
0.885,0.895,163.71754579983403
0.895,0.905,158.24229572796028
0.905,0.915,153.39481873253564
0.915,0.925,150.7838291277681
