Start_Time,End_Time,F0_Hz
0.03,0.04,430.5529896891866
0.04,0.05,432.0698412606573
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,0.0
0.09,0.1,0.0
0.1,0.11,0.0
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,97.12116752717489
0.15,0.16,96.60193566372152
0.16,0.17,95.73509155547701
0.17,0.18,95.00453147252165
0.18,0.19,94.66623604547213
0.19,0.2,94.31581585744168
0.2,0.21,93.82316006851262
0.21,0.22,90.84041381493235
0.22,0.23,91.25196406614933
0.23,0.24,95.81452990116055
0.24,0.25,97.63464803820199
0.25,0.26,98.82419988577956
0.26,0.27,100.2188206231698
0.27,0.28,101.78652685700074
0.28,0.29,102.0718042654683
0.29,0.3,100.6985258772807
0.3,0.31,98.90856728982493
0.31,0.32,97.47125862482274
0.32,0.33,95.50666257369778
0.33,0.34,85.62680892662111
0.34,0.35,83.31467816301026
0.35,0.36,81.00814475915647
0.36,0.37,78.08733318233378
0.37,0.38,76.20816938362248
0.38,0.39,74.44962863601341
0.39,0.4,71.89523676575715
0.4,0.41,71.72856765400185
0.41,0.42,71.8845856839928
0.42,0.43,71.18196161183182
0.43,0.44,69.2518809687795
0.44,0.45,0.0
0.45,0.46,0.0
0.46,0.47,103.23287647531656
0.47,0.48,105.38122145155235
0.48,0.49,106.13540724138099
0.49,0.5,106.47446253648711
0.5,0.51,107.42068685894093
0.51,0.52,107.42178008708196
0.52,0.53,106.17949687919864
0.53,0.54,101.42199480250096
0.54,0.55,0.0
0.55,0.56,0.0
0.56,0.57,0.0
0.57,0.58,0.0
0.58,0.59,0.0
0.59,0.6,0.0
0.6,0.61,0.0
0.61,0.62,0.0
0.62,0.63,0.0
0.63,0.64,0.0
0.64,0.65,0.0
0.65,0.66,0.0
0.66,0.67,0.0
0.67,0.68,0.0
0.68,0.69,0.0
0.69,0.7,0.0
0.7,0.71,85.66732092463505
0.71,0.72,84.77579296180855
0.72,0.73,83.81456534643526
0.73,0.74,83.1449367112493
0.74,0.75,82.847682168104
0.75,0.76,82.55918894678973
0.76,0.77,82.23627119609121
0.77,0.78,81.76573025119093
0.78,0.79,80.65460571086176
0.79,0.8,77.11705567210225
0.8,0.81,76.99798530094951
0.81,0.82,73.60950410623228
0.82,0.83,72.45688890383036
0.83,0.84,72.318377283866
0.84,0.85,82.09996769698763
0.85,0.86,86.85892034270832
0.86,0.87,86.87745140719272
0.87,0.88,85.8126661999643
0.88,0.89,84.23042685310253
0.89,0.9,76.25250784363968
0.9,0.91,74.30170135279164
0.91,0.92,73.86288356532259
0.92,0.93,75.11723223321306
0.93,0.94,81.50926332089864
0.94,0.95,84.94248513796506
0.95,0.96,86.27952036571783
0.96,0.97,87.10782205079708
0.97,0.98,88.1264287453126
0.98,0.99,88.56327131842933
0.99,1.0,88.38668105600642
1.0,1.01,87.52367172594396
1.01,1.02,86.09897009970516
1.02,1.03,84.597845007
1.03,1.04,82.44681397834891
1.04,1.05,77.31897849587295
1.05,1.06,75.32665494352875
1.06,1.07,72.48759267760735
1.07,1.08,69.90323337131555
1.08,1.09,69.8367639230409
1.09,1.1,73.37220100292298
1.1,1.11,84.2361673054226
1.11,1.12,89.67723276773039
1.12,1.13,94.5179809390827
1.13,1.14,99.794545616388
1.14,1.15,101.80304242218118
1.15,1.16,103.54787953635338
1.16,1.17,103.67072769778166
1.17,1.18,103.11718173507239
1.18,1.19,101.70429566294987
1.19,1.2,99.83142317282812
1.2,1.21,97.86505930252939
1.21,1.22,96.89570672695582
1.22,1.23,97.33542379268276
1.23,1.24,100.57263906447825
1.24,1.25,104.08483249699579
1.25,1.26,106.62720119314956
1.26,1.27,108.82667244219562
1.27,1.28,109.78694311911318
1.28,1.29,109.77486303789252
1.29,1.3,109.0742619780259
1.3,1.31,105.82732285839397
1.31,1.32,103.28127254856079
1.32,1.33,89.63728413503274
1.33,1.34,89.33247665545771
1.34,1.35,87.19681197923393
1.35,1.36,84.82361152907475
1.36,1.37,83.9928652618439
1.37,1.38,83.89280432879067
1.38,1.39,84.06731956647788
1.39,1.4,84.55814253434868
1.4,1.41,85.14150799019704
1.41,1.42,85.4644461698782
