Start_Time,End_Time,F0_Hz
0.025,0.035,162.5652841413485
0.035,0.045,165.2330627069828
0.045,0.055,171.0695277161095
0.055,0.065,172.37104723325535
0.065,0.075,172.10902597374553
0.075,0.085,172.0552326429276
0.085,0.095,171.89668974183857
0.095,0.105,171.47601411360702
0.105,0.115,170.2417151416321
0.115,0.125,168.48592865315985
0.125,0.135,167.1694937863146
0.135,0.145,165.99618048125066
0.145,0.155,164.75263788780725
0.155,0.165,163.38734683869475
0.165,0.175,161.55875873114738
0.175,0.185,159.6269995523948
0.185,0.195,157.0989616108741
0.195,0.205,156.15463411315267
0.205,0.215,159.69496464177752
0.215,0.225,171.33209125651484
0.225,0.235,175.70507788271166
0.235,0.245,190.95224845442772
0.245,0.255,197.46797699067963
0.255,0.265,201.34201799424926
0.265,0.275,204.9612680010671
0.275,0.285,208.31617179840643
0.285,0.295,211.34918221888
0.295,0.305,214.91317130664774
0.305,0.315,218.3442522303003
0.315,0.325,222.3813455876312
0.325,0.335,226.0432756525435
0.335,0.345,228.8777944142975
0.345,0.355,229.92748482442195
0.355,0.365,230.39405839992745
0.365,0.375,220.01839905699495
0.375,0.385,214.91174609511936
0.385,0.395,215.14187973715337
0.395,0.405,218.50746596830123
0.405,0.415,217.93280014489793
0.415,0.425,216.88135366752314
0.425,0.435,0.0
0.435,0.445,0.0
0.445,0.455,0.0
0.455,0.465,0.0
0.465,0.475,0.0
0.475,0.485,0.0
0.485,0.495,0.0
0.495,0.505,211.1144622015452
0.505,0.515,204.06352943888692
0.515,0.525,198.9275554404768
0.525,0.535,196.24596107549277
0.535,0.545,0.0
0.545,0.555,0.0
0.555,0.565,0.0
0.565,0.575,0.0
0.575,0.585,0.0
0.585,0.595,0.0
0.595,0.605,0.0
0.605,0.615,0.0
0.615,0.625,190.79567404886825
0.625,0.635,186.87362523731787
0.635,0.645,185.21312089726678
0.645,0.655,184.07084191129073
0.655,0.665,182.73633405370182
0.665,0.675,181.5571800101017
0.675,0.685,180.4713239412135
0.685,0.695,178.22853277638953
0.695,0.705,173.26264343235806
0.705,0.715,170.93887150363867
0.715,0.725,169.53123422113097
0.725,0.735,167.5371719989905
0.735,0.745,166.50530565175842
0.745,0.755,164.96198279428842
0.755,0.765,163.2252642226584
0.765,0.775,163.5371760190608
0.775,0.785,163.24298865064299
0.785,0.795,163.7349248334316
0.795,0.805,166.22818802725905
0.805,0.815,169.29267270737765
0.815,0.825,171.4937081667745
0.825,0.835,170.5159469173538
0.835,0.845,167.60565453171128
0.845,0.855,165.8924617896426
0.855,0.865,164.57748292985724
0.865,0.875,163.03920684072756
0.875,0.885,161.82904626565153
0.885,0.895,161.56350544364383
0.895,0.905,160.75248655837478
0.905,0.915,158.26676613112681
0.915,0.925,157.11400914975383
0.925,0.935,160.24833833025951
0.935,0.945,163.03028210445999
0.945,0.955,164.78091123566318
0.955,0.965,165.79081493904076
0.965,0.975,165.29693338401353
0.975,0.985,164.2617565494456
0.985,0.995,164.0811152006508
0.995,1.005,163.84901786481223
1.005,1.015,163.89805799221006
1.015,1.025,163.82132715960967
1.025,1.035,164.91539660910016
1.035,1.045,167.1599572975429
1.045,1.055,167.9283300289863
1.055,1.065,169.10450581422376
1.065,1.075,170.47757924455254
1.075,1.085,172.37544762532843
1.085,1.095,174.6796967636173
1.095,1.105,176.51165052288422
1.105,1.115,178.2224343216748
1.115,1.125,180.24222567474757
1.125,1.135,182.53879401303888
1.135,1.145,184.87264769136362
1.145,1.155,188.14572104158495
1.155,1.165,191.06313706612556
1.165,1.175,193.2019420224657
1.175,1.185,194.84751287867974
1.185,1.195,195.87513131967793
1.195,1.205,195.99574944446957
1.205,1.215,195.06330286770051
1.215,1.225,194.35953370212772
1.225,1.235,194.53091847289664
1.235,1.245,191.941742267595
1.245,1.255,185.31231263125613
1.255,1.265,183.14989108340475
1.265,1.275,0.0
1.275,1.285,0.0
1.285,1.295,0.0
1.295,1.305,0.0
1.305,1.315,0.0
1.315,1.325,0.0
1.325,1.335,0.0
1.335,1.345,0.0
1.345,1.355,179.12241353191882
1.355,1.365,176.84812489771934
1.365,1.375,173.56609441198066
1.375,1.385,169.59621654229767
1.385,1.395,168.00945500576648
1.395,1.405,0.0
1.405,1.415,0.0
1.415,1.425,0.0
1.425,1.435,0.0
1.435,1.445,0.0
1.445,1.455,0.0
1.455,1.465,0.0
1.465,1.475,0.0
1.475,1.485,166.8829069755305
1.485,1.495,164.89768963741724
1.495,1.505,161.7614539767096
1.505,1.515,157.794044635589
1.515,1.525,155.5880149389877
1.525,1.535,154.43531706791458
1.535,1.545,157.07332389739761
1.545,1.555,160.51410900462236
1.555,1.565,161.72911935998007
1.565,1.575,163.18093851635828
1.575,1.585,165.82600233978326
1.585,1.595,166.89993410903375
1.595,1.605,166.7079278622181
1.605,1.615,166.48329897349055
1.615,1.625,166.1443887137545
1.625,1.635,165.91822718416805
1.635,1.645,165.3450456106751
1.645,1.655,163.6441533387443
1.655,1.665,162.0155558285924
1.665,1.675,161.3241315169049
1.675,1.685,160.53321669074825
1.685,1.695,159.72089301645246
1.695,1.705,157.40218345750552
1.705,1.715,152.17716031740673
1.715,1.725,145.97599651581848
1.725,1.735,0.0
1.735,1.745,0.0
1.745,1.755,0.0
1.755,1.765,0.0
1.765,1.775,0.0
1.775,1.785,0.0
1.785,1.795,0.0
1.795,1.805,167.6850330547551
1.805,1.815,165.8714049481589
1.815,1.825,165.66492623705574
1.825,1.835,166.21994768208984
1.835,1.845,167.06233720612414
1.845,1.855,167.8377420227381
1.855,1.865,167.9578308424335
1.865,1.875,167.14574583364114
1.875,1.885,165.68812432755254
1.885,1.895,163.87372736810687
1.895,1.905,0.0
1.905,1.915,0.0
1.915,1.925,0.0
1.925,1.935,0.0
1.935,1.945,0.0
1.945,1.955,0.0
1.955,1.965,0.0
1.965,1.975,0.0
1.975,1.985,0.0
1.985,1.995,0.0
1.995,2.005,0.0
2.005,2.015,0.0
2.015,2.025,0.0
2.025,2.035,0.0
2.035,2.045,0.0
2.045,2.055,0.0
2.055,2.065,0.0
2.065,2.075,0.0
2.075,2.085,156.57258807800466
2.085,2.095,154.27399775741682
2.095,2.105,152.85278565939484
2.105,2.115,151.72042493415853
2.115,2.125,0.0
2.125,2.135,0.0
2.135,2.145,0.0
