Start_Time,End_Time,F0_Hz
0.025,0.035,0.0
0.035,0.045,0.0
0.045,0.055,0.0
0.055,0.065,0.0
0.065,0.075,0.0
0.075,0.085,0.0
0.085,0.095,0.0
0.095,0.105,0.0
0.105,0.115,0.0
0.115,0.125,0.0
0.125,0.135,0.0
0.135,0.145,0.0
0.145,0.155,137.46595379566696
0.155,0.165,139.28962463108775
0.165,0.175,140.93437678760444
0.175,0.185,142.5281491328606
0.185,0.195,143.540004037038
0.195,0.205,144.3502455105302
0.205,0.215,145.22051261057598
0.215,0.225,146.1790390646311
0.225,0.235,147.42359080148734
0.235,0.245,149.20512899547168
0.245,0.255,150.8738092722562
0.255,0.265,151.83867810462635
0.265,0.275,152.0158892551209
0.275,0.285,151.1865911485627
0.285,0.295,149.2928813110703
0.295,0.305,146.4817531643843
0.305,0.315,145.0789834258147
0.315,0.325,143.50735760372734
0.325,0.335,139.54148888872845
0.335,0.345,136.124983842344
0.345,0.355,0.0
0.355,0.365,0.0
0.365,0.375,0.0
0.375,0.385,0.0
0.385,0.395,0.0
0.395,0.405,0.0
0.405,0.415,0.0
0.415,0.425,0.0
0.425,0.435,0.0
0.435,0.445,113.29949049403203
0.445,0.455,112.9407120203091
0.455,0.465,110.35597012790208
0.465,0.475,108.03357645639838
0.475,0.485,0.0
0.485,0.495,0.0
0.495,0.505,0.0
0.505,0.515,0.0
0.515,0.525,0.0
0.525,0.535,0.0
0.535,0.545,0.0
0.545,0.555,0.0
0.555,0.565,0.0
0.565,0.575,0.0
0.575,0.585,0.0
0.585,0.595,0.0
0.595,0.605,0.0
0.605,0.615,0.0
0.615,0.625,0.0
0.625,0.635,0.0
0.635,0.645,114.5196419536734
0.645,0.655,114.15004967331522
0.655,0.665,112.70492252174864
0.665,0.675,110.8732309537006
0.675,0.685,108.47156234056563
0.685,0.695,106.92215787318585
0.695,0.705,104.1870417947982
0.705,0.715,102.69151070560592
0.715,0.725,101.68398743272583
0.725,0.735,100.66120239843677
0.735,0.745,100.64586273952753
0.745,0.755,100.60659591875607
0.755,0.765,100.62722549802933
0.765,0.775,102.51589162119024
0.775,0.785,103.82051996770578
0.785,0.795,0.0
0.795,0.805,0.0
0.805,0.815,0.0
0.815,0.825,0.0
0.825,0.835,0.0
0.835,0.845,143.04950018914136
0.845,0.855,142.76929262460308
0.855,0.865,143.88659696712986
0.865,0.875,145.72596982275365
0.875,0.885,148.4442343549624
0.885,0.895,151.76438937306568
0.895,0.905,154.3163969158344
0.905,0.915,156.64879425580648
0.915,0.925,159.07802319288157
0.925,0.935,160.83077122859777
0.935,0.945,161.83794814327118
0.945,0.955,162.37092645817285
0.955,0.965,162.4841105742166
0.965,0.975,160.06347251364957
0.975,0.985,0.0
0.985,0.995,0.0
0.995,1.005,0.0
1.005,1.015,0.0
1.015,1.025,0.0
