Start_Time,End_Time,F0_Hz
1.55,1.56,72.3634618720189
1.72,1.73,71.946679000541
0.1,0.11,80.7574166800042
1.05,1.06,109.68249796946259
1.78,1.79,71.12030090986407
1.36,1.37,74.0548776143282
0.66,0.67,65.9753955386447
1.85,1.86,72.78265914210937
0.14,0.15,81.695772662055
0.81,0.82,0.0
0.23,0.24,88.57675191023606
0.83,0.84,0.0
0.98,0.99,89.60596419119524
0.52,0.53,73.20428479728128
1.46,1.47,76.66641723348003
0.56,0.57,77.55723809168673
0.93,0.94,0.0
0.31,0.32,102.3373891996775
0.6,0.61,73.20428479728128
0.0,0.01,0.0
0.59,0.6,74.91535384383408
1.87,1.88,72.78265914210937
1.54,1.55,72.3634618720189
0.78,0.79,0.0
1.45,1.46,76.66641723348003
0.35,0.36,95.48416039104166
1.8,1.81,71.12030090986407
0.17,0.18,85.55950256826023
0.48,0.49,75.34933407372878
1.59,1.6,71.12030090986407
0.12,0.13,80.7574166800042
1.74,1.75,69.0956439983888
0.79,0.8,0.0
0.38,0.39,82.16903145857903
0.43,0.44,91.70040432046711
1.38,1.39,69.49591099211685
1.73,1.74,69.89849670895097
1.47,1.48,75.7858283255199
0.85,0.86,0.0
0.24,0.25,92.76591169413095
1.41,1.42,68.30201283771977
0.41,0.42,76.2248511627881
0.74,0.75,0.0
0.57,0.58,77.11054127039704
0.32,0.33,101.74796921026864
0.94,0.95,0.0
1.75,1.76,68.69768237290445
0.86,0.87,0.0
0.03,0.04,80.7574166800042
0.73,0.74,0.0
0.75,0.76,0.0
1.04,1.05,107.17734625362931
1.37,1.38,71.12030090986407
0.92,0.93,0.0
1.34,1.35,77.55723809168673
1.07,1.08,111.59971426302234
0.01,0.02,86.55365610061429
0.54,0.55,77.55723809168673
0.49,0.5,72.3634618720189
1.02,1.03,101.74796921026864
0.89,0.9,0.0
1.62,1.63,64.46851542197895
0.4,0.41,76.2248511627881
1.7,1.71,76.2248511627881
0.15,0.16,82.64503181542116
1.83,1.84,68.30201283771977
1.53,1.54,72.78265914210937
0.61,0.62,72.3634618720189
0.39,0.4,75.7858283255199
1.24,1.25,103.52649238413775
1.65,1.66,65.9753955386447
1.67,1.68,77.55723809168673
1.35,1.36,77.11054127039704
1.2,1.21,99.42404238175475
0.47,0.48,0.0
0.53,0.54,76.2248511627881
0.37,0.38,84.57676786314485
1.22,1.23,101.16194403019225
1.18,1.19,96.03729450510042
0.19,0.2,86.05514372443301
1.69,1.7,77.11054127039704
0.26,0.27,101.74796921026864
0.25,0.26,100.0
1.08,1.09,110.95694720678449
1.63,1.64,63.72803136596311
1.64,1.65,63.72803136596311
0.76,0.77,0.0
1.58,1.59,71.53229662176292
0.07,0.08,81.695772662055
1.26,1.27,103.52649238413775
0.3,0.31,102.3373891996775
0.22,0.23,87.05505632961241
0.99,1.0,92.23161935859392
0.82,0.83,0.0
