Start_Time,End_Time,F0_Hz
0.6,0.61,173.1073122012286
1.34,1.35,0.0
2.68,2.69,147.25670581005258
2.45,2.46,169.1535357262897
1.7,1.71,196.56411970905023
1.47,1.48,189.86842419010387
1.05,1.06,172.11028744886602
3.39,3.4,149.83070768766817
3.17,3.18,149.83070768766817
2.94,2.95,150.69866814745757
2.56,2.57,149.83070768766817
0.42,0.43,227.10088581417543
1.43,1.44,184.46323871718783
3.32,3.33,147.25670581005258
2.03,2.04,0.0
2.1,2.11,195.43199368684918
1.19,1.2,161.5148333600084
3.31,3.32,144.7269237440378
2.16,2.17,0.0
2.18,2.19,0.0
1.07,1.08,163.39154532410998
0.23,0.24,209.4588245641254
2.9,2.91,153.33283446696007
1.8,1.81,168.1792830507429
1.13,1.14,162.4504792712471
0.17,0.18,0.0
2.3,2.31,0.0
3.18,3.19,149.83070768766817
2.19,2.2,0.0
3.06,3.07,140.60682916223496
3.3,3.31,144.7269237440378
0.9,0.91,241.99881784385852
0.58,0.59,178.17974362806785
1.65,1.66,0.0
1.45,1.46,185.5318233882619
0.45,0.46,214.35469250725862
1.93,1.94,0.0
1.39,1.4,183.40080864093423
3.09,3.1,138.1912879967776
0.4,0.41,228.41646786215435
2.66,2.67,148.1097552286564
1.67,1.68,200.0
3.25,3.26,144.7269237440378
2.6,2.61,154.22108254079407
2.85,2.86,148.1097552286564
0.18,0.19,0.0
2.02,2.03,0.0
2.91,2.92,152.4497023255762
2.88,2.89,151.57165665103983
3.46,3.47,144.7269237440378
2.71,2.72,145.56531828421873
2.5,2.51,163.39154532410998
0.31,0.32,198.8480847635095
2.05,2.06,210.67220719096719
0.06,0.07,202.3238880603845
1.51,1.52,201.15858821357068
2.93,2.94,151.57165665103983
2.8,2.81,155.11447618337345
1.01,1.02,210.67220719096719
0.34,0.35,209.4588245641254
1.9,1.91,0.0
0.99,1.0,218.10154653305153
1.12,1.13,163.39154532410998
0.25,0.26,208.25243050696125
2.32,2.33,0.0
1.17,1.18,161.5148333600084
2.54,2.55,156.0130452026747
3.38,3.39,148.96774631227024
2.41,2.42,176.1331747192297
2.12,2.13,0.0
2.75,2.76,156.0130452026747
2.87,2.88,150.69866814745757
1.74,1.75,188.7748625363387
0.19,0.2,0.0
0.63,0.64,165.29006363084235
3.19,3.2,148.96774631227024
0.43,0.44,225.79288096122622
2.04,2.05,215.59643660857103
1.99,2.0,0.0
2.51,2.52,161.5148333600084
2.95,2.96,150.69866814745757
2.17,2.18,0.0
0.82,0.83,227.10088581417543
0.05,0.06,201.15858821357068
2.22,2.23,0.0
1.27,1.28,161.5148333600084
2.83,2.84,150.69866814745757
1.52,1.53,203.49593842053727
2.46,2.47,167.2106416577019
0.98,0.99,225.79288096122622
3.29,3.3,144.7269237440378
1.48,1.49,192.07458901020084
0.12,0.13,188.7748625363387
0.64,0.65,163.39154532410998
1.21,1.22,160.5845763726753
2.33,2.34,0.0
0.94,0.95,236.47155720542963
1.3,1.31,0.0
0.14,0.15,200.0
1.09,1.1,165.29006363084235
0.76,0.77,193.1872657849691
0.62,0.63,167.2106416577019
2.06,2.07,209.4588245641254
0.3,0.31,200.0
2.96,2.97,149.83070768766817
1.86,1.87,137.3953647458089
0.1,0.11,203.49593842053727
1.77,1.78,177.1535038204721
1.46,1.47,186.60659830736148
0.08,0.09,203.49593842053727
3.47,3.48,146.40856959456255
2.69,2.7,145.56531828421873
0.44,0.45,224.49240966187455
2.59,2.6,156.0130452026747
1.2,1.21,160.5845763726753
1.71,1.72,195.43199368684918
0.75,0.76,188.7748625363387
3.43,3.44,146.40856959456255
0.61,0.62,170.13343219017113
0.57,0.58,180.25009252216606
3.44,3.45,145.56531828421873
1.63,1.64,0.0
1.15,1.16,161.5148333600084
2.26,2.27,0.0
2.79,2.8,154.22108254079407
2.74,2.75,145.56531828421873
0.83,0.84,233.75544971224912
1.66,1.67,203.49593842053727
2.62,2.63,151.57165665103983
0.5,0.51,196.56411970905023
0.47,0.48,209.4588245641254
3.41,3.42,149.83070768766817
1.96,1.97,0.0
1.87,1.88,0.0
0.39,0.4,228.41646786215435
0.97,0.98,235.10958125672175
0.79,0.8,209.4588245641254
3.24,3.25,143.893358001082
0.0,0.01,0.0
2.57,2.58,156.0130452026747
1.92,1.93,0.0
2.2,2.21,0.0
3.08,3.09,138.1912879967776
0.77,0.78,197.70280407057922
1.84,1.85,148.1097552286564
3.04,3.05,143.06459324352582
0.73,0.74,181.29427068562208
0.81,0.82,220.63576443274928
0.32,0.33,197.70280407057922
1.98,1.99,0.0
2.63,2.64,149.83070768766817
1.02,1.03,203.49593842053727
0.66,0.67,159.65967727133
0.93,0.94,237.8414230005442
0.11,0.12,196.56411970905023
0.24,0.25,208.25243050696125
3.13,3.14,138.99182198423372
3.05,3.06,142.24060181972814
0.35,0.36,216.8453740602837
1.25,1.26,161.5148333600084
1.79,1.8,170.13343219017113
2.23,2.24,0.0
3.11,3.12,138.1912879967776
0.68,0.69,159.65967727133
0.55,0.56,185.5318233882619
1.23,1.24,162.4504792712471
2.53,2.54,157.8258294677283
1.61,1.62,0.0
1.68,1.69,198.8480847635095
1.76,1.77,180.25009252216606
0.01,0.02,223.1994285260446
1.6,1.61,0.0
2.31,2.32,0.0
2.14,2.15,0.0
