Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,0.0
0.09,0.1,0.0
0.1,0.11,0.0
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,0.0
0.15,0.16,0.0
0.16,0.17,0.0
0.17,0.18,0.0
0.18,0.19,0.0
0.19,0.2,0.0
0.2,0.21,0.0
0.21,0.22,0.0
0.22,0.23,0.0
0.23,0.24,0.0
0.24,0.25,0.0
0.25,0.26,0.0
0.26,0.27,0.0
0.27,0.28,0.0
0.28,0.29,0.0
0.29,0.3,0.0
0.3,0.31,0.0
0.31,0.32,0.0
0.32,0.33,0.0
0.33,0.34,0.0
0.34,0.35,0.0
0.35,0.36,0.0
0.36,0.37,0.0
0.37,0.38,0.0
0.38,0.39,0.0
0.39,0.4,0.0
0.4,0.41,0.0
0.41,0.42,0.0
0.42,0.43,0.0
0.43,0.44,0.0
0.44,0.45,0.0
0.45,0.46,0.0
0.46,0.47,0.0
0.47,0.48,0.0
0.48,0.49,98.85140203528961
0.49,0.5,99.42404238175475
0.5,0.51,98.2820598545251
0.51,0.52,98.85140203528961
0.52,0.53,97.71599684342459
0.53,0.54,102.3373891996775
0.54,0.55,101.16194403019225
0.55,0.56,103.52649238413775
0.56,0.57,105.33610359548358
0.57,0.58,106.56005016284841
0.58,0.59,106.56005016284841
0.59,0.6,106.56005016284841
0.6,0.61,106.56005016284841
0.61,0.62,106.56005016284841
0.62,0.63,105.94630943592954
0.63,0.64,105.33610359548358
0.64,0.65,104.12621525348065
0.65,0.66,100.0
0.66,0.67,99.42404238175475
0.67,0.68,100.57929410678534
0.68,0.69,101.74796921026864
0.69,0.7,105.33610359548358
0.7,0.71,105.33610359548358
0.71,0.72,105.33610359548358
0.72,0.73,104.12621525348065
0.73,0.74,104.12621525348065
0.74,0.75,103.52649238413775
0.75,0.76,102.3373891996775
0.76,0.77,103.52649238413775
0.77,0.78,107.17734625362931
0.78,0.79,101.74796921026864
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,97.15319411536059
0.85,0.86,96.59363289248455
0.86,0.87,96.59363289248455
0.87,0.88,96.59363289248455
0.88,0.89,97.15319411536059
0.89,0.9,96.59363289248455
0.9,0.91,102.93022366434921
0.91,0.92,104.72941228206267
0.92,0.93,108.42268703014184
0.93,0.94,111.59971426302234
0.94,0.95,110.95694720678449
0.95,0.96,112.2462048309373
0.96,0.97,112.89644048061314
0.97,0.98,112.89644048061314
0.98,0.99,112.89644048061314
0.99,1.0,112.2462048309373
1.0,1.01,112.2462048309373
1.01,1.02,111.59971426302234
1.02,1.03,110.95694720678449
1.03,1.04,110.31788221637464
1.04,1.05,110.31788221637464
1.05,1.06,109.68249796946259
1.06,1.07,107.79821830428551
1.07,1.08,107.79821830428551
1.08,1.09,105.94630943592954
1.09,1.1,103.52649238413775
1.1,1.11,104.12621525348065
1.11,1.12,102.93022366434921
1.12,1.13,102.3373891996775
1.13,1.14,101.16194403019225
1.14,1.15,100.57929410678534
1.15,1.16,100.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,0.0
1.24,1.25,0.0
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,0.0
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
1.33,1.34,0.0
1.34,1.35,0.0
1.35,1.36,0.0
1.36,1.37,0.0
1.37,1.38,0.0
1.38,1.39,0.0
1.39,1.4,0.0
1.4,1.41,0.0
1.41,1.42,0.0
1.42,1.43,0.0
1.43,1.44,0.0
1.44,1.45,0.0
1.45,1.46,0.0
1.46,1.47,0.0
1.47,1.48,0.0
1.48,1.49,109.05077326652577
1.49,1.5,107.79821830428551
1.5,1.51,105.33610359548358
1.51,1.52,105.94630943592954
1.52,1.53,105.33610359548358
1.53,1.54,102.93022366434921
1.54,1.55,107.17734625362931
1.55,1.56,0.0
1.56,1.57,0.0
1.57,1.58,0.0
1.58,1.59,0.0
1.59,1.6,0.0
1.6,1.61,0.0
1.61,1.62,111.59971426302234
1.62,1.63,106.56005016284841
1.63,1.64,105.94630943592954
1.64,1.65,106.56005016284841
1.65,1.66,102.93022366434921
1.66,1.67,101.16194403019225
1.67,1.68,101.74796921026864
1.68,1.69,101.74796921026864
1.69,1.7,99.42404238175475
1.7,1.71,98.2820598545251
1.71,1.72,98.2820598545251
1.72,1.73,97.71599684342459
1.73,1.74,97.71599684342459
1.74,1.75,98.2820598545251
1.75,1.76,98.2820598545251
1.76,1.77,98.2820598545251
1.77,1.78,97.71599684342459
1.78,1.79,0.0
1.79,1.8,0.0
1.8,1.81,0.0
1.81,1.82,101.74796921026864
1.82,1.83,103.52649238413775
1.83,1.84,104.72941228206267
1.84,1.85,107.17734625362931
1.85,1.86,109.68249796946259
1.86,1.87,111.59971426302234
1.87,1.88,112.89644048061314
1.88,1.89,114.20823393107715
1.89,1.9,114.86983549970348
1.9,1.91,115.5352696872273
1.91,1.92,116.20455869578394
1.92,1.93,116.87772485612456
1.93,1.94,116.87772485612456
1.94,1.95,116.87772485612456
1.95,1.96,118.9207115002721
1.96,1.97,118.23577860271482
1.97,1.98,115.5352696872273
1.98,1.99,112.2462048309373
1.99,2.0,109.05077326652577
2.0,2.01,107.17734625362931
2.01,2.02,102.93022366434921
2.02,2.03,100.57929410678534
2.03,2.04,100.0
2.04,2.05,99.42404238175475
2.05,2.06,99.42404238175475
2.06,2.07,99.42404238175475
2.07,2.08,100.0
2.08,2.09,100.57929410678534
2.09,2.1,101.16194403019225
2.1,2.11,101.16194403019225
2.11,2.12,100.0
2.12,2.13,99.42404238175475
2.13,2.14,98.85140203528961
2.14,2.15,96.59363289248455
2.15,2.16,94.93421209505193
2.16,2.17,92.23161935859392
2.17,2.18,93.30329915368074
2.18,2.19,98.85140203528961
2.19,2.2,101.74796921026864
2.2,2.21,104.72941228206267
2.21,2.22,112.89644048061314
2.22,2.23,101.16194403019225
2.23,2.24,98.85140203528961
2.24,2.25,0.0
2.25,2.26,0.0
2.26,2.27,0.0
2.27,2.28,0.0
2.28,2.29,0.0
2.29,2.3,98.2820598545251
2.3,2.31,98.2820598545251
2.31,2.32,97.71599684342459
2.32,2.33,97.15319411536059
2.33,2.34,95.48416039104166
2.34,2.35,0.0
2.35,2.36,0.0
2.36,2.37,0.0
2.37,2.38,0.0
2.38,2.39,0.0
2.39,2.4,0.0
2.4,2.41,0.0
2.41,2.42,0.0
2.42,2.43,0.0
2.43,2.44,0.0
2.44,2.45,0.0
