Start_Time,End_Time,F0_Hz
1.68,1.69,107.79821830428551
0.88,0.89,102.93022366434921
3.09,3.1,103.52649238413775
1.96,1.97,120.99940892192926
1.7,1.71,106.56005016284841
0.34,0.35,111.59971426302234
1.51,1.52,0.0
0.19,0.2,120.30250360821167
1.77,1.78,108.42268703014184
2.01,2.02,114.20823393107715
1.82,1.83,107.79821830428551
1.02,1.03,103.52649238413775
0.45,0.46,112.2462048309373
0.79,0.8,100.57929410678534
1.29,1.3,110.31788221637464
1.67,1.68,108.42268703014184
2.81,2.82,146.40856959456255
1.47,1.48,109.05077326652577
0.86,0.87,103.52649238413775
0.84,0.85,103.52649238413775
0.36,0.37,109.05077326652577
0.24,0.25,116.87772485612456
2.85,2.86,142.24060181972814
0.97,0.98,100.57929410678534
2.19,2.2,110.31788221637464
1.57,1.58,0.0
3.28,3.29,0.0
0.74,0.75,102.93022366434921
2.22,2.23,102.93022366434921
1.04,1.05,104.12621525348065
2.46,2.47,118.9207115002721
1.0,1.01,101.74796921026864
3.04,3.05,107.17734625362931
0.42,0.43,110.31788221637464
3.16,3.17,104.72941228206267
2.14,2.15,0.0
1.33,1.34,104.72941228206267
0.65,0.66,104.72941228206267
2.44,2.45,118.9207115002721
0.06,0.07,128.9370308439579
3.29,3.3,0.0
3.07,3.08,0.0
3.2,3.21,0.0
0.26,0.27,119.60961217374037
0.22,0.23,116.20455869578394
1.56,1.57,0.0
1.64,1.65,112.2462048309373
2.66,2.67,0.0
2.39,2.4,102.93022366434921
0.81,0.82,100.0
0.33,0.34,112.2462048309373
2.4,2.41,103.52649238413775
0.3,0.31,114.20823393107715
2.04,2.05,113.55044290708773
3.06,3.07,0.0
1.41,1.42,114.86983549970348
0.47,0.48,112.2462048309373
0.17,0.18,125.26644386241279
2.5,2.51,119.60961217374037
0.6,0.61,105.94630943592954
2.55,2.56,122.40535433046553
2.71,2.72,0.0
1.95,1.96,122.40535433046553
3.03,3.04,106.56005016284841
0.21,0.22,120.30250360821167
1.58,1.59,112.2462048309373
0.92,0.93,101.16194403019225
0.08,0.09,129.68395546510095
3.13,3.14,102.93022366434921
1.6,1.61,111.59971426302234
1.81,1.82,109.68249796946259
3.15,3.16,103.52649238413775
2.34,2.35,101.74796921026864
0.12,0.13,128.1944081920729
1.71,1.72,105.94630943592954
2.48,2.49,118.9207115002721
0.25,0.26,116.87772485612456
0.48,0.49,108.42268703014184
1.48,1.49,108.42268703014184
0.82,0.83,100.0
2.21,2.22,105.33610359548358
2.76,2.77,0.0
1.1,1.11,104.72941228206267
2.94,2.95,115.5352696872273
2.89,2.9,128.1944081920729
0.76,0.77,101.74796921026864
0.93,0.94,100.0
2.72,2.73,0.0
3.08,3.09,0.0
2.88,2.89,131.9507910772894
2.49,2.5,119.60961217374037
3.01,3.02,103.52649238413775
1.86,1.87,122.40535433046553
0.78,0.79,100.57929410678534
1.25,1.26,100.57929410678534
0.31,0.32,113.55044290708773
1.06,1.07,103.52649238413775
0.52,0.53,108.42268703014184
1.24,1.25,0.0
1.37,1.38,112.2462048309373
1.17,1.18,0.0
0.18,0.19,125.26644386241279
1.35,1.36,111.59971426302234
2.82,2.83,146.40856959456255
3.23,3.24,0.0
0.27,0.28,118.9207115002721
1.09,1.1,104.12621525348065
0.2,0.21,119.60961217374037
0.95,0.96,100.0
0.09,0.1,129.68395546510095
1.53,1.54,0.0
0.64,0.65,104.72941228206267
1.14,1.15,105.33610359548358
2.63,2.64,0.0
0.7,0.71,103.52649238413775
1.36,1.37,110.95694720678449
2.07,2.08,116.20455869578394
0.89,0.9,102.3373891996775
0.55,0.56,107.79821830428551
1.99,2.0,116.87772485612456
1.9,1.91,125.26644386241279
0.77,0.78,101.16194403019225
0.9,0.91,102.3373891996775
1.19,1.2,0.0
3.21,3.22,0.0
1.2,1.21,0.0
1.07,1.08,103.52649238413775
2.09,2.1,118.9207115002721
0.03,0.04,130.43520697655643
2.16,2.17,0.0
1.45,1.46,110.31788221637464
1.21,1.22,0.0
2.86,2.87,140.60682916223496
2.95,2.96,114.86983549970348
0.5,0.51,108.42268703014184
1.85,1.86,120.99940892192926
2.06,2.07,113.55044290708773
1.69,1.7,107.17734625362931
2.7,2.71,0.0
3.11,3.12,102.93022366434921
1.3,1.31,108.42268703014184
2.53,2.54,119.60961217374037
2.51,2.52,119.60961217374037
2.26,2.27,98.85140203528961
3.22,3.23,0.0
2.61,2.62,0.0
2.91,2.92,120.30250360821167
1.34,1.35,103.52649238413775
1.84,1.85,119.60961217374037
0.16,0.17,125.99210498948732
1.38,1.39,112.89644048061314
0.62,0.63,105.33610359548358
2.57,2.58,118.9207115002721
0.58,0.59,106.56005016284841
3.18,3.19,105.33610359548358
2.35,2.36,101.74796921026864
0.94,0.95,100.0
0.05,0.06,128.1944081920729
1.13,1.14,105.33610359548358
2.17,2.18,112.89644048061314
1.92,1.93,126.72196982870621
0.39,0.4,107.17734625362931
0.63,0.64,104.72941228206267
1.75,1.76,107.17734625362931
1.83,1.84,107.79821830428551
1.39,1.4,113.55044290708773
