Start_Time,End_Time,F0_Hz
0.09,0.1,175.11872228117704
0.44,0.45,173.1073122012286
0.48,0.49,176.1331747192297
0.22,0.23,175.11872228117704
0.17,0.18,176.1331747192297
0.23,0.24,176.1331747192297
0.06,0.07,176.1331747192297
0.45,0.46,173.1073122012286
0.16,0.17,177.1535038204721
0.28,0.29,176.1331747192297
0.3,0.31,175.11872228117704
0.6,0.61,174.11011265922482
0.46,0.47,174.11011265922482
0.57,0.58,174.11011265922482
0.52,0.53,174.11011265922482
0.76,0.77,172.11028744886602
0.47,0.48,175.11872228117704
0.58,0.59,174.11011265922482
0.54,0.55,174.11011265922482
0.13,0.14,177.1535038204721
0.24,0.25,176.1331747192297
0.61,0.62,174.11011265922482
0.21,0.22,175.11872228117704
0.67,0.68,173.1073122012286
0.04,0.05,175.11872228117704
0.1,0.11,176.1331747192297
0.5,0.51,175.11872228117704
0.29,0.3,175.11872228117704
0.68,0.69,173.1073122012286
0.43,0.44,172.11028744886602
0.63,0.64,175.11872228117704
0.51,0.52,175.11872228117704
0.39,0.4,176.1331747192297
0.12,0.13,176.1331747192297
0.38,0.39,176.1331747192297
0.73,0.74,174.11011265922482
0.26,0.27,177.1535038204721
0.7,0.71,173.1073122012286
