Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,227.10088581417543
0.09,0.1,225.79288096122622
0.1,0.11,229.73967099940702
0.11,0.12,232.40911739156792
0.12,0.13,233.75544971224912
0.13,0.14,233.75544971224912
0.14,0.15,233.75544971224912
0.15,0.16,232.40911739156792
0.16,0.17,231.07053937445463
0.17,0.18,229.73967099940702
0.18,0.19,227.10088581417543
0.19,0.2,228.41646786215435
0.2,0.21,231.07053937445463
0.21,0.22,231.07053937445463
0.22,0.23,231.07053937445463
0.23,0.24,0.0
0.24,0.25,0.0
0.25,0.26,201.15858821357068
0.26,0.27,197.70280407057922
0.27,0.28,195.43199368684918
0.28,0.29,194.30638823072118
0.29,0.3,192.07458901020084
0.3,0.31,189.86842419010387
0.31,0.32,187.68759933422865
0.32,0.33,184.46323871718783
0.33,0.34,180.25009252216606
0.34,0.35,174.11011265922482
0.35,0.36,170.13343219017113
0.36,0.37,165.29006363084235
0.37,0.38,156.0130452026747
0.38,0.39,154.22108254079407
0.39,0.4,153.33283446696007
0.4,0.41,152.4497023255762
0.41,0.42,0.0
0.42,0.43,173.1073122012286
0.43,0.44,173.1073122012286
0.44,0.45,173.1073122012286
0.45,0.46,173.1073122012286
0.46,0.47,173.1073122012286
0.47,0.48,174.11011265922482
0.48,0.49,175.11872228117704
0.49,0.5,174.11011265922482
0.5,0.51,174.11011265922482
0.51,0.52,172.11028744886602
0.52,0.53,171.11900513652043
0.53,0.54,169.1535357262897
0.54,0.55,167.2106416577019
0.55,0.56,166.24757922855756
0.56,0.57,164.33806291715806
0.57,0.58,174.11011265922482
0.58,0.59,178.17974362806785
0.59,0.6,193.1872657849691
0.6,0.61,185.5318233882619
0.61,0.62,184.46323871718783
0.62,0.63,184.46323871718783
0.63,0.64,183.40080864093423
0.64,0.65,183.40080864093423
0.65,0.66,183.40080864093423
0.66,0.67,182.34449771164336
0.67,0.68,181.29427068562208
0.68,0.69,182.34449771164336
0.69,0.7,180.25009252216606
0.7,0.71,169.1535357262897
0.71,0.72,182.34449771164336
0.72,0.73,182.34449771164336
0.73,0.74,182.34449771164336
0.74,0.75,182.34449771164336
0.75,0.76,182.34449771164336
0.76,0.77,181.29427068562208
0.77,0.78,182.34449771164336
0.78,0.79,182.34449771164336
0.79,0.8,183.40080864093423
0.8,0.81,187.68759933422865
0.81,0.82,181.29427068562208
0.82,0.83,0.0
0.83,0.84,154.22108254079407
0.84,0.85,154.22108254079407
0.85,0.86,153.33283446696007
0.86,0.87,152.4497023255762
0.87,0.88,152.4497023255762
0.88,0.89,151.57165665103983
0.89,0.9,150.69866814745757
0.9,0.91,149.83070768766817
0.91,0.92,149.83070768766817
0.92,0.93,151.57165665103983
0.93,0.94,152.4497023255762
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,154.22108254079407
0.97,0.98,155.11447618337345
0.98,0.99,155.11447618337345
0.99,1.0,155.11447618337345
1.0,1.01,155.11447618337345
1.01,1.02,155.11447618337345
1.02,1.03,155.11447618337345
1.03,1.04,154.22108254079407
1.04,1.05,154.22108254079407
1.05,1.06,154.22108254079407
1.06,1.07,156.91681957935012
1.07,1.08,158.74010519681997
1.08,1.09,160.5845763726753
1.09,1.1,160.5845763726753
1.1,1.11,159.65967727133
1.11,1.12,158.74010519681997
1.12,1.13,156.91681957935012
1.13,1.14,155.11447618337345
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,221.91389441356898
1.18,1.19,225.79288096122622
1.19,1.2,227.10088581417543
1.2,1.21,231.07053937445463
1.21,1.22,233.75544971224912
1.22,1.23,236.47155720542963
1.23,1.24,239.21922434748075
1.24,1.25,241.99881784385852
1.25,1.26,243.40070273411817
1.26,1.27,239.21922434748075
1.27,1.28,235.10958125672175
1.28,1.29,229.73967099940702
1.29,1.3,229.73967099940702
1.3,1.31,227.10088581417543
1.31,1.32,225.79288096122622
1.32,1.33,223.1994285260446
1.33,1.34,219.36499593892518
1.34,1.35,214.35469250725862
1.35,1.36,208.25243050696125
1.36,1.37,198.8480847635095
1.37,1.38,189.86842419010387
1.38,1.39,185.5318233882619
1.39,1.4,181.29427068562208
1.4,1.41,179.21192838239048
1.41,1.42,177.1535038204721
1.42,1.43,176.1331747192297
1.43,1.44,175.11872228117704
1.44,1.45,175.11872228117704
1.45,1.46,175.11872228117704
1.46,1.47,175.11872228117704
1.47,1.48,174.11011265922482
1.48,1.49,173.1073122012286
1.49,1.5,173.1073122012286
1.5,1.51,171.11900513652043
1.51,1.52,170.13343219017113
1.52,1.53,170.13343219017113
1.53,1.54,169.1535357262897
1.54,1.55,167.2106416577019
1.55,1.56,167.2106416577019
1.56,1.57,166.24757922855756
1.57,1.58,164.33806291715806
1.58,1.59,164.33806291715806
1.59,1.6,164.33806291715806
1.6,1.61,164.33806291715806
1.61,1.62,164.33806291715806
1.62,1.63,164.33806291715806
1.63,1.64,164.33806291715806
1.64,1.65,164.33806291715806
1.65,1.66,163.39154532410998
1.66,1.67,162.4504792712471
1.67,1.68,161.5148333600084
1.68,1.69,159.65967727133
1.69,1.7,156.0130452026747
1.7,1.71,159.65967727133
1.71,1.72,163.39154532410998
1.72,1.73,163.39154532410998
1.73,1.74,163.39154532410998
1.74,1.75,162.4504792712471
1.75,1.76,163.39154532410998
1.76,1.77,163.39154532410998
1.77,1.78,163.39154532410998
1.78,1.79,0.0
1.79,1.8,0.0
1.8,1.81,209.4588245641254
1.81,1.82,209.4588245641254
1.82,1.83,210.67220719096719
1.83,1.84,210.67220719096719
1.84,1.85,211.89261887185907
1.85,1.86,210.67220719096719
1.86,1.87,209.4588245641254
1.87,1.88,208.25243050696125
1.88,1.89,205.86044732869837
1.89,1.9,203.49593842053727
1.9,1.91,202.3238880603845
1.91,1.92,207.05298476827548
1.92,1.93,210.67220719096719
1.93,1.94,209.4588245641254
1.94,1.95,0.0
1.95,1.96,0.0
1.96,1.97,0.0
1.97,1.98,0.0
1.98,1.99,0.0
1.99,2.0,0.0
2.0,2.01,174.11011265922482
2.01,2.02,178.17974362806785
2.02,2.03,175.11872228117704
2.03,2.04,174.11011265922482
2.04,2.05,173.1073122012286
2.05,2.06,170.13343219017113
2.06,2.07,169.1535357262897
2.07,2.08,167.2106416577019
2.08,2.09,165.29006363084235
2.09,2.1,164.33806291715806
2.1,2.11,165.29006363084235
2.11,2.12,168.1792830507429
2.12,2.13,170.13343219017113
2.13,2.14,171.11900513652043
2.14,2.15,170.13343219017113
2.15,2.16,169.1535357262897
2.16,2.17,168.1792830507429
2.17,2.18,166.24757922855756
2.18,2.19,164.33806291715806
2.19,2.2,163.39154532410998
2.2,2.21,163.39154532410998
2.21,2.22,164.33806291715806
2.22,2.23,169.1535357262897
