Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,190.9683207820833
0.09,0.1,190.9683207820833
0.1,0.11,190.9683207820833
0.11,0.12,193.1872657849691
0.12,0.13,193.1872657849691
0.13,0.14,194.30638823072118
0.14,0.15,195.43199368684918
0.15,0.16,198.8480847635095
0.16,0.17,200.0
0.17,0.18,201.15858821357068
0.18,0.19,202.3238880603845
0.19,0.2,202.3238880603845
0.2,0.21,202.3238880603845
0.21,0.22,202.3238880603845
0.22,0.23,202.3238880603845
0.23,0.24,202.3238880603845
0.24,0.25,201.15858821357068
0.25,0.26,198.8480847635095
0.26,0.27,195.43199368684918
0.27,0.28,192.07458901020084
0.28,0.29,189.86842419010387
0.29,0.3,188.7748625363387
0.3,0.31,188.7748625363387
0.31,0.32,188.7748625363387
0.32,0.33,186.60659830736148
0.33,0.34,184.46323871718783
0.34,0.35,182.34449771164336
0.35,0.36,180.25009252216606
0.36,0.37,178.17974362806785
0.37,0.38,177.1535038204721
0.38,0.39,177.1535038204721
0.39,0.4,175.11872228117704
0.4,0.41,174.11011265922482
0.41,0.42,176.1331747192297
0.42,0.43,178.17974362806785
0.43,0.44,180.25009252216606
0.44,0.45,181.29427068562208
0.45,0.46,182.34449771164336
0.46,0.47,183.40080864093423
0.47,0.48,184.46323871718783
0.48,0.49,185.5318233882619
0.49,0.5,185.5318233882619
0.5,0.51,186.60659830736148
0.51,0.52,187.68759933422865
0.52,0.53,187.68759933422865
0.53,0.54,187.68759933422865
0.54,0.55,187.68759933422865
0.55,0.56,187.68759933422865
0.56,0.57,186.60659830736148
0.57,0.58,185.5318233882619
0.58,0.59,185.5318233882619
0.59,0.6,183.40080864093423
0.6,0.61,183.40080864093423
0.61,0.62,181.29427068562208
0.62,0.63,179.21192838239048
0.63,0.64,177.1535038204721
0.64,0.65,175.11872228117704
0.65,0.66,173.1073122012286
0.66,0.67,171.11900513652043
0.67,0.68,169.1535357262897
0.68,0.69,168.1792830507429
0.69,0.7,167.2106416577019
0.7,0.71,167.2106416577019
0.71,0.72,167.2106416577019
0.72,0.73,168.1792830507429
0.73,0.74,169.1535357262897
0.74,0.75,169.1535357262897
0.75,0.76,0.0
0.76,0.77,0.0
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,241.99881784385852
0.86,0.87,229.73967099940702
0.87,0.88,229.73967099940702
0.88,0.89,231.07053937445463
0.89,0.9,231.07053937445463
0.9,0.91,232.40911739156792
0.91,0.92,233.75544971224912
0.92,0.93,235.10958125672175
0.93,0.94,236.47155720542963
0.94,0.95,235.10958125672175
0.95,0.96,232.40911739156792
0.96,0.97,228.41646786215435
0.97,0.98,225.79288096122622
0.98,0.99,221.91389441356898
0.99,1.0,216.8453740602837
1.0,1.01,213.12010032569688
1.01,1.02,209.4588245641254
1.02,1.03,204.67477839935495
1.03,1.04,196.56411970905023
1.04,1.05,184.46323871718783
1.05,1.06,181.29427068562208
1.06,1.07,185.5318233882619
1.07,1.08,194.30638823072118
1.08,1.09,198.8480847635095
1.09,1.1,197.70280407057922
1.1,1.11,196.56411970905023
1.11,1.12,193.1872657849691
1.12,1.13,189.86842419010387
1.13,1.14,184.46323871718783
1.14,1.15,181.29427068562208
1.15,1.16,179.21192838239048
1.16,1.17,179.21192838239048
1.17,1.18,179.21192838239048
1.18,1.19,179.21192838239048
1.19,1.2,181.29427068562208
1.2,1.21,182.34449771164336
1.21,1.22,183.40080864093423
1.22,1.23,183.40080864093423
1.23,1.24,181.29427068562208
1.24,1.25,179.21192838239048
1.25,1.26,178.17974362806785
1.26,1.27,176.1331747192297
1.27,1.28,175.11872228117704
1.28,1.29,176.1331747192297
1.29,1.3,176.1331747192297
1.3,1.31,173.1073122012286
1.31,1.32,170.13343219017113
1.32,1.33,165.29006363084235
1.33,1.34,162.4504792712471
1.34,1.35,160.5845763726753
1.35,1.36,159.65967727133
1.36,1.37,159.65967727133
1.37,1.38,163.39154532410998
1.38,1.39,166.24757922855756
1.39,1.4,168.1792830507429
1.4,1.41,0.0
1.41,1.42,0.0
1.42,1.43,0.0
1.43,1.44,0.0
1.44,1.45,0.0
1.45,1.46,0.0
1.46,1.47,0.0
1.47,1.48,0.0
1.48,1.49,0.0
1.49,1.5,185.5318233882619
1.5,1.51,182.34449771164336
1.51,1.52,181.29427068562208
1.52,1.53,181.29427068562208
1.53,1.54,179.21192838239048
1.54,1.55,178.17974362806785
1.55,1.56,176.1331747192297
1.56,1.57,172.11028744886602
1.57,1.58,174.11011265922482
1.58,1.59,182.34449771164336
1.59,1.6,0.0
1.6,1.61,0.0
1.61,1.62,0.0
1.62,1.63,0.0
1.63,1.64,0.0
1.64,1.65,0.0
1.65,1.66,192.07458901020084
1.66,1.67,184.46323871718783
1.67,1.68,179.21192838239048
1.68,1.69,178.17974362806785
1.69,1.7,177.1535038204721
1.7,1.71,177.1535038204721
1.71,1.72,178.17974362806785
1.72,1.73,178.17974362806785
1.73,1.74,178.17974362806785
1.74,1.75,178.17974362806785
1.75,1.76,178.17974362806785
1.76,1.77,178.17974362806785
1.77,1.78,178.17974362806785
1.78,1.79,180.25009252216606
1.79,1.8,181.29427068562208
1.8,1.81,181.29427068562208
1.81,1.82,182.34449771164336
1.82,1.83,190.9683207820833
1.83,1.84,183.40080864093423
1.84,1.85,181.29427068562208
1.85,1.86,180.25009252216606
1.86,1.87,180.25009252216606
1.87,1.88,180.25009252216606
1.88,1.89,180.25009252216606
1.89,1.9,179.21192838239048
1.9,1.91,178.17974362806785
1.91,1.92,179.21192838239048
1.92,1.93,179.21192838239048
1.93,1.94,178.17974362806785
1.94,1.95,177.1535038204721
1.95,1.96,176.1331747192297
1.96,1.97,176.1331747192297
1.97,1.98,178.17974362806785
1.98,1.99,180.25009252216606
1.99,2.0,180.25009252216606
2.0,2.01,180.25009252216606
2.01,2.02,180.25009252216606
2.02,2.03,180.25009252216606
2.03,2.04,179.21192838239048
2.04,2.05,179.21192838239048
2.05,2.06,177.1535038204721
2.06,2.07,175.11872228117704
2.07,2.08,173.1073122012286
2.08,2.09,171.11900513652043
2.09,2.1,170.13343219017113
2.1,2.11,170.13343219017113
2.11,2.12,169.1535357262897
2.12,2.13,169.1535357262897
2.13,2.14,168.1792830507429
2.14,2.15,167.2106416577019
2.15,2.16,167.2106416577019
2.16,2.17,167.2106416577019
2.17,2.18,166.24757922855756
2.18,2.19,166.24757922855756
2.19,2.2,164.33806291715806
2.2,2.21,162.4504792712471
2.21,2.22,161.5148333600084
2.22,2.23,160.5845763726753
2.23,2.24,159.65967727133
2.24,2.25,0.0
2.25,2.26,0.0
