Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,183.40080864093423
0.03,0.04,183.40080864093423
0.04,0.05,179.21192838239048
0.05,0.06,177.1535038204721
0.06,0.07,175.11872228117704
0.07,0.08,171.11900513652043
0.08,0.09,170.13343219017113
0.09,0.1,168.1792830507429
0.1,0.11,166.24757922855756
0.11,0.12,165.29006363084235
0.12,0.13,164.33806291715806
0.13,0.14,164.33806291715806
0.14,0.15,164.33806291715806
0.15,0.16,166.24757922855756
0.16,0.17,169.1535357262897
0.17,0.18,170.13343219017113
0.18,0.19,171.11900513652043
0.19,0.2,168.1792830507429
0.2,0.21,166.24757922855756
0.21,0.22,163.39154532410998
0.22,0.23,166.24757922855756
0.23,0.24,166.24757922855756
0.24,0.25,0.0
0.25,0.26,0.0
0.26,0.27,182.34449771164336
0.27,0.28,179.21192838239048
0.28,0.29,177.1535038204721
0.29,0.3,173.1073122012286
0.3,0.31,167.2106416577019
0.31,0.32,167.2106416577019
0.32,0.33,160.5845763726753
0.33,0.34,172.11028744886602
0.34,0.35,174.11011265922482
0.35,0.36,177.1535038204721
0.36,0.37,173.1073122012286
0.37,0.38,170.13343219017113
0.38,0.39,171.11900513652043
0.39,0.4,0.0
0.4,0.41,0.0
0.41,0.42,0.0
0.42,0.43,186.60659830736148
0.43,0.44,183.40080864093423
0.44,0.45,181.29427068562208
0.45,0.46,180.25009252216606
0.46,0.47,174.11011265922482
0.47,0.48,169.1535357262897
0.48,0.49,168.1792830507429
0.49,0.5,167.2106416577019
0.5,0.51,166.24757922855756
0.51,0.52,168.1792830507429
0.52,0.53,167.2106416577019
0.53,0.54,167.2106416577019
0.54,0.55,167.2106416577019
0.55,0.56,168.1792830507429
0.56,0.57,168.1792830507429
0.57,0.58,168.1792830507429
0.58,0.59,168.1792830507429
0.59,0.6,168.1792830507429
0.6,0.61,168.1792830507429
0.61,0.62,167.2106416577019
0.62,0.63,167.2106416577019
0.63,0.64,165.29006363084235
0.64,0.65,164.33806291715806
0.65,0.66,163.39154532410998
0.66,0.67,160.5845763726753
0.67,0.68,158.74010519681997
0.68,0.69,159.65967727133
0.69,0.7,162.4504792712471
0.7,0.71,163.39154532410998
0.71,0.72,164.33806291715806
0.72,0.73,164.33806291715806
0.73,0.74,164.33806291715806
0.74,0.75,164.33806291715806
0.75,0.76,163.39154532410998
0.76,0.77,163.39154532410998
0.77,0.78,163.39154532410998
0.78,0.79,162.4504792712471
0.79,0.8,161.5148333600084
0.8,0.81,160.5845763726753
0.81,0.82,159.65967727133
0.82,0.83,158.74010519681997
0.83,0.84,157.8258294677283
0.84,0.85,158.74010519681997
0.85,0.86,160.5845763726753
0.86,0.87,162.4504792712471
0.87,0.88,164.33806291715806
0.88,0.89,165.29006363084235
0.89,0.9,166.24757922855756
0.9,0.91,165.29006363084235
0.91,0.92,165.29006363084235
0.92,0.93,165.29006363084235
0.93,0.94,165.29006363084235
0.94,0.95,165.29006363084235
0.95,0.96,165.29006363084235
0.96,0.97,165.29006363084235
0.97,0.98,165.29006363084235
0.98,0.99,166.24757922855756
0.99,1.0,166.24757922855756
1.0,1.01,165.29006363084235
1.01,1.02,164.33806291715806
1.02,1.03,164.33806291715806
1.03,1.04,164.33806291715806
1.04,1.05,179.21192838239048
1.05,1.06,184.46323871718783
1.06,1.07,183.40080864093423
1.07,1.08,182.34449771164336
1.08,1.09,181.29427068562208
1.09,1.1,180.25009252216606
1.1,1.11,180.25009252216606
1.11,1.12,178.17974362806785
1.12,1.13,177.1535038204721
1.13,1.14,178.17974362806785
1.14,1.15,178.17974362806785
1.15,1.16,178.17974362806785
1.16,1.17,184.46323871718783
1.17,1.18,184.46323871718783
1.18,1.19,178.17974362806785
1.19,1.2,179.21192838239048
1.2,1.21,180.25009252216606
1.21,1.22,179.21192838239048
1.22,1.23,183.40080864093423
1.23,1.24,183.40080864093423
1.24,1.25,194.30638823072118
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,0.0
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,183.40080864093423
1.32,1.33,177.1535038204721
1.33,1.34,174.11011265922482
1.34,1.35,171.11900513652043
1.35,1.36,168.1792830507429
1.36,1.37,167.2106416577019
1.37,1.38,165.29006363084235
1.38,1.39,164.33806291715806
1.39,1.4,163.39154532410998
1.4,1.41,161.5148333600084
1.41,1.42,160.5845763726753
1.42,1.43,159.65967727133
1.43,1.44,160.5845763726753
1.44,1.45,164.33806291715806
1.45,1.46,171.11900513652043
1.46,1.47,169.1535357262897
1.47,1.48,167.2106416577019
1.48,1.49,166.24757922855756
1.49,1.5,166.24757922855756
1.5,1.51,166.24757922855756
1.51,1.52,165.29006363084235
1.52,1.53,164.33806291715806
1.53,1.54,161.5148333600084
1.54,1.55,158.74010519681997
1.55,1.56,157.8258294677283
1.56,1.57,157.8258294677283
1.57,1.58,156.91681957935012
1.58,1.59,156.91681957935012
1.59,1.6,159.65967727133
1.6,1.61,164.33806291715806
1.61,1.62,169.1535357262897
1.62,1.63,172.11028744886602
1.63,1.64,174.11011265922482
1.64,1.65,175.11872228117704
1.65,1.66,176.1331747192297
1.66,1.67,175.11872228117704
1.67,1.68,174.11011265922482
1.68,1.69,173.1073122012286
1.69,1.7,171.11900513652043
1.7,1.71,169.1535357262897
1.71,1.72,167.2106416577019
1.72,1.73,165.29006363084235
1.73,1.74,162.4504792712471
1.74,1.75,162.4504792712471
1.75,1.76,161.5148333600084
1.76,1.77,161.5148333600084
1.77,1.78,161.5148333600084
1.78,1.79,160.5845763726753
1.79,1.8,160.5845763726753
1.8,1.81,159.65967727133
1.81,1.82,159.65967727133
1.82,1.83,159.65967727133
1.83,1.84,159.65967727133
1.84,1.85,159.65967727133
1.85,1.86,159.65967727133
1.86,1.87,159.65967727133
1.87,1.88,158.74010519681997
1.88,1.89,159.65967727133
1.89,1.9,158.74010519681997
1.9,1.91,158.74010519681997
1.91,1.92,156.91681957935012
1.92,1.93,155.11447618337345
1.93,1.94,155.11447618337345
1.94,1.95,147.25670581005258
1.95,1.96,144.7269237440378
1.96,1.97,151.57165665103983
1.97,1.98,0.0
1.98,1.99,0.0
1.99,2.0,0.0
2.0,2.01,0.0
2.01,2.02,0.0
2.02,2.03,0.0
2.03,2.04,0.0
2.04,2.05,0.0
2.05,2.06,0.0
2.06,2.07,0.0
2.07,2.08,0.0
2.08,2.09,173.1073122012286
2.09,2.1,168.1792830507429
2.1,2.11,165.29006363084235
2.11,2.12,162.4504792712471
2.12,2.13,159.65967727133
2.13,2.14,158.74010519681997
2.14,2.15,157.8258294677283
2.15,2.16,158.74010519681997
2.16,2.17,164.33806291715806
2.17,2.18,161.5148333600084
2.18,2.19,165.29006363084235
2.19,2.2,0.0
2.2,2.21,178.17974362806785
2.21,2.22,171.11900513652043
2.22,2.23,168.1792830507429
