Start_Time,End_Time,F0_Hz
0.76,0.77,0.0
0.35,0.36,174.11011265922482
0.84,0.85,155.11447618337345
0.05,0.06,195.43199368684918
0.78,0.79,155.11447618337345
0.73,0.74,0.0
0.4,0.41,161.5148333600084
0.61,0.62,157.8258294677283
0.2,0.21,188.7748625363387
0.19,0.2,190.9683207820833
0.54,0.55,167.2106416577019
0.46,0.47,159.65967727133
0.28,0.29,177.1535038204721
0.83,0.84,155.11447618337345
0.8,0.81,155.11447618337345
0.24,0.25,189.86842419010387
0.44,0.45,181.29427068562208
0.25,0.26,184.46323871718783
0.71,0.72,153.33283446696007
0.41,0.42,161.5148333600084
0.53,0.54,170.13343219017113
0.32,0.33,175.11872228117704
0.52,0.53,173.1073122012286
0.03,0.04,198.8480847635095
0.01,0.02,210.67220719096719
0.47,0.48,156.0130452026747
0.21,0.22,187.68759933422865
0.66,0.67,154.22108254079407
0.18,0.19,190.9683207820833
0.13,0.14,175.11872228117704
0.09,0.1,187.68759933422865
0.06,0.07,194.30638823072118
0.64,0.65,155.11447618337345
0.33,0.34,175.11872228117704
0.56,0.57,164.33806291715806
0.6,0.61,158.74010519681997
0.04,0.05,196.56411970905023
0.02,0.03,200.0
0.67,0.68,154.22108254079407
0.55,0.56,165.29006363084235
0.49,0.5,0.0
0.62,0.63,156.0130452026747
