Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,0.0
0.09,0.1,0.0
0.1,0.11,0.0
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,0.0
0.15,0.16,0.0
0.16,0.17,0.0
0.17,0.18,0.0
0.18,0.19,0.0
0.19,0.2,0.0
0.2,0.21,0.0
0.21,0.22,0.0
0.22,0.23,0.0
0.23,0.24,0.0
0.24,0.25,0.0
0.25,0.26,0.0
0.26,0.27,0.0
0.27,0.28,0.0
0.28,0.29,0.0
0.29,0.3,0.0
0.3,0.31,0.0
0.31,0.32,0.0
0.32,0.33,0.0
0.33,0.34,0.0
0.34,0.35,0.0
0.35,0.36,0.0
0.36,0.37,0.0
0.37,0.38,0.0
0.38,0.39,0.0
0.39,0.4,0.0
0.4,0.41,0.0
0.41,0.42,0.0
0.42,0.43,0.0
0.43,0.44,0.0
0.44,0.45,0.0
0.45,0.46,0.0
0.46,0.47,0.0
0.47,0.48,0.0
0.48,0.49,0.0
0.49,0.5,0.0
0.5,0.51,0.0
0.51,0.52,50.58097201509612
0.52,0.53,50.0
0.53,0.54,50.0
0.54,0.55,50.58097201509612
0.55,0.56,51.46511183217461
0.56,0.57,50.28964705339267
0.57,0.58,50.28964705339267
0.58,0.59,50.0
0.59,0.6,50.28964705339267
0.6,0.61,50.28964705339267
0.61,0.62,50.87398460513432
0.62,0.63,51.46511183217461
0.63,0.64,50.0
0.64,0.65,0.0
0.65,0.66,0.0
0.66,0.67,0.0
0.67,0.68,0.0
0.68,0.69,0.0
0.69,0.7,0.0
0.7,0.71,0.0
0.71,0.72,0.0
0.72,0.73,0.0
0.73,0.74,0.0
0.74,0.75,0.0
0.75,0.76,0.0
0.76,0.77,0.0
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,65.21760348827821
0.86,0.87,69.89849670895097
0.87,0.88,71.12030090986407
0.88,0.89,75.7858283255199
0.89,0.9,79.37005259840997
0.9,0.91,82.64503181542116
0.91,0.92,83.12378961427878
0.92,0.93,83.12378961427878
0.93,0.94,83.60532082885095
0.94,0.95,84.08964152537145
0.95,0.96,84.57676786314485
0.96,0.97,85.06671609508557
0.97,0.98,81.695772662055
0.98,0.99,82.64503181542116
0.99,1.0,82.64503181542116
1.0,1.01,82.16903145857903
1.01,1.02,81.22523963562355
1.02,1.03,79.829838635665
1.03,1.04,77.55723809168673
1.04,1.05,75.34933407372878
1.05,1.06,72.78265914210937
1.06,1.07,71.53229662176292
1.07,1.08,68.30201283771977
1.08,1.09,65.9753955386447
1.09,1.1,0.0
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,103.52649238413775
1.14,1.15,103.52649238413775
1.15,1.16,103.52649238413775
1.16,1.17,103.52649238413775
1.17,1.18,103.52649238413775
1.18,1.19,104.12621525348065
1.19,1.2,104.12621525348065
1.2,1.21,104.72941228206267
1.21,1.22,104.12621525348065
1.22,1.23,103.52649238413775
1.23,1.24,102.93022366434921
1.24,1.25,102.3373891996775
1.25,1.26,102.3373891996775
1.26,1.27,101.74796921026864
1.27,1.28,101.16194403019225
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,79.37005259840997
1.32,1.33,81.695772662055
1.33,1.34,80.29228818633764
1.34,1.35,80.29228818633764
1.35,1.36,80.29228818633764
1.36,1.37,80.29228818633764
1.37,1.38,79.829838635665
1.38,1.39,79.37005259840997
1.39,1.4,78.00652260133735
1.4,1.41,76.66641723348003
1.41,1.42,74.91535384383408
1.42,1.43,72.3634618720189
1.43,1.44,71.946679000541
1.44,1.45,72.3634618720189
1.45,1.46,72.78265914210937
1.46,1.47,73.20428479728128
1.47,1.48,73.62835290502629
1.48,1.49,73.20428479728128
1.49,1.5,73.20428479728128
1.5,1.51,72.3634618720189
1.51,1.52,71.946679000541
1.52,1.53,71.12030090986407
1.53,1.54,64.46851542197895
1.54,1.55,0.0
1.55,1.56,0.0
1.56,1.57,0.0
1.57,1.58,0.0
1.58,1.59,0.0
1.59,1.6,0.0
1.6,1.61,0.0
1.61,1.62,0.0
1.62,1.63,0.0
1.63,1.64,0.0
1.64,1.65,0.0
1.65,1.66,0.0
1.66,1.67,0.0
1.67,1.68,0.0
1.68,1.69,0.0
1.69,1.7,0.0
1.7,1.71,0.0
1.71,1.72,0.0
1.72,1.73,0.0
1.73,1.74,0.0
1.74,1.75,0.0
1.75,1.76,0.0
1.76,1.77,69.0956439983888
1.77,1.78,75.34933407372878
1.78,1.79,76.2248511627881
1.79,1.8,75.34933407372878
1.8,1.81,75.34933407372878
1.81,1.82,75.34933407372878
1.82,1.83,75.34933407372878
1.83,1.84,73.20428479728128
1.84,1.85,73.62835290502629
1.85,1.86,74.0548776143282
1.86,1.87,74.91535384383408
1.87,1.88,74.0548776143282
1.88,1.89,73.20428479728128
1.89,1.9,72.3634618720189
1.9,1.91,71.12030090986407
1.91,1.92,70.71067811865476
1.92,1.93,71.12030090986407
1.93,1.94,71.12030090986407
1.94,1.95,73.20428479728128
1.95,1.96,71.12030090986407
1.96,1.97,71.12030090986407
1.97,1.98,71.12030090986407
1.98,1.99,71.12030090986407
1.99,2.0,71.12030090986407
2.0,2.01,71.53229662176292
2.01,2.02,71.53229662176292
2.02,2.03,70.71067811865476
2.03,2.04,70.71067811865476
2.04,2.05,70.30341458111748
2.05,2.06,71.12030090986407
2.06,2.07,70.71067811865476
2.07,2.08,70.71067811865476
2.08,2.09,70.30341458111748
2.09,2.1,69.89849670895097
2.1,2.11,70.30341458111748
2.11,2.12,70.30341458111748
2.12,2.13,70.71067811865476
2.13,2.14,71.12030090986407
2.14,2.15,71.53229662176292
2.15,2.16,71.53229662176292
2.16,2.17,71.53229662176292
2.17,2.18,71.946679000541
2.18,2.19,71.946679000541
2.19,2.2,72.78265914210937
2.2,2.21,73.20428479728128
2.21,2.22,73.20428479728128
2.22,2.23,71.53229662176292
2.23,2.24,71.12030090986407
2.24,2.25,71.12030090986407
2.25,2.26,67.5174973084095
2.26,2.27,62.99605249474366
2.27,2.28,62.63322193120639
