Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,241.99881784385852
0.05,0.06,235.10958125672175
0.06,0.07,228.41646786215435
0.07,0.08,223.1994285260446
0.08,0.09,214.35469250725862
0.09,0.1,209.4588245641254
0.1,0.11,207.05298476827548
0.11,0.12,205.86044732869837
0.12,0.13,204.67477839935495
0.13,0.14,204.67477839935495
0.14,0.15,205.86044732869837
0.15,0.16,207.05298476827548
0.16,0.17,208.25243050696125
0.17,0.18,209.4588245641254
0.18,0.19,213.12010032569688
0.19,0.2,215.59643660857103
0.2,0.21,216.8453740602837
0.21,0.22,219.36499593892518
0.22,0.23,221.91389441356898
0.23,0.24,223.1994285260446
0.24,0.25,225.79288096122622
0.25,0.26,227.10088581417543
0.26,0.27,227.10088581417543
0.27,0.28,228.41646786215435
0.28,0.29,227.10088581417543
0.29,0.3,225.79288096122622
0.3,0.31,224.49240966187455
0.31,0.32,221.91389441356898
0.32,0.33,216.8453740602837
0.33,0.34,213.12010032569688
0.34,0.35,210.67220719096719
0.35,0.36,209.4588245641254
0.36,0.37,205.86044732869837
0.37,0.38,202.3238880603845
0.38,0.39,198.8480847635095
0.39,0.4,194.30638823072118
0.4,0.41,186.60659830736148
0.41,0.42,175.11872228117704
0.42,0.43,169.1535357262897
0.43,0.44,164.33806291715806
0.44,0.45,162.4504792712471
0.45,0.46,158.74010519681997
0.46,0.47,155.11447618337345
0.47,0.48,148.1097552286564
0.48,0.49,145.56531828421873
0.49,0.5,146.40856959456255
0.5,0.51,148.1097552286564
0.51,0.52,148.96774631227024
0.52,0.53,149.83070768766817
0.53,0.54,152.4497023255762
0.54,0.55,154.22108254079407
0.55,0.56,156.91681957935012
0.56,0.57,157.8258294677283
0.57,0.58,159.65967727133
0.58,0.59,159.65967727133
0.59,0.6,161.5148333600084
0.6,0.61,161.5148333600084
0.61,0.62,162.4504792712471
0.62,0.63,162.4504792712471
0.63,0.64,164.33806291715806
0.64,0.65,167.2106416577019
0.65,0.66,168.1792830507429
0.66,0.67,171.11900513652043
0.67,0.68,174.11011265922482
0.68,0.69,174.11011265922482
0.69,0.7,175.11872228117704
0.7,0.71,0.0
0.71,0.72,0.0
0.72,0.73,0.0
0.73,0.74,0.0
0.74,0.75,0.0
0.75,0.76,0.0
0.76,0.77,0.0
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,0.0
0.86,0.87,0.0
0.87,0.88,0.0
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,0.0
0.92,0.93,0.0
0.93,0.94,0.0
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,169.1535357262897
0.97,0.98,168.1792830507429
0.98,0.99,168.1792830507429
0.99,1.0,167.2106416577019
1.0,1.01,165.29006363084235
1.01,1.02,162.4504792712471
1.02,1.03,162.4504792712471
1.03,1.04,162.4504792712471
1.04,1.05,0.0
1.05,1.06,0.0
1.06,1.07,0.0
1.07,1.08,0.0
1.08,1.09,0.0
1.09,1.1,0.0
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,0.0
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,0.0
1.24,1.25,0.0
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,0.0
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
1.33,1.34,0.0
1.34,1.35,0.0
1.35,1.36,0.0
1.36,1.37,0.0
1.37,1.38,0.0
1.38,1.39,0.0
1.39,1.4,247.65527207548806
1.4,1.41,247.65527207548806
1.41,1.42,246.2288826689832
1.42,1.43,244.81070866093103
1.43,1.44,244.81070866093103
1.44,1.45,244.81070866093103
1.45,1.46,243.40070273411817
1.46,1.47,243.40070273411817
1.47,1.48,243.40070273411817
1.48,1.49,243.40070273411817
1.49,1.5,243.40070273411817
1.5,1.51,241.99881784385852
1.51,1.52,241.99881784385852
1.52,1.53,241.99881784385852
1.53,1.54,241.99881784385852
1.54,1.55,243.40070273411817
1.55,1.56,241.99881784385852
1.56,1.57,241.99881784385852
1.57,1.58,240.60500721642333
1.58,1.59,239.21922434748075
1.59,1.6,239.21922434748075
1.6,1.61,237.8414230005442
1.61,1.62,237.8414230005442
1.62,1.63,237.8414230005442
1.63,1.64,237.8414230005442
1.64,1.65,237.8414230005442
1.65,1.66,237.8414230005442
1.66,1.67,239.21922434748075
1.67,1.68,239.21922434748075
1.68,1.69,239.21922434748075
1.69,1.7,239.21922434748075
1.7,1.71,237.8414230005442
1.71,1.72,237.8414230005442
1.72,1.73,237.8414230005442
1.73,1.74,237.8414230005442
1.74,1.75,237.8414230005442
1.75,1.76,237.8414230005442
1.76,1.77,236.47155720542963
1.77,1.78,236.47155720542963
1.78,1.79,236.47155720542963
1.79,1.8,236.47155720542963
1.8,1.81,236.47155720542963
1.81,1.82,236.47155720542963
1.82,1.83,236.47155720542963
1.83,1.84,236.47155720542963
1.84,1.85,236.47155720542963
1.85,1.86,236.47155720542963
1.86,1.87,236.47155720542963
1.87,1.88,236.47155720542963
1.88,1.89,235.10958125672175
1.89,1.9,235.10958125672175
1.9,1.91,233.75544971224912
1.91,1.92,233.75544971224912
1.92,1.93,233.75544971224912
1.93,1.94,0.0
1.94,1.95,0.0
1.95,1.96,0.0
1.96,1.97,0.0
1.97,1.98,0.0
1.98,1.99,0.0
1.99,2.0,0.0
2.0,2.01,0.0
2.01,2.02,0.0
2.02,2.03,0.0
2.03,2.04,0.0
2.04,2.05,221.91389441356898
2.05,2.06,223.1994285260446
2.06,2.07,221.91389441356898
2.07,2.08,218.10154653305153
2.08,2.09,215.59643660857103
2.09,2.1,213.12010032569688
2.1,2.11,211.89261887185907
2.11,2.12,210.67220719096719
2.12,2.13,209.4588245641254
2.13,2.14,207.05298476827548
2.14,2.15,205.86044732869837
2.15,2.16,203.49593842053727
2.16,2.17,201.15858821357068
2.17,2.18,198.8480847635095
2.18,2.19,196.56411970905023
2.19,2.2,196.56411970905023
2.2,2.21,195.43199368684918
2.21,2.22,210.67220719096719
2.22,2.23,204.67477839935495
2.23,2.24,202.3238880603845
2.24,2.25,201.15858821357068
2.25,2.26,200.0
2.26,2.27,198.8480847635095
2.27,2.28,197.70280407057922
2.28,2.29,196.56411970905023
2.29,2.3,195.43199368684918
2.3,2.31,195.43199368684918
2.31,2.32,194.30638823072118
2.32,2.33,194.30638823072118
2.33,2.34,193.1872657849691
2.34,2.35,193.1872657849691
2.35,2.36,192.07458901020084
