Start_Time,End_Time,F0_Hz
0.03,0.04,174.11011265922482
0.37,0.38,198.8480847635095
1.68,1.69,227.10088581417543
1.38,1.39,214.35469250725862
0.21,0.22,0.0
1.31,1.32,220.63576443274928
0.85,0.86,220.63576443274928
0.66,0.67,232.40911739156792
1.79,1.8,236.47155720542963
0.81,0.82,227.10088581417543
1.55,1.56,229.73967099940702
0.96,0.97,228.41646786215435
1.65,1.66,240.60500721642333
1.09,1.1,0.0
1.63,1.64,246.2288826689832
0.14,0.15,0.0
1.11,1.12,0.0
0.39,0.4,0.0
1.36,1.37,208.25243050696125
0.48,0.49,218.10154653305153
0.93,0.94,218.10154653305153
0.82,0.83,224.49240966187455
1.13,1.14,225.79288096122622
1.17,1.18,209.4588245641254
0.17,0.18,0.0
1.44,1.45,0.0
0.78,0.79,233.75544971224912
0.47,0.48,216.8453740602837
0.9,0.91,220.63576443274928
0.6,0.61,246.2288826689832
0.46,0.47,214.35469250725862
1.73,1.74,0.0
1.16,1.17,213.12010032569688
1.1,1.11,0.0
1.66,1.67,235.10958125672175
1.46,1.47,0.0
1.62,1.63,247.65527207548806
0.31,0.32,200.0
1.52,1.53,214.35469250725862
0.38,0.39,196.56411970905023
0.33,0.34,202.3238880603845
0.06,0.07,201.15858821357068
1.78,1.79,236.47155720542963
1.75,1.76,239.21922434748075
0.67,0.68,231.07053937445463
1.04,1.05,0.0
0.11,0.12,195.43199368684918
0.83,0.84,221.91389441356898
0.7,0.71,231.07053937445463
0.95,0.96,229.73967099940702
1.29,1.3,225.79288096122622
0.86,0.87,220.63576443274928
1.48,1.49,0.0
0.02,0.03,176.1331747192297
0.64,0.65,236.47155720542963
0.35,0.36,201.15858821357068
1.35,1.36,210.67220719096719
0.18,0.19,0.0
0.59,0.6,247.65527207548806
0.5,0.51,223.1994285260446
1.4,1.41,215.59643660857103
0.92,0.93,219.36499593892518
1.28,1.29,219.36499593892518
1.12,1.13,0.0
0.4,0.41,0.0
1.27,1.28,209.4588245641254
0.57,0.58,241.99881784385852
0.99,1.0,0.0
1.26,1.27,211.89261887185907
0.24,0.25,0.0
0.16,0.17,0.0
0.43,0.44,210.67220719096719
1.22,1.23,0.0
0.89,0.9,220.63576443274928
0.58,0.59,246.2288826689832
0.75,0.76,236.47155720542963
1.7,1.71,0.0
0.65,0.66,233.75544971224912
1.43,1.44,0.0
0.79,0.8,232.40911739156792
1.54,1.55,224.49240966187455
1.49,1.5,197.70280407057922
1.08,1.09,0.0
1.56,1.57,233.75544971224912
0.68,0.69,229.73967099940702
1.32,1.33,218.10154653305153
0.05,0.06,183.40080864093423
0.8,0.81,229.73967099940702
0.23,0.24,0.0
1.01,1.02,0.0
