Start_Time,End_Time,F0_Hz
1.1,1.11,0.0
2.15,2.16,86.05514372443301
3.39,3.4,103.52649238413775
3.53,3.54,97.71599684342459
3.46,3.47,99.42404238175475
0.37,0.38,133.48398541700342
0.83,0.84,89.60596419119524
0.04,0.05,110.95694720678449
1.64,1.65,109.68249796946259
0.77,0.78,0.0
0.92,0.93,0.0
1.39,1.4,87.05505632961241
0.48,0.49,108.42268703014184
1.38,1.39,87.05505632961241
2.98,2.99,86.05514372443301
2.53,2.54,117.55479062836088
3.32,3.33,105.94630943592954
1.26,1.27,0.0
0.95,0.96,100.57929410678534
3.56,3.57,95.48416039104166
1.84,1.85,105.94630943592954
3.29,3.3,106.56005016284841
3.16,3.17,0.0
0.67,0.68,0.0
2.48,2.49,116.87772485612456
1.55,1.56,0.0
1.59,1.6,0.0
0.17,0.18,160.5845763726753
2.57,2.58,116.20455869578394
1.21,1.22,0.0
0.34,0.35,0.0
0.03,0.04,110.31788221637464
2.78,2.79,93.30329915368074
0.02,0.03,109.68249796946259
3.7,3.71,87.55936114058852
1.09,1.1,0.0
3.04,3.05,86.55365610061429
1.53,1.54,0.0
1.24,1.25,0.0
0.85,0.86,86.05514372443301
2.42,2.43,112.2462048309373
2.27,2.28,0.0
2.03,2.04,96.59363289248455
2.73,2.74,96.59363289248455
2.38,2.39,0.0
1.69,1.7,107.17734625362931
2.41,2.42,112.2462048309373
1.32,1.33,97.15319411536059
3.33,3.34,105.33610359548358
0.52,0.53,111.59971426302234
0.49,0.5,109.68249796946259
3.26,3.27,106.56005016284841
3.43,3.44,101.74796921026864
1.75,1.76,110.95694720678449
0.8,0.81,96.03729450510042
2.69,2.7,99.42404238175475
2.26,2.27,0.0
1.57,1.58,0.0
1.96,1.97,98.85140203528961
2.19,2.2,90.64713534281104
1.3,1.31,0.0
0.3,0.31,152.4497023255762
0.71,0.72,0.0
0.35,0.36,143.893358001082
2.3,2.31,0.0
0.31,0.32,0.0
1.72,1.73,109.05077326652577
0.14,0.15,149.83070768766817
2.94,2.95,86.55365610061429
0.98,0.99,101.74796921026864
1.41,1.42,86.55365610061429
1.33,1.34,89.60596419119524
1.98,1.99,97.71599684342459
3.42,3.43,102.3373891996775
0.42,0.43,116.87772485612456
0.79,0.8,100.0
0.22,0.23,175.11872228117704
0.11,0.12,136.60402567543954
1.66,1.67,108.42268703014184
3.19,3.2,0.0
1.49,1.5,0.0
0.28,0.29,163.39154532410998
0.47,0.48,109.68249796946259
0.27,0.28,164.33806291715806
0.76,0.77,0.0
2.76,2.77,95.48416039104166
0.82,0.83,92.23161935859392
3.23,3.24,107.17734625362931
0.62,0.63,116.20455869578394
1.61,1.62,0.0
2.8,2.81,88.57675191023606
3.25,3.26,106.56005016284841
0.33,0.34,0.0
1.14,1.15,0.0
2.89,2.9,88.57675191023606
3.55,3.56,104.72941228206267
3.2,3.21,0.0
0.0,0.01,111.59971426302234
0.63,0.64,114.20823393107715
2.1,2.11,91.70040432046711
1.89,1.9,103.52649238413775
1.71,1.72,108.42268703014184
2.0,2.01,0.0
0.06,0.07,112.2462048309373
1.37,1.38,87.55936114058852
0.07,0.08,112.89644048061314
2.16,2.17,88.57675191023606
1.36,1.37,88.57675191023606
0.66,0.67,0.0
0.99,1.0,102.3373891996775
2.54,2.55,116.87772485612456
1.16,1.17,0.0
3.66,3.67,86.05514372443301
0.44,0.45,113.55044290708773
3.14,3.15,0.0
2.65,2.66,107.17734625362931
1.6,1.61,0.0
0.4,0.41,120.99940892192926
3.4,3.41,102.93022366434921
3.45,3.46,100.57929410678534
0.13,0.14,148.1097552286564
0.91,0.92,0.0
2.66,2.67,103.52649238413775
1.9,1.91,101.16194403019225
3.05,3.06,86.55365610061429
2.71,2.72,97.71599684342459
1.82,1.83,107.79821830428551
1.86,1.87,107.79821830428551
1.68,1.69,107.17734625362931
1.56,1.57,0.0
1.51,1.52,0.0
2.68,2.69,100.57929410678534
0.89,0.9,0.0
1.12,1.13,0.0
1.97,1.98,98.2820598545251
1.52,1.53,0.0
0.69,0.7,0.0
2.77,2.78,94.93421209505193
2.86,2.87,89.60596419119524
3.47,3.48,98.2820598545251
2.35,2.36,0.0
2.43,2.44,111.59971426302234
3.68,3.69,84.57676786314485
1.04,1.05,101.74796921026864
3.38,3.39,103.52649238413775
2.91,2.92,88.06658735961484
0.88,0.89,0.0
1.83,1.84,106.56005016284841
3.1,3.11,85.55950256826023
3.51,3.52,98.2820598545251
2.75,2.76,95.48416039104166
1.42,1.43,86.55365610061429
0.43,0.44,115.5352696872273
0.08,0.09,114.86983549970348
3.17,3.18,0.0
2.32,2.33,0.0
2.21,2.22,89.60596419119524
1.0,1.01,102.93022366434921
2.58,2.59,115.5352696872273
0.56,0.57,120.99940892192926
3.63,3.64,89.08987181403393
2.33,2.34,0.0
3.03,3.04,86.05514372443301
0.1,0.11,132.71517423385683
1.11,1.12,0.0
1.31,1.32,97.15319411536059
1.07,1.08,0.0
1.28,1.29,0.0
2.5,2.51,117.55479062836088
1.03,1.04,102.93022366434921
3.37,3.38,103.52649238413775
0.87,0.88,0.0
3.65,3.66,87.05505632961241
0.73,0.74,0.0
3.18,3.19,0.0
3.48,3.49,97.71599684342459
2.79,2.8,92.23161935859392
3.31,3.32,105.94630943592954
1.43,1.44,86.05514372443301
2.34,2.35,0.0
3.06,3.07,86.55365610061429
2.44,2.45,106.56005016284841
0.97,0.98,101.16194403019225
0.29,0.3,152.4497023255762
0.6,0.61,120.30250360821167
1.7,1.71,107.79821830428551
