Start_Time,End_Time,F0_Hz
1.84,1.85,0.0
3.21,3.22,180.25009252216606
3.46,3.47,170.13343219017113
4.0,4.01,0.0
0.89,0.9,260.87041395311286
2.57,2.58,192.07458901020084
1.72,1.73,141.4213562373095
0.56,0.57,0.0
0.55,0.56,0.0
1.43,1.44,166.24757922855756
1.5,1.51,164.33806291715806
2.77,2.78,274.79072949161787
2.08,2.09,0.0
2.19,2.2,236.47155720542963
1.34,1.35,181.29427068562208
3.87,3.88,135.81724438273213
1.56,1.57,0.0
1.67,1.68,141.4213562373095
4.35,4.36,127.45606273192622
0.2,0.21,190.9683207820833
0.61,0.62,220.63576443274928
0.32,0.33,181.29427068562208
1.31,1.32,187.68759933422865
0.98,0.99,228.41646786215435
3.2,3.21,179.21192838239048
4.29,4.3,125.99210498948732
2.07,2.08,0.0
3.99,4.0,0.0
2.68,2.69,259.3679109302019
3.41,3.42,169.1535357262897
2.69,2.7,263.9015821545788
1.9,1.91,186.60659830736148
3.49,3.5,168.1792830507429
1.63,1.64,145.56531828421873
0.66,0.67,237.8414230005442
3.33,3.34,164.33806291715806
2.89,2.9,235.10958125672175
2.74,2.75,276.38257599355524
3.17,3.18,166.24757922855756
0.57,0.58,0.0
0.38,0.39,168.1792830507429
0.17,0.18,189.86842419010387
4.36,4.37,126.72196982870621
4.19,4.2,120.99940892192926
2.73,2.74,274.79072949161787
2.32,2.33,162.4504792712471
0.65,0.66,231.07053937445463
0.28,0.29,190.9683207820833
1.39,1.4,174.11011265922482
3.34,3.35,161.5148333600084
4.38,4.39,126.72196982870621
3.19,3.2,175.11872228117704
1.74,1.75,143.893358001082
2.54,2.55,189.86842419010387
2.55,2.56,190.9683207820833
0.53,0.54,0.0
3.51,3.52,164.33806291715806
1.57,1.58,0.0
0.36,0.37,176.1331747192297
1.26,1.27,0.0
0.85,0.86,292.81713918912504
1.15,1.16,194.30638823072118
3.72,3.73,143.893358001082
3.52,3.53,162.4504792712471
0.23,0.24,192.07458901020084
4.32,4.33,126.72196982870621
3.71,3.72,144.7269237440378
0.69,0.7,246.2288826689832
3.47,3.48,169.1535357262897
1.86,1.87,0.0
4.09,4.1,129.68395546510095
4.39,4.4,126.72196982870621
2.0,2.01,179.21192838239048
1.94,1.95,180.25009252216606
3.55,3.56,159.65967727133
1.14,1.15,186.60659830736148
0.79,0.8,279.5939868358039
0.48,0.49,0.0
2.53,2.54,187.68759933422865
2.87,2.88,244.81070866093103
3.88,3.89,137.3953647458089
3.44,3.45,170.13343219017113
0.62,0.63,220.63576443274928
3.27,3.28,183.40080864093423
3.24,3.25,183.40080864093423
4.28,4.29,125.26644386241279
1.45,1.46,164.33806291715806
1.21,1.22,0.0
2.05,2.06,0.0
3.63,3.64,152.4497023255762
3.84,3.85,135.034994616819
2.88,2.89,240.60500721642333
2.62,2.63,0.0
4.2,4.21,122.40535433046553
0.73,0.74,256.3888163841458
3.45,3.46,170.13343219017113
0.47,0.48,0.0
1.35,1.36,180.25009252216606
3.42,3.43,169.1535357262897
2.94,2.95,260.87041395311286
4.07,4.08,127.45606273192622
3.53,3.54,161.5148333600084
0.5,0.51,0.0
2.99,3.0,231.07053937445463
0.54,0.55,0.0
0.63,0.64,223.1994285260446
3.67,3.68,146.40856959456255
2.11,2.12,247.65527207548806
3.89,3.9,137.3953647458089
0.87,0.88,282.842712474619
0.49,0.5,0.0
2.43,2.44,155.11447618337345
4.22,4.23,123.82763603774404
