Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,178.17974362806785
0.04,0.05,180.25009252216606
0.05,0.06,181.29427068562208
0.06,0.07,182.34449771164336
0.07,0.08,185.5318233882619
0.08,0.09,188.7748625363387
0.09,0.1,192.07458901020084
0.1,0.11,196.56411970905023
0.11,0.12,200.0
0.12,0.13,204.67477839935495
0.13,0.14,208.25243050696125
0.14,0.15,209.4588245641254
0.15,0.16,210.67220719096719
0.16,0.17,204.67477839935495
0.17,0.18,202.3238880603845
0.18,0.19,201.15858821357068
0.19,0.2,198.8480847635095
0.2,0.21,197.70280407057922
0.21,0.22,200.0
0.22,0.23,201.15858821357068
0.23,0.24,201.15858821357068
0.24,0.25,200.0
0.25,0.26,200.0
0.26,0.27,198.8480847635095
0.27,0.28,196.56411970905023
0.28,0.29,195.43199368684918
0.29,0.3,193.1872657849691
0.3,0.31,190.9683207820833
0.31,0.32,188.7748625363387
0.32,0.33,187.68759933422865
0.33,0.34,186.60659830736148
0.34,0.35,185.5318233882619
0.35,0.36,185.5318233882619
0.36,0.37,184.46323871718783
0.37,0.38,184.46323871718783
0.38,0.39,184.46323871718783
0.39,0.4,183.40080864093423
0.4,0.41,182.34449771164336
0.41,0.42,182.34449771164336
0.42,0.43,182.34449771164336
0.43,0.44,182.34449771164336
0.44,0.45,182.34449771164336
0.45,0.46,181.29427068562208
0.46,0.47,180.25009252216606
0.47,0.48,180.25009252216606
0.48,0.49,179.21192838239048
0.49,0.5,178.17974362806785
0.5,0.51,177.1535038204721
0.51,0.52,175.11872228117704
0.52,0.53,173.1073122012286
0.53,0.54,169.1535357262897
0.54,0.55,169.1535357262897
0.55,0.56,177.1535038204721
0.56,0.57,0.0
0.57,0.58,0.0
0.58,0.59,0.0
0.59,0.6,0.0
0.6,0.61,161.5148333600084
0.61,0.62,158.74010519681997
0.62,0.63,157.8258294677283
0.63,0.64,156.0130452026747
0.64,0.65,154.22108254079407
0.65,0.66,154.22108254079407
0.66,0.67,0.0
0.67,0.68,0.0
0.68,0.69,0.0
0.69,0.7,147.25670581005258
0.7,0.71,147.25670581005258
0.71,0.72,148.1097552286564
0.72,0.73,148.96774631227024
0.73,0.74,149.83070768766817
0.74,0.75,150.69866814745757
0.75,0.76,149.83070768766817
0.76,0.77,150.69866814745757
0.77,0.78,150.69866814745757
0.78,0.79,149.83070768766817
0.79,0.8,148.96774631227024
0.8,0.81,148.1097552286564
0.81,0.82,148.96774631227024
0.82,0.83,148.96774631227024
0.83,0.84,148.96774631227024
0.84,0.85,149.83070768766817
0.85,0.86,148.96774631227024
0.86,0.87,148.96774631227024
0.87,0.88,148.96774631227024
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,162.4504792712471
0.92,0.93,161.5148333600084
0.93,0.94,159.65967727133
0.94,0.95,158.74010519681997
0.95,0.96,156.91681957935012
0.96,0.97,156.0130452026747
0.97,0.98,156.0130452026747
0.98,0.99,155.11447618337345
0.99,1.0,155.11447618337345
1.0,1.01,155.11447618337345
1.01,1.02,156.0130452026747
1.02,1.03,156.0130452026747
1.03,1.04,156.0130452026747
1.04,1.05,155.11447618337345
1.05,1.06,155.11447618337345
1.06,1.07,155.11447618337345
1.07,1.08,154.22108254079407
1.08,1.09,154.22108254079407
1.09,1.1,153.33283446696007
1.1,1.11,155.11447618337345
1.11,1.12,155.11447618337345
1.12,1.13,155.11447618337345
1.13,1.14,155.11447618337345
1.14,1.15,155.11447618337345
1.15,1.16,155.11447618337345
1.16,1.17,155.11447618337345
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,179.21192838239048
1.21,1.22,179.21192838239048
1.22,1.23,178.17974362806785
1.23,1.24,178.17974362806785
1.24,1.25,179.21192838239048
1.25,1.26,181.29427068562208
1.26,1.27,183.40080864093423
1.27,1.28,186.60659830736148
1.28,1.29,189.86842419010387
1.29,1.3,192.07458901020084
1.3,1.31,193.1872657849691
1.31,1.32,193.1872657849691
1.32,1.33,190.9683207820833
1.33,1.34,185.5318233882619
1.34,1.35,184.46323871718783
1.35,1.36,185.5318233882619
1.36,1.37,187.68759933422865
1.37,1.38,189.86842419010387
1.38,1.39,194.30638823072118
1.39,1.4,195.43199368684918
1.4,1.41,195.43199368684918
1.41,1.42,195.43199368684918
1.42,1.43,194.30638823072118
1.43,1.44,192.07458901020084
1.44,1.45,190.9683207820833
1.45,1.46,189.86842419010387
1.46,1.47,188.7748625363387
1.47,1.48,187.68759933422865
1.48,1.49,186.60659830736148
1.49,1.5,184.46323871718783
1.5,1.51,183.40080864093423
1.51,1.52,182.34449771164336
1.52,1.53,181.29427068562208
1.53,1.54,179.21192838239048
1.54,1.55,178.17974362806785
1.55,1.56,175.11872228117704
1.56,1.57,174.11011265922482
1.57,1.58,171.11900513652043
1.58,1.59,176.1331747192297
1.59,1.6,176.1331747192297
1.6,1.61,176.1331747192297
1.61,1.62,176.1331747192297
1.62,1.63,176.1331747192297
1.63,1.64,175.11872228117704
1.64,1.65,175.11872228117704
1.65,1.66,174.11011265922482
1.66,1.67,174.11011265922482
1.67,1.68,174.11011265922482
1.68,1.69,175.11872228117704
1.69,1.7,175.11872228117704
1.7,1.71,175.11872228117704
1.71,1.72,173.1073122012286
1.72,1.73,171.11900513652043
1.73,1.74,170.13343219017113
1.74,1.75,169.1535357262897
1.75,1.76,166.24757922855756
1.76,1.77,161.5148333600084
1.77,1.78,168.1792830507429
1.78,1.79,172.11028744886602
1.79,1.8,173.1073122012286
1.8,1.81,174.11011265922482
1.81,1.82,0.0
1.82,1.83,0.0
1.83,1.84,0.0
1.84,1.85,0.0
1.85,1.86,185.5318233882619
1.86,1.87,179.21192838239048
1.87,1.88,173.1073122012286
1.88,1.89,172.11028744886602
1.89,1.9,170.13343219017113
1.9,1.91,169.1535357262897
1.91,1.92,168.1792830507429
1.92,1.93,167.2106416577019
1.93,1.94,167.2106416577019
1.94,1.95,166.24757922855756
1.95,1.96,166.24757922855756
1.96,1.97,166.24757922855756
1.97,1.98,168.1792830507429
1.98,1.99,168.1792830507429
1.99,2.0,169.1535357262897
2.0,2.01,167.2106416577019
2.01,2.02,0.0
2.02,2.03,0.0
2.03,2.04,0.0
2.04,2.05,188.7748625363387
2.05,2.06,187.68759933422865
2.06,2.07,188.7748625363387
2.07,2.08,188.7748625363387
2.08,2.09,190.9683207820833
2.09,2.1,193.1872657849691
2.1,2.11,196.56411970905023
2.11,2.12,197.70280407057922
2.12,2.13,198.8480847635095
2.13,2.14,200.0
2.14,2.15,201.15858821357068
2.15,2.16,200.0
2.16,2.17,198.8480847635095
2.17,2.18,197.70280407057922
2.18,2.19,196.56411970905023
2.19,2.2,194.30638823072118
2.2,2.21,194.30638823072118
2.21,2.22,193.1872657849691
2.22,2.23,192.07458901020084
2.23,2.24,189.86842419010387
