Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,183.40080864093423
0.07,0.08,182.34449771164336
0.08,0.09,175.11872228117704
0.09,0.1,177.1535038204721
0.1,0.11,177.1535038204721
0.11,0.12,181.29427068562208
0.12,0.13,184.46323871718783
0.13,0.14,182.34449771164336
0.14,0.15,180.25009252216606
0.15,0.16,178.17974362806785
0.16,0.17,176.1331747192297
0.17,0.18,175.11872228117704
0.18,0.19,177.1535038204721
0.19,0.2,180.25009252216606
0.2,0.21,180.25009252216606
0.21,0.22,181.29427068562208
0.22,0.23,185.5318233882619
0.23,0.24,192.07458901020084
0.24,0.25,195.43199368684918
0.25,0.26,200.0
0.26,0.27,204.67477839935495
0.27,0.28,210.67220719096719
0.28,0.29,218.10154653305153
0.29,0.3,225.79288096122622
0.3,0.31,229.73967099940702
0.31,0.32,237.8414230005442
0.32,0.33,246.2288826689832
0.33,0.34,253.44393965741244
0.34,0.35,262.38162088748976
0.35,0.36,273.20805135087915
0.36,0.37,279.5939868358039
0.37,0.38,281.2136583244699
0.38,0.39,279.5939868358039
0.39,0.4,276.38257599355524
0.4,0.41,273.20805135087915
0.41,0.42,266.96797083400685
0.42,0.43,253.44393965741244
0.43,0.44,0.0
0.44,0.45,0.0
0.45,0.46,0.0
0.46,0.47,0.0
0.47,0.48,0.0
0.48,0.49,0.0
0.49,0.5,0.0
0.5,0.51,0.0
0.51,0.52,209.4588245641254
0.52,0.53,202.3238880603845
0.53,0.54,198.8480847635095
0.54,0.55,194.30638823072118
0.55,0.56,190.9683207820833
0.56,0.57,187.68759933422865
0.57,0.58,182.34449771164336
0.58,0.59,176.1331747192297
0.59,0.6,174.11011265922482
0.6,0.61,172.11028744886602
0.61,0.62,170.13343219017113
0.62,0.63,168.1792830507429
0.63,0.64,164.33806291715806
0.64,0.65,161.5148333600084
0.65,0.66,165.29006363084235
0.66,0.67,168.1792830507429
0.67,0.68,171.11900513652043
0.68,0.69,172.11028744886602
0.69,0.7,172.11028744886602
0.7,0.71,172.11028744886602
0.71,0.72,171.11900513652043
0.72,0.73,171.11900513652043
0.73,0.74,170.13343219017113
0.74,0.75,170.13343219017113
0.75,0.76,171.11900513652043
0.76,0.77,170.13343219017113
0.77,0.78,172.11028744886602
0.78,0.79,162.4504792712471
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,0.0
0.86,0.87,0.0
0.87,0.88,0.0
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,162.4504792712471
0.92,0.93,165.29006363084235
0.93,0.94,166.24757922855756
0.94,0.95,165.29006363084235
0.95,0.96,165.29006363084235
0.96,0.97,164.33806291715806
0.97,0.98,160.5845763726753
0.98,0.99,152.4497023255762
0.99,1.0,147.25670581005258
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,0.0
1.03,1.04,0.0
1.04,1.05,175.11872228117704
1.05,1.06,176.1331747192297
1.06,1.07,176.1331747192297
1.07,1.08,175.11872228117704
1.08,1.09,175.11872228117704
1.09,1.1,176.1331747192297
1.1,1.11,177.1535038204721
1.11,1.12,178.17974362806785
1.12,1.13,180.25009252216606
1.13,1.14,181.29427068562208
1.14,1.15,183.40080864093423
1.15,1.16,182.34449771164336
1.16,1.17,177.1535038204721
1.17,1.18,177.1535038204721
1.18,1.19,178.17974362806785
1.19,1.2,178.17974362806785
1.2,1.21,178.17974362806785
1.21,1.22,178.17974362806785
1.22,1.23,178.17974362806785
1.23,1.24,178.17974362806785
1.24,1.25,179.21192838239048
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,173.1073122012286
1.28,1.29,166.24757922855756
1.29,1.3,163.39154532410998
1.3,1.31,161.5148333600084
1.31,1.32,158.74010519681997
1.32,1.33,157.8258294677283
1.33,1.34,155.11447618337345
1.34,1.35,151.57165665103983
1.35,1.36,147.25670581005258
1.36,1.37,136.60402567543954
1.37,1.38,129.68395546510095
1.38,1.39,0.0
1.39,1.4,0.0
1.4,1.41,163.39154532410998
1.41,1.42,165.29006363084235
1.42,1.43,164.33806291715806
1.43,1.44,165.29006363084235
1.44,1.45,166.24757922855756
1.45,1.46,166.24757922855756
1.46,1.47,167.2106416577019
1.47,1.48,168.1792830507429
1.48,1.49,170.13343219017113
1.49,1.5,170.13343219017113
1.5,1.51,170.13343219017113
1.51,1.52,170.13343219017113
1.52,1.53,169.1535357262897
1.53,1.54,169.1535357262897
1.54,1.55,169.1535357262897
1.55,1.56,171.11900513652043
1.56,1.57,169.1535357262897
1.57,1.58,168.1792830507429
1.58,1.59,165.29006363084235
1.59,1.6,161.5148333600084
1.6,1.61,159.65967727133
1.61,1.62,157.8258294677283
1.62,1.63,157.8258294677283
1.63,1.64,158.74010519681997
1.64,1.65,157.8258294677283
1.65,1.66,156.0130452026747
1.66,1.67,154.22108254079407
1.67,1.68,150.69866814745757
1.68,1.69,147.25670581005258
1.69,1.7,143.893358001082
1.7,1.71,137.3953647458089
1.71,1.72,141.4213562373095
1.72,1.73,148.96774631227024
1.73,1.74,150.69866814745757
1.74,1.75,148.96774631227024
1.75,1.76,148.1097552286564
1.76,1.77,146.40856959456255
1.77,1.78,144.7269237440378
1.78,1.79,143.06459324352582
1.79,1.8,0.0
1.8,1.81,0.0
1.81,1.82,0.0
1.82,1.83,0.0
1.83,1.84,138.99182198423372
1.84,1.85,143.893358001082
1.85,1.86,144.7269237440378
1.86,1.87,144.7269237440378
1.87,1.88,143.893358001082
1.88,1.89,143.06459324352582
1.89,1.9,142.24060181972814
1.9,1.91,141.4213562373095
1.91,1.92,140.60682916223496
1.92,1.93,140.60682916223496
1.93,1.94,139.79699341790194
1.94,1.95,0.0
1.95,1.96,0.0
1.96,1.97,0.0
1.97,1.98,0.0
1.98,1.99,0.0
1.99,2.0,142.24060181972814
2.0,2.01,142.24060181972814
2.01,2.02,143.06459324352582
2.02,2.03,143.06459324352582
2.03,2.04,143.06459324352582
2.04,2.05,143.06459324352582
2.05,2.06,143.06459324352582
2.06,2.07,0.0
2.07,2.08,0.0
2.08,2.09,0.0
2.09,2.1,161.5148333600084
2.1,2.11,161.5148333600084
2.11,2.12,161.5148333600084
2.12,2.13,161.5148333600084
2.13,2.14,160.5845763726753
2.14,2.15,161.5148333600084
2.15,2.16,165.29006363084235
2.16,2.17,175.11872228117704
2.17,2.18,179.21192838239048
2.18,2.19,183.40080864093423
2.19,2.2,184.46323871718783
2.2,2.21,183.40080864093423
2.21,2.22,183.40080864093423
2.22,2.23,183.40080864093423
2.23,2.24,182.34449771164336
2.24,2.25,180.25009252216606
2.25,2.26,177.1535038204721
2.26,2.27,176.1331747192297
2.27,2.28,176.1331747192297
