Start_Time,End_Time,F0_Hz
1.75,1.76,0.0
0.73,0.74,90.12504626108301
1.2,1.21,82.16903145857903
1.55,1.56,111.59971426302234
0.9,0.91,109.68249796946259
1.15,1.16,87.05505632961241
0.93,0.94,105.33610359548358
1.7,1.71,0.0
1.17,1.18,85.55950256826023
0.74,0.75,91.17224885582168
0.06,0.07,78.91291473386416
1.52,1.53,115.5352696872273
1.33,1.34,0.0
0.89,0.9,110.95694720678449
1.6,1.61,105.33610359548358
1.13,1.14,0.0
0.4,0.41,101.16194403019225
0.13,0.14,74.48387315613512
1.85,1.86,50.0
1.73,1.74,0.0
1.9,1.91,50.0
0.63,0.64,84.57676786314485
0.26,0.27,114.86983549970348
1.93,1.94,0.0
1.5,1.51,116.87772485612456
1.31,1.32,0.0
0.71,0.72,0.0
0.59,0.6,86.55365610061429
0.78,0.79,100.0
1.14,1.15,88.06658735961484
0.83,0.84,109.68249796946259
1.83,1.84,50.0
0.56,0.57,86.05514372443301
0.27,0.28,115.5352696872273
1.87,1.88,50.0
0.03,0.04,79.829838635665
2.01,2.02,50.0
1.29,1.3,0.0
1.88,1.89,50.0
0.49,0.5,76.66641723348003
0.29,0.3,115.5352696872273
1.38,1.39,0.0
0.5,0.51,74.48387315613512
0.69,0.7,72.78265914210937
1.36,1.37,0.0
0.94,0.95,104.12621525348065
1.49,1.5,117.55479062836088
0.3,0.31,115.5352696872273
1.67,1.68,93.84379966711431
0.53,0.54,0.0
1.86,1.87,50.0
1.64,1.65,97.71599684342459
1.3,1.31,0.0
0.97,0.98,88.57675191023606
1.48,1.49,117.55479062836088
0.92,0.93,107.17734625362931
0.52,0.53,71.946679000541
1.27,1.28,0.0
0.0,0.01,83.12378961427878
0.95,0.96,102.93022366434921
1.19,1.2,84.08964152537145
0.85,0.86,110.95694720678449
0.37,0.38,105.33610359548358
0.91,0.92,108.42268703014184
1.12,1.13,0.0
1.98,1.99,50.0
0.64,0.65,83.60532082885095
0.57,0.58,86.55365610061429
1.0,1.01,82.16903145857903
0.96,0.97,93.30329915368074
1.21,1.22,78.91291473386416
0.28,0.29,116.20455869578394
0.22,0.23,109.05077326652577
1.01,1.02,80.29228818633764
0.45,0.46,94.38743126816934
0.65,0.66,82.16903145857903
1.74,1.75,0.0
0.86,0.87,111.59971426302234
1.09,1.1,0.0
0.47,0.48,82.64503181542116
1.66,1.67,95.48416039104166
0.7,0.71,74.0548776143282
1.16,1.17,86.05514372443301
0.25,0.26,114.20823393107715
1.95,1.96,50.0
1.96,1.97,50.0
0.46,0.47,88.06658735961484
0.87,0.88,111.59971426302234
1.45,1.46,117.55479062836088
1.61,1.62,104.72941228206267
1.02,1.03,77.11054127039704
0.75,0.76,93.84379966711431
1.69,1.7,0.0
0.01,0.02,81.22523963562355
0.16,0.17,74.91535384383408
0.43,0.44,97.71599684342459
1.04,1.05,74.0548776143282
1.77,1.78,0.0
1.34,1.35,0.0
1.03,1.04,75.7858283255199
1.47,1.48,118.23577860271482
