Start_Time,End_Time,F0_Hz
1.21,1.22,173.1073122012286
1.63,1.64,180.25009252216606
2.26,2.27,188.7748625363387
2.67,2.68,176.1331747192297
3.21,3.22,169.1535357262897
3.55,3.56,0.0
0.05,0.06,177.1535038204721
0.73,0.74,174.11011265922482
0.14,0.15,179.21192838239048
1.9,1.91,208.25243050696125
0.1,0.11,179.21192838239048
2.0,2.01,205.86044732869837
3.63,3.64,0.0
2.19,2.2,186.60659830736148
0.83,0.84,179.21192838239048
3.02,3.03,173.1073122012286
1.69,1.7,0.0
3.04,3.05,173.1073122012286
0.56,0.57,202.3238880603845
1.97,1.98,204.67477839935495
3.69,3.7,144.7269237440378
2.9,2.91,162.4504792712471
3.09,3.1,176.1331747192297
0.57,0.58,196.56411970905023
3.53,3.54,0.0
0.12,0.13,177.1535038204721
3.32,3.33,165.29006363084235
1.0,1.01,0.0
3.91,3.92,164.33806291715806
3.47,3.48,159.65967727133
0.31,0.32,244.81070866093103
3.77,3.78,146.40856959456255
3.88,3.89,159.65967727133
1.68,1.69,196.56411970905023
1.78,1.79,225.79288096122622
0.48,0.49,220.63576443274928
3.43,3.44,162.4504792712471
0.26,0.27,0.0
1.11,1.12,170.13343219017113
3.36,3.37,165.29006363084235
0.98,0.99,0.0
1.04,1.05,180.25009252216606
2.41,2.42,182.34449771164336
0.23,0.24,0.0
1.92,1.93,201.15858821357068
3.87,3.88,158.74010519681997
0.67,0.68,184.46323871718783
3.14,3.15,174.11011265922482
0.9,0.91,0.0
3.0,3.01,175.11872228117704
2.14,2.15,204.67477839935495
1.29,1.3,0.0
3.84,3.85,158.74010519681997
2.21,2.22,185.5318233882619
3.44,3.45,161.5148333600084
2.74,2.75,182.34449771164336
1.62,1.63,176.1331747192297
0.13,0.14,177.1535038204721
0.86,0.87,172.11028744886602
0.97,0.98,0.0
1.07,1.08,173.1073122012286
2.89,2.9,162.4504792712471
0.65,0.66,184.46323871718783
0.06,0.07,179.21192838239048
0.69,0.7,182.34449771164336
1.18,1.19,174.11011265922482
0.15,0.16,179.21192838239048
1.86,1.87,211.89261887185907
1.08,1.09,172.11028744886602
1.52,1.53,0.0
3.27,3.28,167.2106416577019
2.15,2.16,195.43199368684918
1.57,1.58,188.7748625363387
3.48,3.49,158.74010519681997
0.41,0.42,239.21922434748075
3.52,3.53,165.29006363084235
0.11,0.12,178.17974362806785
2.79,2.8,175.11872228117704
1.55,1.56,0.0
2.1,2.11,173.1073122012286
2.33,2.34,185.5318233882619
0.61,0.62,178.17974362806785
3.82,3.83,156.91681957935012
3.15,3.16,174.11011265922482
2.84,2.85,177.1535038204721
0.34,0.35,246.2288826689832
2.63,2.64,177.1535038204721
0.4,0.41,240.60500721642333
0.07,0.08,179.21192838239048
2.13,2.14,194.30638823072118
2.23,2.24,179.21192838239048
0.22,0.23,180.25009252216606
1.85,1.86,211.89261887185907
3.49,3.5,157.8258294677283
1.46,1.47,0.0
2.6,2.61,182.34449771164336
2.64,2.65,174.11011265922482
3.08,3.09,176.1331747192297
1.13,1.14,172.11028744886602
1.53,1.54,0.0
0.85,0.86,173.1073122012286
2.72,2.73,178.17974362806785
0.44,0.45,232.40911739156792
0.17,0.18,178.17974362806785
2.7,2.71,178.17974362806785
1.79,1.8,220.63576443274928
2.38,2.39,180.25009252216606
3.24,3.25,168.1792830507429
0.66,0.67,184.46323871718783
1.35,1.36,220.63576443274928
1.96,1.97,200.0
1.12,1.13,171.11900513652043
2.59,2.6,183.40080864093423
1.56,1.57,200.0
2.65,2.66,172.11028744886602
0.76,0.77,0.0
3.81,3.82,153.33283446696007
3.37,3.38,165.29006363084235
1.58,1.59,186.60659830736148
1.77,1.78,241.99881784385852
0.84,0.85,176.1331747192297
1.01,1.02,0.0
2.85,2.86,175.11872228117704
1.03,1.04,182.34449771164336
3.66,3.67,0.0
0.32,0.33,244.81070866093103
1.31,1.32,213.12010032569688
3.42,3.43,162.4504792712471
1.71,1.72,0.0
1.2,1.21,174.11011265922482
0.74,0.75,167.2106416577019
2.55,2.56,0.0
2.57,2.58,188.7748625363387
1.7,1.71,0.0
1.22,1.23,171.11900513652043
2.91,2.92,171.11900513652043
1.05,1.06,178.17974362806785
2.01,2.02,204.67477839935495
3.17,3.18,173.1073122012286
0.08,0.09,179.21192838239048
1.06,1.07,175.11872228117704
2.05,2.06,196.56411970905023
0.5,0.51,215.59643660857103
2.22,2.23,183.40080864093423
2.43,2.44,181.29427068562208
2.52,2.53,0.0
2.49,2.5,174.11011265922482
0.75,0.76,0.0
3.05,3.06,174.11011265922482
0.3,0.31,244.81070866093103
0.53,0.54,210.67220719096719
1.47,1.48,0.0
2.48,2.49,173.1073122012286
3.83,3.84,157.8258294677283
0.16,0.17,178.17974362806785
0.94,0.95,0.0
1.74,1.75,0.0
3.22,3.23,169.1535357262897
2.98,2.99,176.1331747192297
1.09,1.1,171.11900513652043
3.61,3.62,0.0
3.46,3.47,160.5845763726753
2.11,2.12,173.1073122012286
0.25,0.26,0.0
2.46,2.47,176.1331747192297
1.44,1.45,220.63576443274928
3.23,3.24,168.1792830507429
3.57,3.58,0.0
2.93,2.94,184.46323871718783
2.45,2.46,178.17974362806785
1.88,1.89,213.12010032569688
3.11,3.12,175.11872228117704
3.73,3.74,150.69866814745757
3.72,3.73,146.40856959456255
1.19,1.2,174.11011265922482
3.74,3.75,150.69866814745757
0.03,0.04,176.1331747192297
3.06,3.07,175.11872228117704
1.5,1.51,0.0
1.65,1.66,190.9683207820833
0.7,0.71,181.29427068562208
3.38,3.39,165.29006363084235
2.16,2.17,192.07458901020084
3.29,3.3,167.2106416577019
0.36,0.37,247.65527207548806
2.94,2.95,183.40080864093423
2.09,2.1,173.1073122012286
3.33,3.34,165.29006363084235
2.69,2.7,178.17974362806785
2.87,2.88,169.1535357262897
2.88,2.89,166.24757922855756
2.76,2.77,176.1331747192297
0.35,0.36,247.65527207548806
2.47,2.48,174.11011265922482
2.27,2.28,211.89261887185907
0.91,0.92,0.0
