Start_Time,End_Time,F0_Hz
0.0,0.01,132.71517423385683
0.01,0.02,125.99210498948732
0.02,0.03,125.26644386241279
0.03,0.04,125.99210498948732
0.04,0.05,123.82763603774404
0.05,0.06,123.11444133449163
0.06,0.07,120.99940892192926
0.07,0.08,117.55479062836088
0.08,0.09,118.23577860271482
0.09,0.1,120.30250360821167
0.1,0.11,122.40535433046553
0.11,0.12,124.5449622358823
0.12,0.13,127.45606273192622
0.13,0.14,128.9370308439579
0.14,0.15,130.43520697655643
0.15,0.16,130.43520697655643
0.16,0.17,130.43520697655643
0.17,0.18,130.43520697655643
0.18,0.19,128.1944081920729
0.19,0.2,126.72196982870621
0.2,0.21,125.26644386241279
0.21,0.22,123.11444133449163
0.22,0.23,123.11444133449163
0.23,0.24,121.7003513670591
0.24,0.25,124.5449622358823
0.25,0.26,131.19081044374488
0.26,0.27,145.56531828421873
0.27,0.28,155.11447618337345
0.28,0.29,159.65967727133
0.29,0.3,160.5845763726753
0.3,0.31,161.5148333600084
0.31,0.32,163.39154532410998
0.32,0.33,165.29006363084235
0.33,0.34,168.1792830507429
0.34,0.35,172.11028744886602
0.35,0.36,176.1331747192297
0.36,0.37,177.1535038204721
0.37,0.38,179.21192838239048
0.38,0.39,180.25009252216606
0.39,0.4,182.34449771164336
0.4,0.41,182.34449771164336
0.41,0.42,182.34449771164336
0.42,0.43,180.25009252216606
0.43,0.44,179.21192838239048
0.44,0.45,178.17974362806785
0.45,0.46,178.17974362806785
0.46,0.47,176.1331747192297
0.47,0.48,174.11011265922482
0.48,0.49,172.11028744886602
0.49,0.5,170.13343219017113
0.5,0.51,166.24757922855756
0.51,0.52,167.2106416577019
0.52,0.53,171.11900513652043
0.53,0.54,172.11028744886602
0.54,0.55,171.11900513652043
0.55,0.56,170.13343219017113
0.56,0.57,169.1535357262897
0.57,0.58,168.1792830507429
0.58,0.59,167.2106416577019
0.59,0.6,166.24757922855756
0.6,0.61,164.33806291715806
0.61,0.62,162.4504792712471
0.62,0.63,160.5845763726753
0.63,0.64,161.5148333600084
0.64,0.65,161.5148333600084
0.65,0.66,160.5845763726753
0.66,0.67,159.65967727133
0.67,0.68,158.74010519681997
