Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,0.0
0.03,0.04,0.0
0.04,0.05,0.0
0.05,0.06,0.0
0.06,0.07,0.0
0.07,0.08,0.0
0.08,0.09,0.0
0.09,0.1,0.0
0.1,0.11,0.0
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,0.0
0.15,0.16,0.0
0.16,0.17,0.0
0.17,0.18,0.0
0.18,0.19,0.0
0.19,0.2,0.0
0.2,0.21,0.0
0.21,0.22,0.0
0.22,0.23,0.0
0.23,0.24,0.0
0.24,0.25,0.0
0.25,0.26,0.0
0.26,0.27,0.0
0.27,0.28,0.0
0.28,0.29,0.0
0.29,0.3,0.0
0.3,0.31,0.0
0.31,0.32,0.0
0.32,0.33,176.1331747192297
0.33,0.34,177.1535038204721
0.34,0.35,178.17974362806785
0.35,0.36,180.25009252216606
0.36,0.37,183.40080864093423
0.37,0.38,186.60659830736148
0.38,0.39,189.86842419010387
0.39,0.4,192.07458901020084
0.4,0.41,195.43199368684918
0.41,0.42,198.8480847635095
0.42,0.43,198.8480847635095
0.43,0.44,198.8480847635095
0.44,0.45,197.70280407057922
0.45,0.46,195.43199368684918
0.46,0.47,194.30638823072118
0.47,0.48,193.1872657849691
0.48,0.49,193.1872657849691
0.49,0.5,193.1872657849691
0.5,0.51,193.1872657849691
0.51,0.52,190.9683207820833
0.52,0.53,186.60659830736148
0.53,0.54,183.40080864093423
0.54,0.55,187.68759933422865
0.55,0.56,179.21192838239048
0.56,0.57,177.1535038204721
0.57,0.58,176.1331747192297
0.58,0.59,174.11011265922482
0.59,0.6,172.11028744886602
0.6,0.61,171.11900513652043
0.61,0.62,169.1535357262897
0.62,0.63,166.24757922855756
0.63,0.64,165.29006363084235
0.64,0.65,163.39154532410998
0.65,0.66,163.39154532410998
0.66,0.67,0.0
0.67,0.68,0.0
0.68,0.69,178.17974362806785
0.69,0.7,174.11011265922482
0.7,0.71,174.11011265922482
0.71,0.72,171.11900513652043
0.72,0.73,166.24757922855756
0.73,0.74,168.1792830507429
0.74,0.75,171.11900513652043
0.75,0.76,168.1792830507429
0.76,0.77,165.29006363084235
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,169.1535357262897
0.84,0.85,172.11028744886602
0.85,0.86,172.11028744886602
0.86,0.87,173.1073122012286
0.87,0.88,174.11011265922482
0.88,0.89,174.11011265922482
0.89,0.9,174.11011265922482
0.9,0.91,175.11872228117704
0.91,0.92,175.11872228117704
0.92,0.93,175.11872228117704
0.93,0.94,175.11872228117704
0.94,0.95,172.11028744886602
0.95,0.96,0.0
0.96,0.97,0.0
0.97,0.98,0.0
0.98,0.99,0.0
0.99,1.0,0.0
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,158.74010519681997
1.03,1.04,158.74010519681997
1.04,1.05,159.65967727133
1.05,1.06,159.65967727133
1.06,1.07,159.65967727133
1.07,1.08,158.74010519681997
1.08,1.09,159.65967727133
1.09,1.1,153.33283446696007
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,0.0
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,169.1535357262897
1.24,1.25,169.1535357262897
1.25,1.26,168.1792830507429
1.26,1.27,168.1792830507429
1.27,1.28,165.29006363084235
1.28,1.29,164.33806291715806
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
1.33,1.34,0.0
1.34,1.35,0.0
1.35,1.36,0.0
1.36,1.37,0.0
1.37,1.38,171.11900513652043
1.38,1.39,165.29006363084235
1.39,1.4,165.29006363084235
1.4,1.41,165.29006363084235
1.41,1.42,165.29006363084235
1.42,1.43,166.24757922855756
1.43,1.44,169.1535357262897
1.44,1.45,165.29006363084235
1.45,1.46,0.0
1.46,1.47,0.0
1.47,1.48,0.0
1.48,1.49,0.0
1.49,1.5,0.0
1.5,1.51,0.0
1.51,1.52,0.0
1.52,1.53,0.0
1.53,1.54,0.0
1.54,1.55,0.0
1.55,1.56,0.0
1.56,1.57,0.0
1.57,1.58,0.0
1.58,1.59,0.0
1.59,1.6,0.0
1.6,1.61,0.0
1.61,1.62,0.0
1.62,1.63,0.0
1.63,1.64,147.25670581005258
1.64,1.65,152.4497023255762
1.65,1.66,157.8258294677283
1.66,1.67,157.8258294677283
1.67,1.68,158.74010519681997
1.68,1.69,159.65967727133
1.69,1.7,159.65967727133
1.7,1.71,160.5845763726753
1.71,1.72,153.33283446696007
1.72,1.73,155.11447618337345
1.73,1.74,157.8258294677283
1.74,1.75,162.4504792712471
1.75,1.76,161.5148333600084
1.76,1.77,166.24757922855756
1.77,1.78,165.29006363084235
1.78,1.79,0.0
1.79,1.8,0.0
1.8,1.81,0.0
1.81,1.82,0.0
1.82,1.83,0.0
1.83,1.84,172.11028744886602
1.84,1.85,173.1073122012286
1.85,1.86,174.11011265922482
1.86,1.87,175.11872228117704
1.87,1.88,176.1331747192297
1.88,1.89,177.1535038204721
1.89,1.9,177.1535038204721
1.9,1.91,178.17974362806785
1.91,1.92,178.17974362806785
1.92,1.93,178.17974362806785
1.93,1.94,179.21192838239048
1.94,1.95,183.40080864093423
1.95,1.96,184.46323871718783
1.96,1.97,185.5318233882619
1.97,1.98,184.46323871718783
1.98,1.99,184.46323871718783
1.99,2.0,184.46323871718783
2.0,2.01,184.46323871718783
2.01,2.02,186.60659830736148
2.02,2.03,186.60659830736148
2.03,2.04,185.5318233882619
2.04,2.05,185.5318233882619
2.05,2.06,185.5318233882619
2.06,2.07,184.46323871718783
2.07,2.08,183.40080864093423
2.08,2.09,183.40080864093423
2.09,2.1,181.29427068562208
2.1,2.11,179.21192838239048
2.11,2.12,178.17974362806785
2.12,2.13,176.1331747192297
2.13,2.14,174.11011265922482
2.14,2.15,173.1073122012286
2.15,2.16,173.1073122012286
2.16,2.17,173.1073122012286
2.17,2.18,172.11028744886602
2.18,2.19,172.11028744886602
2.19,2.2,171.11900513652043
2.2,2.21,168.1792830507429
2.21,2.22,177.1535038204721
2.22,2.23,176.1331747192297
2.23,2.24,179.21192838239048
2.24,2.25,0.0
2.25,2.26,0.0
2.26,2.27,0.0
2.27,2.28,0.0
2.28,2.29,0.0
2.29,2.3,0.0
2.3,2.31,0.0
2.31,2.32,0.0
2.32,2.33,0.0
2.33,2.34,0.0
2.34,2.35,0.0
