filepath,start_time_sec,end_time_sec
merged_IT/67_PF54_1.wav,1.35,1.93
merged_IT/67_PF54_1.wav,9.64,10.51
merged_IT/67_PF54_1.wav,15.06,15.28
merged_IT/67_PF54_1.wav,18.83,19.38
merged_IT/67_PF54_1.wav,24.77,26.06
merged_IT/67_PF54_1.wav,33.6,35.88
merged_IT/67_PF54_1.wav,37.69,38.67
merged_IT/67_PF54_1.wav,41.9,42.21
merged_IT/67_PF54_1.wav,43.19,43.39
merged_IT/67_PF54_1.wav,45.07,45.38
merged_IT/67_PF54_1.wav,47.82,49.13
merged_IT/67_PF54_1.wav,53.12,53.34
merged_IT/67_PF54_1.wav,57.59,59.03
merged_IT/67_PF54_1.wav,63.5,65.55
merged_IT/67_PF54_1.wav,71.69,73.52
merged_IT/67_PF54_1.wav,79.88,80.24
merged_IT/67_PF54_1.wav,83.72,84.95
merged_IT/67_PF54_1.wav,91.83,93.41
merged_IT/67_PF54_1.wav,100.13,100.52
merged_IT/67_PF54_1.wav,107.92,109.13
merged_IT/67_PF54_1.wav,114.57,116.57
merged_IT/67_PF54_1.wav,117.99,118.19
merged_IT/67_PF54_1.wav,123.0,124.59
merged_IT/67_PF54_1.wav,128.4,128.91
merged_IT/67_PF54_1.wav,135.78,137.09
merged_IT/67_PF54_1.wav,138.26,138.7
merged_IT/67_PF54_1.wav,139.5,140.08
merged_IT/67_PF54_1.wav,140.59,141.67
merged_IT/67_PF54_1.wav,142.93,143.67
merged_IT/67_PF54_1.wav,144.65,145.74
merged_IT/70_PF51_1.wav,2.6,3.79
merged_IT/70_PF51_1.wav,5.89,6.32
merged_IT/70_PF51_1.wav,11.1,11.88
merged_IT/70_PF51_1.wav,16.7,17.19
merged_IT/70_PF51_1.wav,17.91,19.62
merged_IT/70_PF51_1.wav,21.74,22.15
merged_IT/70_PF51_1.wav,24.12,25.65
merged_IT/70_PF51_1.wav,29.51,29.96
merged_IT/70_PF51_1.wav,35.74,36.41
merged_IT/70_PF51_1.wav,37.9,38.48
merged_IT/70_PF51_1.wav,42.33,42.77
merged_IT/70_PF51_1.wav,44.19,44.62
merged_IT/70_PF51_1.wav,45.6,47.64
merged_IT/70_PF51_1.wav,51.5,52.15
merged_IT/70_PF51_1.wav,53.63,54.04
merged_IT/70_PF51_1.wav,55.26,55.69
merged_IT/70_PF51_1.wav,57.34,58.14
merged_IT/70_PF51_1.wav,62.65,63.31
merged_IT/70_PF51_1.wav,64.88,65.33
merged_IT/70_PF51_1.wav,66.25,66.69
merged_IT/30_CF62_3.wav,2.49,2.74
merged_IT/30_CF62_3.wav,3.09,3.49
merged_IT/30_CF62_3.wav,6.89,7.4
merged_IT/30_CF62_3.wav,10.54,10.95
merged_IT/30_CF62_3.wav,12.69,12.92
merged_IT/30_CF62_3.wav,14.41,14.74
merged_IT/30_CF62_3.wav,18.05,18.38
merged_IT/30_CF62_3.wav,19.97,20.39
merged_IT/30_CF62_3.wav,21.45,21.7
merged_IT/30_CF62_3.wav,22.1,22.43
merged_IT/30_CF62_3.wav,25.93,26.36
merged_IT/30_CF62_3.wav,28.63,29.14
merged_IT/30_CF62_3.wav,30.62,30.93
merged_IT/30_CF62_3.wav,32.95,33.16
merged_IT/30_CF62_3.wav,34.55,34.86
merged_IT/30_CF62_3.wav,35.49,35.93
merged_IT/30_CF62_3.wav,39.24,39.57
merged_IT/30_CF62_3.wav,42.38,42.58
merged_IT/30_CF62_3.wav,45.54,46.04
merged_IT/30_CF62_3.wav,49.6,49.82
merged_IT/30_CF62_3.wav,50.48,50.69
merged_IT/30_CF62_3.wav,52.99,53.29
merged_IT/30_CF62_3.wav,55.81,56.05
merged_IT/30_CF62_3.wav,57.69,57.99
merged_IT/30_CF62_3.wav,59.82,60.18
merged_IT/30_CF62_3.wav,62.94,63.82
merged_IT/30_CF62_3.wav,67.18,67.39
merged_IT/30_CF62_3.wav,70.78,71.02
merged_IT/30_CF62_3.wav,71.78,72.07
merged_IT/30_CF62_3.wav,73.48,73.74
merged_IT/30_CF62_3.wav,75.17,75.43
merged_IT/30_CF62_3.wav,76.38,76.67
merged_IT/30_CF62_3.wav,78.68,78.97
merged_IT/30_CF62_3.wav,80.09,80.39
merged_IT/30_CF62_3.wav,82.49,83.14
merged_IT/30_CF62_3.wav,86.57,87.02
merged_IT/30_CF62_3.wav,89.19,89.57
merged_IT/30_CF62_3.wav,93.32,93.74
merged_IT/30_CF62_3.wav,97.95,98.23
merged_IT/30_CF62_3.wav,99.82,100.02
merged_IT/30_CF62_3.wav,103.21,103.42
merged_IT/30_CF62_3.wav,106.16,106.37
merged_IT/30_CF62_3.wav,109.64,109.94
merged_IT/30_CF62_3.wav,111.26,111.48
merged_IT/30_CF62_3.wav,111.92,112.18
merged_IT/30_CF62_3.wav,113.15,113.5
merged_IT/30_CF62_3.wav,114.54,114.81
merged_IT/30_CF62_3.wav,115.63,116.54
merged_IT/30_CF62_3.wav,117.29,117.62
merged_IT/30_CF62_3.wav,119.76,120.46
merged_IT/30_CF62_3.wav,125.24,125.56
merged_IT/30_CF62_3.wav,128.83,129.19
merged_IT/30_CF62_3.wav,130.01,130.26
merged_IT/30_CF62_3.wav,135.65,135.94
merged_IT/30_CF62_3.wav,137.93,138.38
merged_IT/30_CF62_3.wav,141.83,142.26
merged_IT/30_CF62_3.wav,146.21,146.47
merged_IT/30_CF62_3.wav,149.83,150.23
merged_IT/30_CF62_3.wav,151.61,152.16
merged_IT/30_CF62_3.wav,154.87,155.22
merged_IT/30_CF62_3.wav,156.74,157.14
merged_IT/30_CF62_3.wav,161.02,161.25
merged_IT/30_CF62_3.wav,163.17,163.85
merged_IT/30_CF62_3.wav,168.07,168.31
merged_IT/30_CF62_3.wav,170.2,170.4
merged_IT/30_CF62_3.wav,171.42,171.63
merged_IT/30_CF62_3.wav,173.73,174.0
merged_IT/30_CF62_3.wav,175.8,176.25
merged_IT/30_CF62_3.wav,180.46,180.75
merged_IT/30_CF62_3.wav,182.55,182.8
merged_IT/30_CF62_3.wav,187.22,187.42
merged_IT/30_CF62_3.wav,190.66,190.94
merged_IT/30_CF62_3.wav,191.34,191.83
merged_IT/30_CF62_3.wav,192.82,193.14
merged_IT/30_CF62_3.wav,197.85,198.33
merged_IT/30_CF62_3.wav,200.83,201.26
merged_IT/30_CF62_3.wav,203.36,204.32
merged_IT/01_CF56_1.wav,0.6,0.93
merged_IT/01_CF56_1.wav,3.95,5.35
merged_IT/01_CF56_1.wav,10.72,11.19
merged_IT/01_CF56_1.wav,13.21,13.96
merged_IT/01_CF56_1.wav,16.7,17.25
merged_IT/01_CF56_1.wav,19.58,21.11
merged_IT/01_CF56_1.wav,22.88,23.42
merged_IT/01_CF56_1.wav,24.52,24.94
merged_IT/01_CF56_1.wav,26.07,27.36
merged_IT/01_CF56_1.wav,29.85,30.31
merged_IT/01_CF56_1.wav,33.21,33.63
merged_IT/01_CF56_1.wav,35.19,35.6
merged_IT/01_CF56_1.wav,39.17,39.72
merged_IT/01_CF56_1.wav,41.1,41.94
merged_IT/01_CF56_1.wav,46.06,46.31
merged_IT/01_CF56_1.wav,48.14,49.78
merged_IT/01_CF56_1.wav,51.6,51.92
merged_IT/01_CF56_1.wav,52.69,53.65
merged_IT/01_CF56_1.wav,56.9,57.78
merged_IT/01_CF56_1.wav,58.79,59.7
merged_IT/01_CF56_1.wav,62.4,62.91
merged_IT/01_CF56_1.wav,64.26,65.17
merged_IT/01_CF56_1.wav,69.16,69.7
merged_IT/01_CF56_1.wav,69.95,70.39
merged_IT/01_CF56_1.wav,74.94,75.53
merged_IT/01_CF56_1.wav,77.23,77.92
merged_IT/01_CF56_1.wav,80.8,82.49
merged_IT/01_CF56_1.wav,83.93,84.77
merged_IT/01_CF56_1.wav,87.52,88.42
merged_IT/01_CF56_1.wav,90.29,91.94
merged_IT/01_CF56_1.wav,92.54,93.24
merged_IT/01_CF56_1.wav,96.0,96.59
merged_IT/01_CF56_1.wav,97.77,98.8
merged_IT/01_CF56_1.wav,99.86,101.13
merged_IT/01_CF56_1.wav,103.25,104.14
merged_IT/01_CF56_1.wav,105.52,106.2
merged_IT/01_CF56_1.wav,107.67,108.72
merged_IT/01_CF56_1.wav,110.84,111.09
merged_IT/01_CF56_1.wav,113.57,115.13
merged_IT/01_CF56_1.wav,119.28,120.87
merged_IT/01_CF56_1.wav,123.29,123.72
merged_IT/01_CF56_1.wav,125.41,125.81
merged_IT/01_CF56_1.wav,126.79,127.78
merged_IT/01_CF56_1.wav,132.58,133.11
merged_IT/01_CF56_1.wav,136.55,137.11
merged_IT/01_CF56_1.wav,138.34,139.55
merged_IT/01_CF56_1.wav,141.93,142.43
merged_IT/01_CF56_1.wav,144.0,144.69
merged_IT/01_CF56_1.wav,147.14,147.47
merged_IT/01_CF56_1.wav,150.42,151.04
merged_IT/01_CF56_1.wav,152.51,153.44
merged_IT/01_CF56_1.wav,154.89,155.62
merged_IT/01_CF56_1.wav,157.65,158.28
merged_IT/01_CF56_1.wav,159.84,160.58
merged_IT/01_CF56_1.wav,162.33,165.98
merged_IT/01_CF56_1.wav,170.7,172.04
merged_IT/01_CF56_1.wav,174.04,175.68
merged_IT/01_CF56_1.wav,177.54,177.96
merged_IT/01_CF56_1.wav,179.37,180.44
merged_IT/01_CF56_1.wav,181.88,182.46
merged_IT/01_CF56_1.wav,187.17,188.06
merged_IT/01_CF56_1.wav,191.16,192.57
merged_IT/01_CF56_1.wav,195.28,196.91
merged_IT/01_CF56_1.wav,198.37,199.44
merged_IT/18_PF33_2.wav,4.76,5.01
merged_IT/18_PF33_2.wav,6.66,7.4
merged_IT/18_PF33_2.wav,10.89,12.2
merged_IT/18_PF33_2.wav,13.68,14.71
merged_IT/18_PF33_2.wav,15.92,16.29
merged_IT/18_PF33_2.wav,17.37,18.33
merged_IT/18_PF33_2.wav,22.31,22.64
merged_IT/18_PF33_2.wav,24.33,25.33
merged_IT/18_PF33_2.wav,26.5,28.03
merged_IT/18_PF33_2.wav,32.32,33.36
merged_IT/18_PF33_2.wav,35.44,36.87
merged_IT/18_PF33_2.wav,37.58,37.82
merged_IT/18_PF33_2.wav,39.28,39.81
merged_IT/18_PF33_2.wav,43.89,45.27
merged_IT/18_PF33_2.wav,46.78,47.42
merged_IT/18_PF33_2.wav,50.85,51.47
merged_IT/18_PF33_2.wav,51.93,53.11
merged_IT/18_PF33_2.wav,54.73,55.46
merged_IT/18_PF33_2.wav,56.58,56.99
merged_IT/18_PF33_2.wav,57.27,57.69
merged_IT/18_PF33_2.wav,58.11,59.28
merged_IT/18_PF33_2.wav,61.24,62.3
merged_IT/18_PF33_2.wav,65.22,65.75
merged_IT/18_PF33_2.wav,69.53,70.07
merged_IT/18_PF33_2.wav,70.24,70.85
merged_IT/18_PF33_2.wav,72.32,72.71
merged_IT/18_PF33_2.wav,73.35,73.97
merged_IT/18_PF33_2.wav,80.61,81.3
merged_IT/18_PF33_2.wav,82.1,82.51
