filepath,start_time_sec,end_time_sec
recordings/merged_ITok/47_CF61_2ok.wav,13.96,14.6
recordings/merged_ITok/47_CF61_2ok.wav,22.17,22.75
recordings/merged_ITok/47_CF61_2ok.wav,25.87,26.48
recordings/merged_ITok/47_CF61_2ok.wav,27.57,28.58
recordings/merged_ITok/47_CF61_2ok.wav,31.78,33.1
recordings/merged_ITok/47_CF61_2ok.wav,37.95,38.86
recordings/merged_ITok/47_CF61_2ok.wav,40.41,40.63
recordings/merged_ITok/47_CF61_2ok.wav,43.69,44.13
recordings/merged_ITok/47_CF61_2ok.wav,47.26,47.64
recordings/merged_ITok/47_CF61_2ok.wav,51.56,51.89
recordings/merged_ITok/47_CF61_2ok.wav,52.67,53.1
recordings/merged_ITok/47_CF61_2ok.wav,58.26,58.52
recordings/merged_ITok/47_CF61_2ok.wav,61.22,61.92
recordings/merged_ITok/47_CF61_2ok.wav,66.5,67.06
recordings/merged_ITok/47_CF61_2ok.wav,68.92,70.21
recordings/merged_ITok/47_CF61_2ok.wav,75.51,75.75
recordings/merged_ITok/47_CF61_2ok.wav,76.36,77.81
recordings/merged_ITok/47_CF61_2ok.wav,80.71,81.07
recordings/merged_ITok/47_CF61_2ok.wav,83.53,84.44
recordings/merged_ITok/47_CF61_2ok.wav,86.61,87.2
recordings/merged_ITok/47_CF61_2ok.wav,89.03,89.6
recordings/merged_ITok/47_CF61_2ok.wav,93.3,93.99
recordings/merged_ITok/47_CF61_2ok.wav,95.42,97.22
recordings/merged_ITok/47_CF61_2ok.wav,99.9,100.37
recordings/merged_ITok/47_CF61_2ok.wav,103.05,103.64
recordings/merged_ITok/47_CF61_2ok.wav,108.06,109.48
recordings/merged_ITok/47_CF61_2ok.wav,110.12,111.21
recordings/merged_ITok/47_CF61_2ok.wav,113.46,114.07
recordings/merged_ITok/47_CF61_2ok.wav,114.35,114.83
recordings/merged_ITok/47_CF61_2ok.wav,119.66,120.09
recordings/merged_ITok/47_CF61_2ok.wav,121.94,122.33
recordings/merged_ITok/47_CF61_2ok.wav,127.73,128.36
recordings/merged_ITok/47_CF61_2ok.wav,131.13,131.48
recordings/merged_ITok/47_CF61_2ok.wav,133.65,134.07
recordings/merged_ITok/47_CF61_2ok.wav,137.75,138.54
recordings/merged_ITok/47_CF61_2ok.wav,142.17,142.52
recordings/merged_ITok/47_CF61_2ok.wav,144.31,144.67
recordings/merged_ITok/47_CF61_2ok.wav,164.02,164.47
recordings/merged_ITok/03_CF30_3ok.wav,15.03,16.17
recordings/merged_ITok/03_CF30_3ok.wav,50.24,50.81
recordings/merged_ITok/03_CF30_3ok.wav,54.09,55.72
recordings/merged_ITok/03_CF30_3ok.wav,61.57,61.98
recordings/merged_ITok/03_CF30_3ok.wav,63.24,64.29
recordings/merged_ITok/03_CF30_3ok.wav,71.04,72.4
recordings/merged_ITok/03_CF30_3ok.wav,84.31,85.08
