filepath,start_time_sec,end_time_sec
RT/audio/HC/42_CF53_4.wav,9.1,9.49
RT/audio/HC/42_CF53_4.wav,14.59,15.61
RT/audio/HC/42_CF53_4.wav,17.97,18.39
RT/audio/HC/42_CF53_4.wav,48.77,49.57
RT/audio/HC/30_CF62_3.wav,2.14,2.67
RT/audio/HC/30_CF62_3.wav,4.41,4.62
RT/audio/HC/30_CF62_3.wav,7.32,7.64
RT/audio/HC/30_CF62_3.wav,11.61,12.42
RT/audio/HC/30_CF62_3.wav,16.47,16.86
RT/audio/HC/30_CF62_3.wav,20.56,21.03
RT/audio/HC/30_CF62_3.wav,22.01,22.38
RT/audio/HC/30_CF62_3.wav,24.4,24.81
RT/audio/HC/30_CF62_3.wav,26.54,26.83
RT/audio/HC/30_CF62_3.wav,29.23,29.61
RT/audio/HC/30_CF62_3.wav,32.33,32.85
RT/audio/HC/30_CF62_3.wav,33.49,33.7
RT/audio/HC/30_CF62_3.wav,35.38,35.66
RT/audio/HC/30_CF62_3.wav,38.97,39.4
RT/audio/HC/30_CF62_3.wav,41.87,42.09
RT/audio/HC/01_CF56_1.wav,4.09,4.51
RT/audio/HC/01_CF56_1.wav,5.45,5.69
RT/audio/HC/01_CF56_1.wav,8.36,9.22
RT/audio/HC/01_CF56_1.wav,12.87,13.4
RT/audio/HC/01_CF56_1.wav,16.05,17.01
RT/audio/HC/01_CF56_1.wav,19.6,20.34
RT/audio/HC/01_CF56_1.wav,21.83,22.47
RT/audio/HC/01_CF56_1.wav,25.83,26.29
RT/audio/HC/01_CF56_1.wav,28.66,29.37
RT/audio/HC/01_CF56_1.wav,32.62,33.37
RT/audio/HC/01_CF56_1.wav,35.63,36.13
RT/audio/HC/01_CF56_1.wav,38.09,38.77
RT/audio/HC/01_CF56_1.wav,39.47,40.31
RT/audio/HC/01_CF56_1.wav,42.16,42.54
RT/audio/HC/01_CF56_1.wav,43.99,44.56
RT/audio/HC/01_CF56_1.wav,45.99,46.47
RT/audio/HC/01_CF56_1.wav,47.69,48.31
RT/audio/HC/01_CF56_1.wav,49.31,49.93
