filepath,start_time_sec,end_time_sec
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,4.82,5.12
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,5.85,6.23
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,9.19,9.7
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,13.58,14.41
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,16.29,16.81
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,20.39,20.75
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,22.83,23.57
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,26.76,27.5
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,30.4,30.73
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,35.6,37.21
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,39.56,40.2
CleanCorpus/ReadingTaskok/HCok/47_CF61_2ok.wav,49.13,49.67
CleanCorpus/ReadingTaskok/HCok/03_CF30_3ok.wav,4.81,5.68
CleanCorpus/ReadingTaskok/HCok/03_CF30_3ok.wav,10.36,11.14
CleanCorpus/ReadingTaskok/HCok/03_CF30_3ok.wav,25.34,26.5
CleanCorpus/ReadingTaskok/HCok/03_CF30_3ok.wav,32.59,33.27
CleanCorpus/ReadingTaskok/HCok/03_CF30_3ok.wav,44.28,44.87
CleanCorpus/ReadingTaskok/HCok/23_CF55_3ok.wav,4.24,4.6
CleanCorpus/ReadingTaskok/HCok/23_CF55_3ok.wav,15.88,16.64
CleanCorpus/ReadingTaskok/HCok/23_CF55_3ok.wav,19.89,20.29
CleanCorpus/ReadingTaskok/HCok/23_CF55_3ok.wav,27.74,28.05
CleanCorpus/ReadingTaskok/HCok/23_CF55_3ok.wav,33.43,33.94
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,1.88,2.15
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,6.05,6.4
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,9.83,10.59
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,16.44,17.41
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,20.0,20.29
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,23.34,24.18
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,26.82,27.61
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,31.41,31.79
CleanCorpus/ReadingTaskok/HCok/57_CF25_3ok.wav,35.3,35.59
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,2.07,2.45
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,7.53,8.02
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,12.2,12.44
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,12.7,12.94
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,21.03,21.75
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,25.15,25.5
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,29.55,30.17
CleanCorpus/ReadingTaskok/HCok/46_CF39_3ok.wav,33.42,33.96
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,2.32,2.74
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,8.31,8.85
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,12.37,12.9
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,20.79,21.3
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,24.4,24.81
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,28.68,29.87
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,32.35,32.9
CleanCorpus/ReadingTaskok/HCok/55_CM29_3ok.wav,37.74,38.17
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,2.2,2.64
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,4.36,4.62
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,7.3,7.64
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,11.64,12.4
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,16.48,16.85
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,20.55,21.01
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,22.01,22.38
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,24.39,24.8
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,26.54,26.82
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,29.23,29.61
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,32.33,32.85
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,35.37,35.66
CleanCorpus/ReadingTaskok/HCok/30_CF62_3ok.wav,38.98,39.32
CleanCorpus/ReadingTaskok/HCok/40_CF59_1ok.wav,2.77,3.61
CleanCorpus/ReadingTaskok/HCok/40_CF59_1ok.wav,8.67,9.2
CleanCorpus/ReadingTaskok/HCok/40_CF59_1ok.wav,11.74,12.24
CleanCorpus/ReadingTaskok/HCok/40_CF59_1ok.wav,12.8,13.23
