filepath,start_time_sec,end_time_sec
IT/37_PF40_3/37_PF40_3_1.wav,2.25,2.94
IT/37_PF40_3/37_PF40_3_1.wav,5.31,6.22
IT/37_PF40_3/37_PF40_3_1.wav,12.08,13.2
IT/37_PF40_3/37_PF40_3_1.wav,17.24,17.7
IT/37_PF40_3/37_PF40_3_1.wav,19.44,19.72
IT/10_CF51_2/10_CF51_2_4.wav,3.6,4.92
IT/10_CF51_2/10_CF51_2_4.wav,7.65,8.53
IT/10_CF51_2/10_CF51_2_4.wav,9.39,9.74
IT/10_CF51_2/10_CF51_2_4.wav,11.88,13.08
IT/10_CF51_2/10_CF51_2_4.wav,14.29,14.6
IT/10_CF51_2/10_CF51_2_4.wav,15.32,16.13
IT/10_CF51_2/10_CF51_2_4.wav,18.2,19.31
IT/10_CF51_2/10_CF51_2_4.wav,20.47,21.3
IT/10_CF51_2/10_CF51_2_4.wav,24.04,24.42
IT/10_CF51_2/10_CF51_2_4.wav,27.27,27.99
IT/10_CF51_2/10_CF51_2_4.wav,30.59,31.92
IT/10_CF51_2/10_CF51_2_4.wav,33.24,34.08
IT/10_CF51_2/10_CF51_2_4.wav,36.16,36.58
IT/10_CF51_2/10_CF51_2_12.wav,1.3,1.87
IT/10_CF51_2/10_CF51_2_12.wav,7.78,8.74
IT/10_CF51_2/10_CF51_2_12.wav,13.04,13.61
IT/10_CF51_2/10_CF51_2_12.wav,15.23,15.47
IT/10_CF51_2/10_CF51_2_12.wav,16.93,17.14
IT/10_CF51_2/10_CF51_2_6.wav,0.13,0.45
IT/10_CF51_2/10_CF51_2_6.wav,1.98,2.41
IT/10_CF51_2/10_CF51_2_1.wav,3.87,4.74
IT/10_CF51_2/10_CF51_2_1.wav,5.66,7.07
IT/10_CF51_2/10_CF51_2_1.wav,8.44,8.81
IT/10_CF51_2/10_CF51_2_1.wav,10.82,11.61
IT/10_CF51_2/10_CF51_2_1.wav,17.05,17.29
IT/10_CF51_2/10_CF51_2_1.wav,19.3,19.77
IT/10_CF51_2/10_CF51_2_1.wav,19.96,20.41
IT/10_CF51_2/10_CF51_2_1.wav,21.15,21.63
IT/10_CF51_2/10_CF51_2_1.wav,23.04,23.51
IT/10_CF51_2/10_CF51_2_1.wav,23.8,24.31
IT/10_CF51_2/10_CF51_2_1.wav,25.26,26.07
IT/10_CF51_2/10_CF51_2_1.wav,26.45,27.2
IT/10_CF51_2/10_CF51_2_1.wav,29.13,30.07
IT/10_CF51_2/10_CF51_2_1.wav,31.51,32.74
IT/10_CF51_2/10_CF51_2_1.wav,40.29,40.79
IT/10_CF51_2/10_CF51_2_1.wav,41.88,42.23
IT/10_CF51_2/10_CF51_2_1.wav,46.05,47.06
IT/10_CF51_2/10_CF51_2_1.wav,48.08,48.43
IT/10_CF51_2/10_CF51_2_1.wav,55.29,55.58
IT/10_CF51_2/10_CF51_2_1.wav,58.14,58.83
IT/10_CF51_2/10_CF51_2_1.wav,59.98,60.38
IT/10_CF51_2/10_CF51_2_1.wav,61.83,62.19
IT/10_CF51_2/10_CF51_2_1.wav,64.22,64.66
IT/10_CF51_2/10_CF51_2_2.wav,6.91,7.87
IT/10_CF51_2/10_CF51_2_2.wav,9.28,9.67
IT/10_CF51_2/10_CF51_2_2.wav,12.32,12.9
IT/10_CF51_2/10_CF51_2_2.wav,14.82,16.25
IT/10_CF51_2/10_CF51_2_15.wav,1.19,1.75
IT/10_CF51_2/10_CF51_2_9.wav,2.69,3.08
IT/10_CF51_2/10_CF51_2_9.wav,5.99,6.41
IT/10_CF51_2/10_CF51_2_9.wav,8.62,9.13
IT/10_CF51_2/10_CF51_2_9.wav,10.3,10.75
IT/10_CF51_2/10_CF51_2_9.wav,12.42,12.71
IT/10_CF51_2/10_CF51_2_9.wav,13.58,13.8
IT/10_CF51_2/10_CF51_2_7.wav,0.56,0.92
IT/10_CF51_2/10_CF51_2_7.wav,1.8,2.01
IT/10_CF51_2/10_CF51_2_7.wav,4.09,4.96
IT/10_CF51_2/10_CF51_2_7.wav,6.11,6.82
