filepath,start_time_sec,end_time_sec
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_2ok.wav,1.48,1.91
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_2ok.wav,3.16,4.04
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_2ok.wav,11.29,12.17
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_2ok.wav,12.8,13.14
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_2ok.wav,21.64,22.41
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,2.64,3.25
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,6.69,7.4
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,9.0,9.34
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,10.9,11.25
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,12.99,13.38
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,16.74,16.95
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,18.69,18.91
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,20.79,21.66
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,22.89,23.3
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,28.06,28.66
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_3ok.wav,45.24,47.01
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,4.26,4.73
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,24.72,25.02
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,25.78,27.29
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,35.45,35.81
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,46.0,46.45
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,60.28,60.62
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,66.73,67.57
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,75.75,75.95
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,77.15,77.71
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,82.95,83.22
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,89.27,89.67
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,93.33,93.84
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,97.37,97.88
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,102.58,102.95
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,107.62,108.07
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,111.46,111.7
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,115.6,116.52
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,124.67,125.09
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,143.77,144.18
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,145.44,145.86
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,148.5,148.96
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,151.39,151.86
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,152.97,153.84
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,154.78,155.44
CleanCorpus/InterviewTaskok/audio_clipok/17_CF55_3ok/17_CF55_3_1ok.wav,161.02,161.41
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_5ok.wav,2.57,3.83
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_5ok.wav,6.53,7.42
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_5ok.wav,7.6,8.67
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_5ok.wav,8.81,10.17
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,2.98,5.02
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,5.98,6.29
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,6.73,8.41
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,10.04,11.19
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,14.38,15.52
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,17.89,18.22
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,20.7,21.5
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,24.54,25.51
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,26.09,26.99
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,32.26,33.03
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,34.86,35.42
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,37.59,38.24
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,41.11,42.83
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,47.46,48.05
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,49.23,49.49
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_1ok.wav,50.89,51.82
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,4.06,6.19
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,12.03,13.28
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,14.19,14.95
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,18.83,19.31
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,19.9,20.58
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,21.44,22.13
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,24.68,25.14
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,28.14,28.95
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,30.34,30.59
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_2ok.wav,31.61,32.1
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_4ok.wav,2.3,3.73
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_4ok.wav,5.74,6.74
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_4ok.wav,7.84,9.05
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_4ok.wav,12.92,14.34
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_3ok.wav,3.13,4.31
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_3ok.wav,5.71,6.94
CleanCorpus/InterviewTaskok/audio_clipok/49_PM31_3ok/49_PM31_3_3ok.wav,12.3,12.58
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_4ok.wav,5.35,6.34
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_4ok.wav,9.34,9.87
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_3ok.wav,4.15,5.04
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_1ok.wav,4.06,4.26
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_1ok.wav,6.65,7.81
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_5ok.wav,2.0,3.02
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_5ok.wav,7.69,8.81
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_5ok.wav,11.17,11.97
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_5ok.wav,14.45,14.99
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_6ok.wav,3.25,3.65
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_6ok.wav,5.71,6.26
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,3.27,4.16
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,9.03,9.46
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,14.98,15.35
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,16.9,17.17
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,26.82,27.33
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,30.4,31.36
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,35.81,36.09
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,37.7,38.66
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,40.52,40.96
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_2ok.wav,45.32,46.14
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,4.82,5.58
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,11.11,11.51
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,12.93,13.51
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,14.25,14.68
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,15.97,16.6
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,19.32,19.99
CleanCorpus/InterviewTaskok/audio_clipok/52_PM53_4ok/52_PM53_4_7ok.wav,26.52,26.9
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_28ok.wav,0.85,1.99
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_28ok.wav,3.62,3.82
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_28ok.wav,4.88,5.27
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_1ok.wav,0.47,0.78
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_1ok.wav,0.86,1.81
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_16ok.wav,5.62,6.43
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_25ok.wav,1.53,2.24
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_25ok.wav,3.36,3.72
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_33ok.wav,0.29,0.9
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_33ok.wav,1.89,2.13
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,0.11,0.32
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,3.33,4.29
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,6.39,7.19
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,8.64,9.52
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,11.37,12.2
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,13.41,15.35
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,17.5,18.16
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_3ok.wav,20.22,20.85
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_30ok.wav,1.22,1.7
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_21ok.wav,4.07,5.07
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_11ok.wav,2.22,2.43
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_10ok.wav,0.9,1.23
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_27ok.wav,0.63,0.94
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_4ok.wav,1.78,2.78
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_4ok.wav,3.41,3.62
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_2ok.wav,0.4,0.99
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_23ok.wav,0.81,1.04
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_9ok.wav,3.32,3.57
CleanCorpus/InterviewTaskok/audio_clipok/53_CF52_1ok/53_CF52_1_5ok.wav,1.32,2.32
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,2.44,2.7
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,7.69,8.27
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,32.44,32.74
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,76.96,77.27
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,83.93,84.45
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,100.21,100.53
CleanCorpus/InterviewTaskok/audio_clipok/23_CF55_3ok/23_CF55_3_1ok.wav,109.78,110.04
