RT,AGE,O/Y,SEX,P/C,TASK,MEAN F0,IT,AGE,O/Y,SEX,P/C,TASK,MEAN F0
'01_CF56_1',56,O,F,C,RT,,'01_CF56_1',56,O,F,C,IT,
'01_CF56_1ok',56,O,F,C,RT,,,,,,,,
'02_CM57_2',57,O,M,C,RT,,'02_CM57_2',57,O,M,C,IT,
'09_CF56_3',56,O,F,C,RT,,'18_CM64_3',64,O,M,C,IT,
'21_CF58_3',58,O,F,C,RT,,'20_CM51_3',51,O,M,C,IT,
'22_CF50_3',50,O,F,C,RT,,'22_CF50_3',50,O,F,C,IT,
'25_CF59_3',59,O,F,C,RT,,'23_CF55_3',55,O,F,C,IT,
'33_CF46_3',46,Y,F,C,RT,,'24_CM63_3',63,O,M,C,IT,
'41_CM71_2',71,O,M,C,RT,,'25_CF59_3',59,O,F,C,IT,
'55_CM29_3',29,Y,M,C,RT,,'29_CF34_3',34,Y,F,C,IT,
'56_CM23_3',23,Y,M,C,RT,,'30_CF62_3',62,O,F,C,IT,
'03_PF66_3',66,O,F,P,RT,,'48_CF34_3',34,Y,F,C,IT,
'06_PM64_2',64,O,M,P,RT,,'49_CM54_4',54,O,M,C,IT,
'10_PF51_1',51,O,F,P,RT,,'05_PM53_4',53,O,M,P,IT,
'19_PF43_2',43,Y,F,P,RT,,'14_PF35_3',35,Y,F,P,IT,
'31_PF68_4',68,O,F,P,RT,,'24_PF56_2',56,O,F,P,IT,
'33_PM19_3',19,Y,M,P,RT,,'27_PF26_3',26,Y,F,P,IT,
'37_PF40_3',40,Y,F,P,RT,,'35_PF43_2',43,Y,F,P,IT,
'42_PF63_4',63,O,F,P,RT,,'37_PF40_3',40,Y,F,P,IT,
'49_PM31_3',31,Y,M,P,RT,,'38_PF31_2',31,Y,F,P,IT,
'52_PM53_4',53,O,M,P,RT,,'43_PF53_4',53,O,F,P,IT,
'59_PF36_x',36,Y,F,P,RT,,'46_PF44_2',44,Y,F,P,IT,
'64_PF54_2',54,O,F,P,RT,,'50_PF35_3',35,Y,F,P,IT,
'65_PF41_3',41,Y,F,P,RT,,'59_PF36_x',36,Y,F,P,IT,
'05_CF41_3',41,Y,F,C,RT,,'64_PF54_2',54,O,F,P,IT,
'11_CF44_2',44,Y,F,C,RT,,'12_CF36_1',36,Y,F,C,IT,
'32_CF22_3',22,Y,F,C,RT,,'14_CF49_3',49,O,F,C,IT,
'46_CF39_3',39,Y,F,C,RT,,'26_CM31_3',31,Y,M,C,IT,
'47_CF61_2',61,O,F,C,RT,,'33_CF46_3',46,Y,F,C,IT,
'07_PM39_4',39,Y,M,P,RT,,'38_CM27_3',27,Y,M,C,IT,
'13_PF58_2',58,O,F,P,RT,,'46_CF39_3',39,Y,F,C,IT,
'14_PF35_3',35,Y,F,P,RT,,'51_CF52_2',52,O,F,C,IT,
'15_PM63_4',63,O,M,P,RT,,'52_CF29_3',29,Y,F,C,IT,
'21_PM33_3',33,Y,M,P,RT,,'53_CF52_1',52,O,F,C,IT,
'26_PM54_3',54,O,M,P,RT,,'57_CF25_3',25,Y,F,C,IT,
'32_PF51_2',51,O,F,P,RT,,'02_PM65_2',65,O,M,P,IT,
'35_PF43_2',43,Y,F,P,RT,,'16_PF52_3',52,O,F,P,IT,
'36_PF38_2',38,Y,F,P,RT,,'20_PM43_2',43,Y,M,P,IT,
'38_PF31_2',31,Y,F,P,RT,,'23_PF55_2',55,O,F,P,IT,
'41_PF32_4',32,Y,F,P,RT,,'32_PF51_2',51,O,F,P,IT,
'46_PF44_2',44,Y,F,P,RT,,'41_PF32_4',32,Y,F,P,IT,
'47_PF42_2',42,Y,F,P,RT,,'44_PF29_3',29,Y,F,P,IT,
'51_PF58_2',58,O,F,P,RT,,'48_PF43_3',43,Y,F,P,IT,
'56_PM57_4',57,O,M,P,RT,,'57_PM56_2',56,O,M,P,IT,
'57_PM56_2',56,O,M,P,RT,,'60_PF56_x',56,O,F,P,IT,
'62_PF56_3',56,O,F,P,RT,,'61_PM59_3',59,O,M,P,IT,
'67_PF54_1',54,O,F,P,RT,,'69_PF48_3',48,O,F,P,IT,
'06_CF44_2',44,Y,F,C,RT,,'72_PM53_1',53,O,M,P,IT,
'15_CF53_3',53,O,F,C,RT,,'03_CF30_3',30,Y,F,C,IT,
'20_CM51_3',51,O,M,C,RT,,'04_CF57_3',57,O,F,C,IT,
'23_CF55_3',55,O,F,C,RT,,'08_CF42_2',42,Y,F,C,IT,
'26_CM31_3',31,Y,M,C,RT,,'09_CF56_3',56,O,F,C,IT,
'27_CF63_4',63,O,F,C,RT,,'10_CF51_2',51,O,F,C,IT,
'30_CF62_3',62,O,F,C,RT,,'15_CF53_3',53,O,F,C,IT,
'31_CF55_2',55,O,F,C,RT,,'17_CF55_3',55,O,F,C,IT,
'37_CF69_1',69,O,F,C,RT,,'28_CF34_3',34,Y,F,C,IT,
'39_CM27_3',27,Y,M,C,RT,,'31_CF55_2',55,O,F,C,IT,
'44_CF37_3',37,Y,F,C,RT,,'37_CF69_1',69,O,F,C,IT,
'51_CF52_2',52,O,F,C,RT,,'40_CF59_1',59,O,F,C,IT,
'52_CF29_3',29,Y,F,C,RT,,'41_CM71_2',71,O,M,C,IT,
'01_PM58_2',58,O,M,P,RT,,'56_CM23_3',23,Y,M,C,IT,
'17_PF44_2',44,Y,F,P,RT,,'06_PM64_2',64,O,M,P,IT,
'22_PF40_3',40,Y,F,P,RT,,'13_PF58_2',58,O,F,P,IT,
'25_PF36_4',36,Y,F,P,RT,,'15_PM63_4',63,O,M,P,IT,
'29_PF42_3',42,Y,F,P,RT,,'31_PF68_4',68,O,F,P,IT,
'43_PF53_4',53,O,F,P,RT,,'36_PF38_2',38,Y,F,P,IT,
'48_PF43_3',43,Y,F,P,RT,,'42_PF63_4',63,O,F,P,IT,
'54_PF48_3',48,O,F,P,RT,,'52_PM53_4',53,O,M,P,IT,
'58_PM43_3',43,Y,M,P,RT,,'62_PF56_3',56,O,F,P,IT,
